USER,TEAM,GAMES,RECORD_WINS,RECORD_LOSSES,AVG_BEATDOWN_REALITY_SCORE,BEST_BEATDOWN_REALITY_SCORE,WORST_BEATDOWN_REALITY_SCORE,AVG_TRUTH_MARGIN,AVG_TRUTH_GAP,BRC_VOLATILITY,LAST_3_BRC,SCORE_FLATTERED_US_GAMES,SCORE_FLATTERED_THEM_GAMES,SHAKY_WINS,SHOULD_HAVE_WON_BIGGER_GAMES,GOT_WORKED_GAMES,BRC_PROFILE_LABEL
Noah,Texas Tech,23,22,1,90.69,100.0,47.19,26.31,0.17,17.65,93.89,2,5,7,5,0,Usually Beat Ass
Devin,Bowling Green,24,23,1,90.14,100.0,52.15,25.03,3.93,15.9,100.0,8,2,10,4,0,Usually Beat Ass
Josh,USF,25,22,3,82.73,100.0,0.0,21.16,6.52,26.71,96.62,7,1,8,1,2,Score Kept Saving Them
Mike,San Jose State,23,20,3,76.77,100.0,8.9,17.68,3.67,27.13,93.37,5,3,9,5,2,Usually Beat Ass
Nick,Florida State,24,20,4,76.68,100.0,11.51,16.42,7.62,29.59,88.14,11,1,14,1,3,Score Kept Saving Them
Doug,Florida,22,17,5,72.15,100.0,0.0,13.28,2.62,33.17,66.67,7,2,7,5,3,Usually Beat Ass
