Year,Rank,Team,User,TotalCommits,FiveStar,FourStar,ThreeStar,TwoStar,OneStar,Points
2041,115,Rice,,9,0,1,8,0,0,123.5
2041,116,Louisiana,,13,0,0,6,5,2,123.35
2041,117,Delaware,,19,0,0,4,7,8,121.6
2041,118,Sam Houston,,24,0,0,0,16,8,112.65
2041,119,Utah State,,22,0,0,3,6,13,112.4
2041,120,Missouri State,,25,0,0,0,16,9,112.1
2041,121,Northwestern,,11,0,0,5,5,1,111.95
2041,122,Iowa State,,28,0,0,0,18,10,109.7
2041,123,Jax State,,21,0,0,0,14,7,109.1
2041,124,Kennesaw St.,,25,0,0,0,13,12,106.5
2041,125,Charlotte,,25,0,0,0,12,13,105.95
2041,126,C. Carolina,,15,0,0,2,8,5,105.4
2041,127,Old Dominion,,24,0,0,0,13,11,105.0
2041,128,Akron,,21,0,0,1,9,11,104.6
2041,129,W. Kentucky,,20,0,0,0,12,8,100.1
2041,130,Kent State,,18,0,0,0,10,8,98.6
2041,131,Georgia State,,22,0,0,0,9,13,97.55
2041,132,New Mexico St.,,16,0,0,0,10,6,96.35
2041,133,Texas State,,16,0,0,0,9,7,93.65
2041,134,UTEP,,15,0,0,0,6,9,80.8
2041,135,W. Michigan,,10,0,0,2,2,6,72.1
2041,136,South Alabama,,8,0,0,0,3,5,50.85
