Rank,QBID,Player,User,Team,OVR,Archetype
1,BG_DRANGO,Frederick Drango,Devin,Bowling Green,96,Dual Threat
2,USF_BETHEA,Terrelle Bethea,Josh,USF,95,Backfield Creator
3,TTU_POOLE,Ramon Poole,Noah,Texas Tech,90,Dual Threat
4,FSU_TRANQUILL,Oscar Tranquill,Nick,Florida State,89,Dual Threat
5,SJSU_SHORTER,Mike Shorter,Mike,San Jose State,85,Dual Threat
6,UF_AUSS,He Is Auss,Doug,Florida,83,Pocket Passer
