date,season,week,user_team,opponent,stream_title,platform,url,result,score,notes,streamer,archive_type
,2042,2,San Jose State,Texas,San Jose State vs Texas,YouTube,https://www.youtube.com/live/glconpZrLJs?si=qQRvBAp_GerMuN3F,,,Highest rated game of the year test archive.,Mike,Archive
,2042,2,Florida State,Nebraska,Florida State vs Nebraska,YouTube,https://www.youtube.com/live/DOpTSVbnDzM?si=CBwLwudro48xTThr,,,Secondary archive card test entry.,Nick,Upset
3/25/2026,2042,4,San Jose State,USF,San Jose State vs USF,YouTube,https://www.youtube.com/live/WuGkQbIKdl4,,,17 play drive in the 4th seals the win for SJSU.,Mike,User Battle
3/24/2026,2042,5,San Jose State,Washington,San Jose State vs Washington,YouTube,https://www.youtube.com/live/mpn0858AdZ4,,36-57,Washington upsets #1 team in the land in front of home crowd.,Mike,Upset
3/25/2026,2042,6,San Jose State,USC,San Jose State vs USC,YouTube,https://www.youtube.com/live/WBn5gYPxOx4,,52-35,San Jose State bounces back after upset prior week.,Mike,Featured Archive
3/26/2026,2042,7,San Jose State,Indiana,Indiana at San Jose State,YouTube,https://www.youtube.com/live/j31GhtjKUJ8?si=pgy6nJ1IvqpCfimn,,59-36,SJSU Impresses Prospects on Campus,Mike,Archive
3/27/2026,2042,8,San Jose State,Texas Tech,Texas Tech @ San Jose State,YouTube,https://youtube.com/live/b-G7bs06KKI?feature=share,,31-35,SJSU Dominates but loses on the back of 4 turnovers.,Mike,User Battle
3/28/2026,2042,9,San Jose State,Nebraska,San Jose State @ Nebraska,YouTube,https://youtube.com/live/w74i0cvuUVo?feature=share,,37-52,Nebraska is too much to handle with highest Blue Chip ratio in CFB.,Mike,Archive
3/29/2026,2042,10,San Jose State,Michigan,Michigan @ San Jose State,YouTube,https://youtube.com/live/VgqQJkc_dfk?feature=share,,30-27,Last second Field Goal wins it.,,Archive
