YEAR,CONFERENCE,RANK,TEAM,W,L,CONF_W,CONF_L,PF,PA,USER,DIFF,MOV,HOME,AWAY,STK,WEEK
2042,American,,East Carolina,1,0,0,0,55,37,,18,18,Jan-00,0-0,W1,2
2042,American,,Wake Forest,1,0,0,0,36,34,,2,2,0-0,Jan-00,W1,2
2042,American,,Navy,1,0,0,0,56,7,,49,49,Jan-00,0-0,W1,2
2042,American,,Tulsa,0,1,0,0,38,49,,-11,-11,0-1,0-0,L1,2
2042,American,,UCLA,1,0,0,0,38,3,,35,35,Jan-00,0-0,W1,2
2042,American,,Memphis,1,0,0,0,56,21,,35,35,Jan-00,0-0,W1,2
2042,American,,UTSA,1,0,0,0,45,35,,10,10,Jan-00,0-0,W1,2
2042,American,,Rice,1,0,0,0,21,13,,8,8,Jan-00,0-0,W1,2
2042,American,,Virginia,0,1,0,0,34,37,,-3,-3,0-1,0-0,L1,2
2042,American,,Temple,0,1,0,0,7,50,,-43,-43,0-0,0-1,L1,2
2042,American,,Tulane,1,1,0,0,66,64,,2,1,Jan-00,0-1,W1,2
2042,American,,Army,0,1,0,0,17,38,,-21,-21,0-1,0-0,L1,2
2042,American,,Charlotte,0,1,0,0,59,61,,-2,-2,0-1,0-0,L1,2
2042,Big 12,3,Rapid City,1,0,0,0,31,28,,3,3,Jan-00,0-0,W1,2
2042,Big 12,16,Alabaster,0,1,0,0,31,45,,-14,-14,0-0,0-1,L1,2
2042,Big 12,22,Hammond,0,1,0,0,24,77,,-53,-53,0-1,0-0,L1,2
2042,Big 12,21,Oklahoma State,1,0,0,0,42,37,,5,5,0-0,Jan-00,W1,2
2042,Big 12,25,Panama City,1,0,0,0,54,0,,54,54,Jan-00,0-0,W1,2
2042,Big 12,,TCU,1,0,0,0,50,7,,43,43,Jan-00,0-0,W1,2
2042,Big 12,,BYU,1,0,0,0,52,3,,49,49,Jan-00,0-0,W1,2
2042,Big 12,,Death Valley,1,0,0,0,63,14,,49,49,Jan-00,0-0,W1,2
2042,Big 12,,Arizona State,0,1,0,0,26,42,,-16,-16,0-1,0-0,L1,2
2042,Big 12,,Baylor,1,0,0,0,50,6,,44,44,0-0,Jan-00,W1,2
2042,Big 12,,Kansas State,0,1,0,0,20,48,,-28,-28,0-1,0-0,L1,2
2042,Big 12,,Kansas,1,0,0,0,48,7,,41,41,Jan-00,0-0,W1,2
2042,Big 12,,Gate City,0,1,0,0,25,31,,-6,-6,0-1,0-0,L1,2
2042,Big 12,,Arizona,1,0,0,0,29,26,,3,3,0-0,Jan-00,W1,2
2042,Big 12,,Colorado,0,1,0,0,22,37,,-15,-15,0-1,0-0,L1,2
2042,Big 12,,Utah,0,1,0,0,31,38,,-7,-7,0-0,0-1,L1,2
2042,Big Ten,5,Texas Tech,1,0,0,0,48,10,,38,38,0-0,0-0,W1,2
2042,Big Ten,7,USF,1,0,0,0,77,24,,53,53,0-0,Jan-00,W1,2
2042,Big Ten,19,Nebraska,0,1,0,0,24,41,,-17,-17,0-1,0-0,L1,2
2042,Big Ten,10,Oregon,1,0,0,0,59,0,,59,59,Jan-00,0-0,W1,2
2042,Big Ten,11,San Jose State,1,0,0,0,71,61,,10,10,Jan-00,0-0,W1,2
2042,Big Ten,13,Michigan,1,0,0,0,42,26,,16,16,0-0,Jan-00,W1,2
2042,Big Ten,14,Penn State,1,0,0,0,52,0,,52,52,Jan-00,0-0,W1,2
2042,Big Ten,,Washington,0,1,0,0,21,56,,-35,-35,0-0,0-1,L1,2
2042,Big Ten,18,USC,0,0,0,0,0,0,,0,0,0-0,0-0,0,2
2042,Big Ten,23,Ohio State,1,0,0,0,43,7,,36,36,Jan-00,0-0,W1,2
2042,Big Ten,,Iowa,0,0,0,0,0,0,,0,0,0-0,0-0,0,2
2042,Big Ten,,Maryland,1,0,0,0,35,17,,18,18,Jan-00,0-0,W1,2
2042,Big Ten,,Wisconsin,0,1,0,0,34,36,,-2,-2,0-1,0-0,L1,2
2042,Big Ten,,Illinois,1,0,0,0,44,14,,30,30,Jan-00,0-0,W1,2
2042,Big Ten,,Indiana,1,0,0,0,41,6,,35,35,Jan-00,0-0,W1,2
2042,Big Ten,,Minnesota,0,1,0,0,26,29,,-3,-3,0-1,0-0,L1,2
2042,Big Ten,,Purdue,1,0,0,0,41,10,,31,31,Jan-00,0-0,W1,2
2042,Big Ten,,Michigan State,1,0,0,0,41,17,,24,24,Jan-00,0-0,W1,2
