YEAR,TEAM,BLUE CHIP PERCENTAGE
2043,Air Force,0
2043,Akron,0
2043,Alabama,58
2043,Alabaster,28
2043,Appalachian State,0
2043,Arizona,0
2043,Arizona State,9
2043,Arkansas,14
2043,Arkansas State,0
2043,Army,0
2043,Auburn,34
2043,Ball State,0
2043,Baylor,25
2043,Boise State,5
2043,Boston College,2
2043,Bowling Green,64
2043,BYU,5
2043,California,1
2043,Central Michigan,0
2043,Charlotte,0
2043,Cincinnati,0
2043,Clemson,60
2043,Coastal Carolina,0
2043,Colorado,1
2043,Colorado State,0
2043,Death Valley,23
2043,Delaware,0
2043,Duke,7
2043,East Carolina,0
2043,Eastern Michigan,0
2043,Florida,44
2043,Florida International,0
2043,Florida State,57
2043,Fresno State,2
2043,Gate City,0
2043,Georgia,76
2043,Georgia Southern,0
2043,Georgia State,0
2043,Georgia Tech,22
2043,Hammond,47
2043,Hawai'i,0
2043,Houston,3
2043,Illinois,1
2043,Indiana,8
2043,Iowa,12
2043,Iowa State,0
2043,Jacksonville State,0
2043,James Madison,0
2043,Kansas,0
2043,Kansas State,0
2043,Kennesaw State,0
2043,Kent State,0
2043,Kentucky,2
2043,Liberty,0
2043,Louisiana,0
2043,Louisiana Tech,0
2043,Louisville,0
2043,LSU,43
2043,Marshall,0
2043,Maryland,9
2043,Massachusetts,0
2043,Memphis,0
2043,Miami,63
2043,Miami University,0
2043,Michigan,50
2043,Michigan State,3
2043,Middle Tennessee,0
2043,Minnesota,0
2043,Mississippi State,0
2043,Missouri,4
2043,Missouri State,0
2043,Navy,0
2043,NC State,29
2043,Nebraska,89
2043,New Mexico State,0
2043,North Carolina,20
2043,North Texas,2
2043,Northwestern,0
2043,Notre Dame,44
2043,Ohio,0
2043,Ohio State,82
2043,Oklahoma,36
2043,Oklahoma State,21
2043,Old Dominion,0
2043,Ole Miss,40
2043,Oregon,37
2043,Oregon State,0
2043,Panama City,25
2043,Penn State,52
2043,Pittsburgh,9
2043,Purdue,1
2043,Rapid City,55
2043,Rice,1
2043,Rutgers,0
2043,Sam Houston,0
2043,San Diego State,11
2043,San Jose State,32
2043,SMU,22
2043,South Alabama,0
2043,South Carolina,0
2043,Southern Mississippi,1
2043,Stanford,3
2043,Syracuse,3
2043,TCU,27
2043,Temple,1
2043,Tennessee,24
2043,Texas,54
2043,Texas A&M,35
2043,Texas State,0
2043,Texas Tech,58
2043,Toledo,1
2043,Troy,0
2043,Tulane,2
2043,Tulsa,1
2043,UCF,0
2043,UCLA,17
2043,UConn,0
2043,UL Monroe,0
2043,UNLV,0
2043,USC,61
2043,USF,55
2043,Utah,1
2043,Utah State,0
2043,UTEP,0
2043,UTSA,0
2043,Vanderbilt,0
2043,Virginia,0
2043,Virginia Tech,16
2043,Wake Forest,0
2043,Washington,40
2043,Washington State,0
2043,West Virginia,25
2043,Western Kentucky,0
2043,Western Michigan,0
2043,Wisconsin,15
2043,Wyoming,36
