YEAR,Team,user
2025,Texas Tech,CPU
2026,Rapid City ,Mike
2027,Rapid City ,Mike
2028,Hammond,Devin
2029,Rapid City ,Mike
2030,Alabaster,Noah
2031,Panama City,Josh
2032,Rapid City ,Mike
2033,Hammond,Devin
2034,Rapid City ,Mike
2035,Rapid City ,Mike
2036,Alabaster,Noah
2037,Death Valley,Doug
2038,Georgia,Josh
2039,Georgia,Josh
2040,Wyoming,Mike
2041,Texas Tech,Noah
2042,Bowling Green,Devin
