USER,TEAM,COVERS,MISSES,PUSHES,COVER_PCT,AVG_DIFF,GAMES,FAV_COVERS,FAV_MISSES,FAV_PUSHES,FAV_COVER_PCT,FAV_AVG_DIFF,FAV_GAMES,DOG_COVERS,DOG_MISSES,DOG_PUSHES,DOG_COVER_PCT,DOG_AVG_DIFF,DOG_GAMES,HOME_COVERS,HOME_MISSES,HOME_PUSHES,HOME_COVER_PCT,HOME_AVG_DIFF,HOME_GAMES,AWAY_COVERS,AWAY_MISSES,AWAY_PUSHES,AWAY_COVER_PCT,AWAY_AVG_DIFF,AWAY_GAMES,H2H_COVERS,H2H_MISSES,H2H_PUSHES,H2H_COVER_PCT,H2H_AVG_DIFF,H2H_GAMES,BEST_COVER_DIFF,BEST_COVER_OPP,BEST_COVER_YEAR_WK,WORST_MISS_DIFF,WORST_MISS_OPP,WORST_MISS_YEAR_WK
Devin,Bowling Green,23,2,0,92.0,19.62,25,19,2,0,90.5,15.24,21,4,0,0,100.0,42.62,4,12,2,0,85.7,14.18,14,11,0,0,100.0,26.55,11,3,1,0,75.0,6.28,4,70.0,Toledo,2042 Wk3,-9.7,Oklahoma,2042 Wk9
Josh,USF,21,3,0,87.5,21.36,24,17,2,0,89.5,20.14,19,4,1,0,80.0,25.98,5,12,2,0,85.7,16.79,14,9,1,0,90.0,27.76,10,2,2,0,50.0,-2.0,4,60.0,Indiana,2042 Wk6,-17.5,Bowling Green,2042 Wk20
Noah,Texas Tech,18,3,1,85.7,18.2,22,15,3,1,83.3,14.61,19,3,0,0,100.0,41.0,3,11,1,0,91.7,19.13,12,7,2,1,77.8,17.09,10,0,2,0,0.0,-5.85,2,45.0,Tennessee,2042 Wk3,-6.7,USF,2042 Wk18
Doug,Florida,17,4,1,81.0,11.35,22,14,2,1,87.5,13.11,17,3,2,0,60.0,5.36,5,8,2,1,80.0,6.08,11,9,2,0,81.8,16.61,11,1,2,0,33.3,-19.3,3,46.2,Penn State,2043 Wk9,-43.5,San Jose State,2043 Wk8
Nick,Florida State,19,6,0,76.0,20.2,25,12,3,0,80.0,18.57,15,7,3,0,70.0,22.66,10,9,4,0,69.2,13.37,13,10,2,0,83.3,27.61,12,1,3,0,25.0,0.5,4,54.8,Kentucky,2043 Wk3,-19.0,Nebraska,2042 Wk2
Mike,San Jose State,17,6,0,73.9,15.93,23,12,4,0,75.0,16.74,16,5,2,0,71.4,14.09,7,11,3,0,78.6,13.44,14,6,3,0,66.7,19.81,9,3,0,0,100.0,16.83,3,72.0,Purdue,2043 Wk3,-18.0,Washington,2042 Wk5
