YEAR,Week,Visitor,Home,Vis Score,Home Score,CFP,Vis_User,Home_User,Visitor Rank,Home Rank,Visitor Record,Home Record,Reg Season,Conf Title,Bowl,Natty Game,Status,Source
2025,1,Death Valley,Gate City,31,49,No,Doug,Nick,,,,,Yes,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2025,1,Panama City,Alabaster,36,31,No,Josh,Noah,,,,,Yes,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2025,1,Rapid City,Hammond,51,29,No,Mike,Devin,,,,,Yes,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2025,15,Hammond,Rapid City,7,41,No,Devin,Mike,,,,,No,Yes,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2025,17,Gate City,Hammond,35,56,No,Nick,Devin,,,,,No,No,Yes,NO,FINAL,Merged from scores.csv (user-v-user history)
2026,1,Alabaster,Panama City,52,38,No,Noah,Josh,,,,,Yes,No,no,NO,FINAL,Merged from scores.csv (user-v-user history)
2026,1,Gate City,Death Valley,56,21,No,Nick,Doug,,,,,Yes,No,no,NO,FINAL,Merged from scores.csv (user-v-user history)
2026,1,Hammond,Rapid City,42,41,No,Devin,Mike,,,,,Yes,No,no,NO,FINAL,Merged from scores.csv (user-v-user history)
2026,15,Death Valley,Gate City,35,55,no,Doug,Nick,,,,,no,Yes,no,NO,FINAL,Merged from scores.csv (user-v-user history)
2027,1,Death Valley,Hammond,21,42,No,Doug,Devin,,,,,Yes,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2027,1,Nebraska,Rapid City,13,31,No,Nick,Mike,,,,,Yes,No,no,NO,FINAL,Merged from scores.csv (user-v-user history)
2027,1,Panama city,Alabaster,26,20,No,Josh,Noah,,,,,Yes,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2027,15,Panama City,Alabaster,35,56,No,Josh,Noah,,,,,no,yes,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2028,1,Alabaster,Panama City,52,27,No,Noah,Josh,,,,,Yes,No,no,NO,FINAL,Merged from scores.csv (user-v-user history)
2028,1,Hammond,Death Valley,56,14,No,Devin,Doug,,,,,Yes,No,no,NO,FINAL,Merged from scores.csv (user-v-user history)
2028,1,Rapid City,Nebraska,28,26,No,Mike,Nick,,,,,Yes,No,no,NO,FINAL,Merged from scores.csv (user-v-user history)
2028,18,Alabaster,Rapid City,21,23,Yes,Noah,Mike,,,,,No,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2028,19,Hammond,Rapid City,28,24,Yes,Devin,Mike,,,,,No,No,No,YES,FINAL,Merged from scores.csv (user-v-user history)
2029,1,Hammond,Nebraska,35,15,No,Devin,Nick,,,,,Yes,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2029,1,Panama city,Alabaster,34,55,No,Josh,Noah,,,,,Yes,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2029,1,Rapid City,Death Valley,48,0,No,Mike,Doug,,,,,Yes,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2029,1,Rapid City,Hammond,21,28,No,Mike,Devin,,,,,Yes,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2029,15,Rapid City,Hammond,55,27,No,Mike,Devin,,,,,No,Yes,No,NO,FINAL,Appended from Island_Dynasty_User_Records_26.xlsx
2029,18,Panama City,Alabaster,38,41,Yes,Josh,Noah,,,,,no,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2029,18,Panama City,Hammond,52,42,Yes,Josh,Devin,,,,,No,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2029,19,Rapid City,Alabaster,56,20,Yes,Mike,Noah,,,,,no,no,no,YES,FINAL,Merged from scores.csv (user-v-user history)
2030,1,Alabaster,Death Valley,42,56,No,Noah,Doug,,,,,Yes,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2030,1,Alabaster,Panama City,63,42,No,Noah,Josh,,,,,Yes,No,no,NO,FINAL,Merged from scores.csv (user-v-user history)
2030,1,Hammond,Rapid City,35,38,No,Devin,Mike,,,,,Yes,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2030,1,Nebraska,Panama City,42,28,No,Nick,Josh,,,,,Yes,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2030,15,Alabaster,Panama city,48,41,No,Noah,Josh,,,,,no,Yes,no,NO,FINAL,Merged from scores.csv (user-v-user history)
2030,15,Hammond,Rapid City,44,36,No,Devin,Mike,,,,,No,Yes,No,NO,FINAL,Appended from Island_Dynasty_User_Records_26.xlsx
2030,18,Death Valley,Alabaster,35,48,Yes,Doug,Noah,,,,,No,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2030,18,Hammond,Alabaster,70,73,Yes,Devin,Noah,,,,,No,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2030,18,Rapid City,Nebraska,45,28,Yes,Mike,Nick,,,,,No,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2030,19,Rapid City,Alabaster,27,31,Yes,Mike,Noah,,,,,No,No,No,YES,FINAL,Merged from scores.csv (user-v-user history)
2031,1,Alabaster,Rapid City,42,48,No,Noah,Mike,,,,,Yes,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2031,1,Hammond,Alabaster,65,56,No,Devin,Noah,,,,,Yes,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2031,1,Hammond,Rapid City,28,49,No,Devin,Mike,,,,,Yes,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2031,1,Nebraska,Death Valley,49,28,No,Nick,Doug,,,,,Yes,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2031,1,Panama City,Death Valley,28,23,No,Josh,Doug,,,,,Yes,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2031,1,Panama City,Nebraska,49,42,No,Josh,Nick,,,,,Yes,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2031,15,Hammond,Rapid City,52,73,No,Devin,Mike,,,,,No,Yes,No,NO,FINAL,Appended from Island_Dynasty_User_Records_26.xlsx
2031,15,Nebraska,Panama city,42,21,No,Nick,Josh,,,,,No,Yes,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2031,18,Alabaster,Rapid City,66,84,Yes,Noah,Mike,,,,,No,No,No,NO,FINAL,Appended from Island_Dynasty_User_Records_26.xlsx
2031,18,Panama City,Rapid City,45,32,Yes,Josh,Mike,,,,,No,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2031,19,Panama city,Nebraska,42,7,Yes,Josh,Nick,,,,,No,No,No,YES,FINAL,Merged from scores.csv (user-v-user history)
2032,1,Alabaster,Panama City,37,40,No,Noah,Josh,,,,,Yes,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2032,1,Death Valley,Hammond,24,35,No,Doug,Devin,,,,,Yes,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2032,1,Death Valley,Nebraska,28,35,No,Doug,Nick,,,,,Yes,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2032,1,Nebraska,Hammond,35,38,No,Nick,Devin,,,,,Yes,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2032,1,Rapid City,Alabaster,31,34,No,Mike,Noah,,,,,Yes,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2032,1,Rapid City,Panama City,54,24,No,Mike,Josh,,,,,Yes,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2032,15,Rapid City,Panama city,37,36,No,Mike,Josh,,,,,No,Yes,No,NO,FINAL,Appended from Island_Dynasty_User_Records_26.xlsx
2032,18,Alabaster,Nebraska,38,35,yes,Noah,Nick,,,,,No,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2032,18,Rapid City,Hammond,59,19,yes,Mike,Devin,,,,,No,no,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2032,18,Rapid City,Panama city,42,30,yes,Mike,Josh,,,,,No,no,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2033,1,Alabaster,Rapid City,14,42,no,Noah,Mike,,,,,Yes,no,no,NO,FINAL,Merged from scores.csv (user-v-user history)
2033,1,Hammond,Nebraska,35,42,no,Devin,Nick,,,,,Yes,no,no,NO,FINAL,Merged from scores.csv (user-v-user history)
2033,1,Nebraska,Death Valley,62,10,no,Nick,Doug,,,,,Yes,no,no,NO,FINAL,Merged from scores.csv (user-v-user history)
2033,1,Panama City,Alabaster,42,52,no,Josh,Noah,,,,,Yes,no,no,NO,FINAL,Merged from scores.csv (user-v-user history)
2033,1,Panama City,Rapid City,35,46,no,Josh,Mike,,,,,Yes,no,no,NO,FINAL,Merged from scores.csv (user-v-user history)
2033,17,Panama City,Death Valley,42,23,no,Josh,Doug,,,,,no,no,yes,NO,FINAL,Merged from scores.csv (user-v-user history)
2033,18,Alabaster,Nebraska,28,35,yes,Noah,Nick,,,,,no,no,no,NO,FINAL,Merged from scores.csv (user-v-user history)
2033,18,Hammond,Nebraska,44,42,Yes,Devin,Nick,,,,,No,No,No,NO,FINAL,Appended from Island_Dynasty_User_Records_26.xlsx
2033,18,Hammond,Rapid City,65,41,Yes,Devin,Mike,,,,,No,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2034,1,Alabaster,Georgia,42,14,no,Noah,Josh,,,,,yes,no,no,NO,FINAL,Merged from scores.csv (user-v-user history)
2034,1,Death Valley,Nebraska,28,42,No,Doug,Nick,,,,,Yes,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2034,1,Death Valley,Rapid City,7,48,No,Doug,Mike,,,,,Yes,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2034,1,Hammond,Alabaster,63,32,no,Devin,Noah,,,,,yes,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2034,1,Hammond,Georgia,28,35,no,Devin,Josh,,,,,yes,no,no,NO,FINAL,Merged from scores.csv (user-v-user history)
2034,1,Nebraska,Rapid City,28,31,no,Nick,Mike,,,,,Yes,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2034,18,Alabaster,Rapid City,34,56,Yes,Noah,Mike,,,,,no,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2034,18,Georgia,Rapid City,19,27,Yes,Josh,Mike,,,,,no,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2034,18,Hammond,Nebraska,35,36,Yes,Devin,Nick,,,,,No,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2034,18,Nebraska,Rapid City,35,42,Yes,Nick,Mike,,,,,No,No,No,NO,FINAL,Appended from Island_Dynasty_User_Records_26.xlsx
2035,1,Alabaster,Nebraska,31,21,no,Noah,Nick,,,,,yes,no,no,NO,FINAL,Merged from scores.csv (user-v-user history)
2035,1,Georgia,Alabaster,35,38,no,Josh,Noah,,,,,yes,no,no,NO,FINAL,Merged from scores.csv (user-v-user history)
2035,1,Georgia,Nebraska,38,35,no,Josh,Nick,,,,,yes,no,no,NO,FINAL,Merged from scores.csv (user-v-user history)
2035,1,Hammond,Death Valley,42,28,no,Devin,Doug,,,,,yes,no,no,NO,FINAL,Merged from scores.csv (user-v-user history)
2035,1,Rapid City,Death Valley,56,28,no,Mike,Doug,,,,,yes,no,no,NO,FINAL,Merged from scores.csv (user-v-user history)
2035,1,Rapid City,Hammond,45,21,No,Mike,Devin,,,,,Yes,No,No,NO,FINAL,Appended from Island_Dynasty_User_Records_26.xlsx
2035,15,Rapid City,Hammond,30,31,no,Mike,Devin,,,,,no,yes,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2035,18,Georgia,Alabaster,35,42,Yes,Josh,Noah,,,,,No,No,No,NO,FINAL,Appended from Island_Dynasty_User_Records_26.xlsx
2035,18,Hammond,Nebraska,42,28,Yes,Devin,Nick,,,,,No,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2035,18,Rapid City,Hammond,59,21,Yes,Mike,Devin,,,,,No,No,No,NO,FINAL,Appended from Island_Dynasty_User_Records_26.xlsx
2035,19,Rapid City,Alabaster,35,7,yes,Mike,Noah,,,,,no,no,no,YES,FINAL,Merged from scores.csv (user-v-user history)
2036,1,Georgia,Alabaster,31,40,No,Josh,Noah,,,,,Yes,No,No,NO,FINAL,Appended from Island_Dynasty_User_Records_26.xlsx
2036,1,Hammond,Nebraska,49,70,no,Devin,Nick,,,,,yes,No,No,NO,FINAL,Merged from scores.csv (user-v-user history)
2036,1,Maryland,Death Valley,26,21,no,Mike,Doug,,,,,yes,no,no,NO,FINAL,Merged from scores.csv (user-v-user history)
2036,15,Georgia,Alabaster,56,52,No,Josh,Noah,,,,,No,Yes,No,NO,FINAL,Appended from Island_Dynasty_User_Records_26.xlsx
2036,18,Alabaster,Nebraska,49,43,yes,Noah,Nick,,,,,no,no,no,NO,FINAL,Merged from scores.csv (user-v-user history)
2036,18,Maryland,Death Valley,31,28,Yes,Mike,Doug,,,,,No,No,No,NO,FINAL,Appended from Island_Dynasty_User_Records_26.xlsx
2036,18,Maryland,Georgia,21,35,yes,Mike,Josh,,,,,no,no,no,NO,FINAL,Merged from scores.csv (user-v-user history)
2036,19,Georgia,Alabaster,22,30,yes,Josh,Noah,,,,,no,no,no,YES,FINAL,Merged from scores.csv (user-v-user history)
2037,1,Alabaster,Nebraska,39,46,no,Noah,Nick,,,,,yes,no,no,NO,FINAL,Bowling Green schedule screenshot
2037,1,Georgia,Alabaster,60,45,no,Josh,Noah,,,,,yes,no,no,NO,FINAL,Merged from scores.csv (user-v-user history)
2037,1,Georgia,Nebraska,14,9,No,Josh,Nick,,,,,Yes,No,No,NO,FINAL,Appended from Island_Dynasty_User_Records_26.xlsx
2037,1,Wyoming,Bowling Green,52,28,no,Mike,Devin,,,,,yes,no,no,NO,FINAL,Texas Tech schedule screenshot
2037,15,Nebraska,Georgia,36,33,no,Nick,Josh,,,,,no,yes,no,NO,FINAL,Florida schedule screenshot
2037,18,Alabaster,Georgia,24,27,yes,Noah,Josh,,,,,no,no,no,NO,FINAL,Bowling Green schedule screenshot
2037,18,Georgia,Nebraska,40,52,yes,Josh,Nick,,,,,no,no,no,NO,FINAL,Florida schedule screenshot
2037,18,Wyoming,Alabaster,27,28,yes,Mike,Noah,,,,,no,no,no,NO,FINAL,SJSU schedule screenshot
2037,19,Nebraska,Death Valley,34,65,yes,Nick,Doug,,,,,no,no,no,YES,FINAL,Florida State schedule screenshot
2038,1,Alabaster,Nebraska,38,14,no,Noah,Nick,,,,,yes,no,no,NO,FINAL,Florida schedule screenshot
2038,1,Bowling Green,Death Valley,43,36,no,Devin,Doug,,,,,yes,no,no,NO,FINAL,USF schedule screenshot
2038,1,Death Valley,Georgia,20,38,no,Doug,Josh,,,,,yes,no,no,NO,FINAL,Texas Tech schedule screenshot
2038,1,Nebraska,Wyoming,27,31,no,Nick,Mike,,,,,yes,no,no,NO,FINAL,USF schedule screenshot
2038,15,Death Valley,Georgia,35,65,No,Doug,Josh,,,,,No,Yes,No,NO,FINAL,Appended from Island_Dynasty_User_Records_26.xlsx
2038,15,Nebraska,Alabaster,42,45,No,Nick,Noah,,,,,No,Yes,No,NO,FINAL,Appended from Island_Dynasty_User_Records_26.xlsx
2038,18,Death Valley,Nebraska,28,34,yes,Doug,Nick,,,,,no,no,no,NO,FINAL,SJSU schedule screenshot
2038,18,Nebraska,Alabaster,34,35,yes,Nick,Noah,,,,,no,no,no,NO,FINAL,SJSU schedule screenshot
2038,18,Wyoming,Alabaster,42,41,yes,Mike,Noah,,,,,no,no,no,NO,FINAL,Bowling Green schedule screenshot
2038,19,Wyoming,Georgia,27,59,yes,Mike,Josh,,,,,no,no,no,YES,FINAL,Florida State schedule screenshot
2039,1,Bowling Green,Death Valley,35,14,no,Devin,Doug,,,,,yes,no,no,NO,FINAL,Texas Tech schedule screenshot
2039,1,Georgia,Wyoming,35,56,No,Josh,Mike,,,,,Yes,No,No,NO,FINAL,Appended from Island_Dynasty_User_Records_26.xlsx
2039,1,Texas Tech,Nebraska,35,38,no,Noah,Nick,,,,,yes,no,no,NO,FINAL,USF schedule screenshot
2039,15,Death Valley,Bowling Green,21,63,no,Doug,Devin,,,,,no,yes,no,NO,FINAL,Florida schedule screenshot
2039,15,Georgia,Wyoming,39,41,no,Josh,Mike,,,,,no,yes,no,NO,FINAL,SJSU schedule screenshot
2039,18,Death Valley,Georgia,28,55,yes,Doug,Josh,,,,,no,no,no,NO,FINAL,Bowling Green schedule screenshot
2039,18,Death Valley,Nebraska,35,21,yes,Doug,Nick,,,,,no,no,no,NO,FINAL,Florida State schedule screenshot
2039,18,Georgia,Wyoming,42,35,Yes,Josh,Mike,,,,,No,No,No,NO,FINAL,Appended from Island_Dynasty_User_Records_26.xlsx
2040,1,Florida State,Bowling Green,28,49,no,Nick,Devin,,,,,yes,no,no,NO,FINAL,Bowling Green schedule screenshot
2040,1,Texas Tech,Wyoming,44,69,no,Noah,Mike,,,,,yes,no,no,NO,FINAL,Florida State schedule screenshot
2040,1,UTSA,USF,21,34,no,Doug,Josh,,,,,yes,no,no,NO,FINAL,Texas Tech schedule screenshot
2040,18,USF,Bowling Green,35,38,yes,Josh,Devin,,,,,no,no,no,NO,FINAL,SJSU schedule screenshot
2040,19,Bowling Green,Wyoming,24,59,yes,Devin,Mike,,,,,no,no,no,YES,FINAL,Florida State schedule screenshot
2041,1,Appalachian State,San Jose State,39,51,,,Mike,25,,,,1,0,0,0,FINAL,Texas Tech schedule screenshot
2041,1,Arizona State,Texas Tech,28,42,,,Noah,,,,,1,0,0,0,FINAL,Bowling Green schedule screenshot
2041,1,Baylor,USF,20,52,,,Josh,,,,,1,0,0,0,FINAL,Florida schedule screenshot
2041,1,Death Valley,Florida,13,41,,,Doug,,,,,1,0,0,0,FINAL,Bowling Green schedule screenshot
2041,1,Georgia Tech,Florida State,10,63,,,Nick,13,,,,1,0,0,0,FINAL,Florida schedule screenshot
2041,1,SMU,Bowling Green,61,63,,,Devin,,,,,1,0,0,0,FINAL,USF schedule screenshot
