Year,Rank,Team,User,TotalCommits,FiveStar,FourStar,ThreeStar,TwoStar,OneStar,Points
2041,119,West Virginia,,3,0,2,1,0,0,54.50
2041,120,Northwestern,,6,0,0,0,5,1,52.60
2041,121,Charlotte,,12,0,0,0,1,11,52.60
2041,122,Missouri State,,10,0,0,0,2,8,52.50
2041,123,Kent State,,10,0,0,0,2,8,52.50
2041,124,Akron,,11,0,0,0,1,10,50.25
2041,125,Texas State,,9,0,0,0,2,7,49.45
2041,126,Ohio,,4,0,0,3,0,1,49.30
2041,127,E. Michigan,,8,0,0,0,2,6,46.10
2041,128,UTEP,,9,0,0,0,1,8,44.50
2041,129,C. Carolina,,5,0,0,0,4,1,43.75
2041,130,Ball State,,3,0,0,2,1,0,39.65
2041,131,Ga Southern,,4,0,0,1,2,1,39.45
2041,132,W. Michigan,,7,0,0,0,1,6,37.45
2041,133,South Alabama,,5,0,0,0,1,4,29.15
2041,134,Boise State,,2,0,0,1,1,0,24.90
2041,135,New Mexico St.,,5,0,0,0,0,5,24.15
2041,136,Wyoming,,0,0,0,0,0,0,0.00
