YEAR,SEED,TEAM,RECORD
2041,1,Florida State,12-1
2041,2,Texas Tech,12-1
2041,3,Rapid City,12-1
2041,4,Bowling Green,12-1
2041,5,Clemson,12-1
2041,6,Texas A&M,10-2
2041,7,Alabaster,10-3
2041,8,San Jose State,10-4
2041,9,Texas,11-2
2041,10,Georgia Tech,11-2
2041,11,USF,10-2
2041,12,San Diego State,12-1
