USER,TEAM,GAMES,RECORD_WINS,RECORD_LOSSES,AVG_GAME_CONTROL,MEDIAN_GAME_CONTROL,BEST_GAME_CONTROL,WORST_GAME_CONTROL,AVG_BASE_CONTROL,AVG_MARGIN,AVG_YPP_DIFF,AVG_TURNOVER_EDGE,CONTROLLED_WINS,ELITE_CONTROL_GAMES,CLOSE_ESCAPES,FALSE_BLOWOUTS,STEALTH_DOMINANCE_GAMES,ROBBED_GAMES,CONTROL_VOLATILITY,LAST_3_AVG,LAST_GAME,AVG_OPP_RANK_AT_GAME,AVG_OPP_CONTEXT_STRENGTH,CONSISTENCY_LABEL
Noah,Texas Tech,12,12,0,82.72,84.3,97.28,64.73,77.29,25.75,2.833,1.42,12,9,1,0,0,0,9.3,79.52,68.99,13.0,0.59,Machine
Devin,Bowling Green,10,10,0,82.6,82.91,97.96,62.3,77.39,30.7,2.154,0.1,10,7,1,0,0,0,11.0,74.3,85.95,12.8,0.58,Reliable
Josh,USF,10,8,2,82.23,88.58,99.25,39.0,76.84,31.8,1.399,0.2,8,8,0,0,0,1,19.44,71.87,88.61,11.17,0.64,Chaos
Nick,Florida State,9,7,2,71.44,70.63,95.53,42.91,67.91,19.33,1.286,-1.11,7,4,1,0,0,1,19.51,90.09,95.53,14.0,0.55,Chaos
Doug,Florida,11,9,2,69.35,72.65,94.41,37.29,65.82,13.55,0.418,-0.55,8,4,2,0,0,0,16.35,83.96,79.36,13.0,0.61,Mixed Bag
Mike,San Jose State,11,8,3,67.03,68.56,94.73,39.14,63.57,8.27,0.889,-0.91,8,5,2,0,1,2,16.71,66.65,94.73,11.57,0.62,Mixed Bag
