YEAR,ROUND,GAME_ID,TEAM1,SEED1,DISPLAY_RANK1,RECORD1,TEAM1_SCORE,TEAM2,SEED2,DISPLAY_RANK2,RECORD2,TEAM2_SCORE,WINNER,LOSER,COMPLETED,SOURCE,NOTES
2030,NCG,2030_NCG_1,Alabaster,2,2,15-1,31,Rapid City,4,4,14-2,27,Alabaster,Rapid City,1,Bracket screenshot,
2030,QF,2030_QF_1,San Diego State,12,13,13-2,27,Rapid City,4,4,14-2,51,Rapid City,San Diego State,1,Bracket screenshot,
2030,QF,2030_QF_2,Oregon,9,9,12-Feb,3,Nebraska,1,1,14-1,49,Nebraska,Oregon,1,Bracket screenshot,
2030,QF,2030_QF_3,Notre Dame,11,11,11-Mar,36,Hammond,3,3,13-2,39,Hammond,Notre Dame,1,Bracket screenshot,
2030,QF,2030_QF_4,Death Valley,7,7,13-2,35,Alabaster,2,2,15-1,48,Alabaster,Death Valley,1,Bracket screenshot,
2030,R1,2030_R1_1,San Diego State,12,13,13-2,35,Penn State,5,5,11-Feb,34,San Diego State,Penn State,1,Bracket screenshot,
2030,R1,2030_R1_2,Oregon,9,9,12-Feb,31,Miami,8,8,11-Feb,10,Oregon,Miami,1,Bracket screenshot,
2030,R1,2030_R1_3,Notre Dame,11,11,11-Mar,32,Michigan,6,6,11-Feb,31,Notre Dame,Michigan,1,Bracket screenshot,
2030,R1,2030_R1_4,Oklahoma State,10,10,12-Feb,35,Death Valley,7,7,13-2,49,Death Valley,Oklahoma State,1,Bracket screenshot,
2030,SF,2030_SF_1,Rapid City,4,4,14-2,45,Nebraska,1,1,14-1,28,Rapid City,Nebraska,1,Bracket screenshot,
2030,SF,2030_SF_2,Hammond,3,3,13-2,70,Alabaster,2,2,15-1,73,Alabaster,Hammond,1,Bracket screenshot,
2031,NCG,2031_NCG_1,Panama City,4,4,15-1,42,Nebraska,2,2,14-2,7,Panama City,Nebraska,1,Bracket screenshot,
2031,QF,2031_QF_1,Ole Miss,12,12,10-Apr,34,Panama City,4,4,15-1,48,Panama City,Ole Miss,1,Bracket screenshot,
2031,QF,2031_QF_2,Alabaster,8,8,11-Mar,66,Rapid City,1,1,14-1,84,Rapid City,Alabaster,1,Bracket screenshot,
2031,QF,2031_QF_3,Oklahoma,11,11,10-Apr,32,Miami,3,3,12-Mar,38,Miami,Oklahoma,1,Bracket screenshot,
2031,QF,2031_QF_4,West Virginia,7,7,14-1,13,Nebraska,2,2,14-2,70,Nebraska,West Virginia,1,Bracket screenshot,
2031,R1,2031_R1_1,Ole Miss,12,12,10-Apr,38,Hammond,5,5,11-Mar,24,Ole Miss,Hammond,1,Bracket screenshot,
2031,R1,2031_R1_2,Oklahoma State,9,9,11-Mar,28,Alabaster,8,8,11-Mar,31,Alabaster,Oklahoma State,1,Bracket screenshot,
2031,R1,2031_R1_3,Oklahoma,11,11,10-Apr,37,Washington,6,6,10-Mar,21,Oklahoma,Washington,1,Bracket screenshot,
2031,R1,2031_R1_4,TCU,10,10,10-Apr,42,West Virginia,7,7,14-1,56,West Virginia,TCU,1,Bracket screenshot,
2031,SF,2031_SF_1,Panama City,4,4,15-1,45,Rapid City,1,1,14-1,32,Panama City,Rapid City,1,Bracket screenshot,
2031,SF,2031_SF_2,Miami,3,3,12-Mar,41,Nebraska,2,2,14-2,49,Nebraska,Miami,1,Bracket screenshot,
2032,NCG,2032_NCG_1,Clemson,2,2,13-3,38,Rapid City,5,5,15-2,56,Rapid City,Clemson,1,Bracket screenshot,
2032,QF,2032_QF_1,Rapid City,5,5,15-2,42,Panama City,4,4,11-Mar,30,Rapid City,Panama City,1,Bracket screenshot,
2032,QF,2032_QF_2,USC,8,8,11-Mar,45,Hammond,1,1,14-1,56,Hammond,USC,1,Bracket screenshot,
2032,QF,2032_QF_3,Baylor,11,15,12-Mar,21,Miami,3,3,13-2,31,Miami,Baylor,1,Bracket screenshot,
2032,QF,2032_QF_4,Alabaster,10,10,11-Mar,30,Clemson,2,2,13-3,38,Clemson,Alabaster,1,Bracket screenshot,
2032,R1,2032_R1_1,West Virginia,12,16,12-Feb,14,Rapid City,5,5,15-2,45,Rapid City,West Virginia,1,Bracket screenshot,
2032,R1,2032_R1_2,Michigan,9,9,11-Mar,17,USC,8,8,11-Mar,38,USC,Michigan,1,Bracket screenshot,
2032,R1,2032_R1_3,Baylor,11,15,12-Mar,22,Ole Miss,6,6,10-Mar,21,Baylor,Ole Miss,1,Bracket screenshot,
2032,R1,2032_R1_4,Alabaster,10,10,11-Mar,38,Nebraska,7,7,10-Mar,35,Alabaster,Nebraska,1,Bracket screenshot,
2032,SF,2032_SF_1,Rapid City,5,5,15-2,59,Hammond,1,1,14-1,19,Rapid City,Hammond,1,Bracket screenshot,
2032,SF,2032_SF_2,Miami,3,3,13-2,24,Clemson,2,2,13-3,38,Clemson,Miami,1,Bracket screenshot,
2033,NCG,2033_NCG_1,Hammond,3,3,14-1,44,Nebraska,1,1,15-1,42,Hammond,Nebraska,1,Bracket screenshot,
2033,QF,2033_QF_1,Notre Dame,5,5,13-1,25,TCU,4,4,14-1,35,TCU,Notre Dame,1,Bracket screenshot,
2033,QF,2033_QF_2,Alabaster,9,9,11-Mar,28,Nebraska,1,1,15-1,35,Nebraska,Alabaster,1,Bracket screenshot,
2033,QF,2033_QF_3,Michigan,11,11,11-Mar,13,Hammond,3,3,14-1,49,Hammond,Michigan,1,Bracket screenshot,
2033,QF,2033_QF_4,USC,7,7,12-Mar,17,Rapid City,2,2,14-1,49,Rapid City,USC,1,Bracket screenshot,
2033,R1,2033_R1_1,San Diego State,12,21,11-Mar,17,Notre Dame,5,5,13-1,49,Notre Dame,San Diego State,1,Bracket screenshot,
2033,R1,2033_R1_2,Alabaster,9,9,11-Mar,31,Ohio State,8,8,10-Mar,13,Alabaster,Ohio State,1,Bracket screenshot,
2033,R1,2033_R1_3,Michigan,11,11,11-Mar,31,Clemson,6,6,11-Mar,14,Michigan,Clemson,1,Bracket screenshot,
2033,R1,2033_R1_4,SMU,10,10,11-Mar,24,USC,7,7,12-Mar,45,USC,SMU,1,Bracket screenshot,
2033,SF,2033_SF_1,TCU,4,4,14-1,28,Nebraska,1,1,15-1,49,Nebraska,TCU,1,Bracket screenshot,
2033,SF,2033_SF_2,Hammond,3,3,14-1,65,Rapid City,2,2,14-1,41,Hammond,Rapid City,1,Bracket screenshot,
2034,NCG,2034_NCG_1,Nebraska,6,6,14-2,35,Rapid City,1,1,16-0,42,Rapid City,Nebraska,1,Bracket screenshot,
2034,QF,2034_QF_1,Penn State,5,5,13-2,24,Georgia,4,4,12-Feb,56,Georgia,Penn State,1,Bracket screenshot,
2034,QF,2034_QF_2,Alabaster,9,9,11-Mar,34,Rapid City,1,1,16-0,56,Rapid City,Alabaster,1,Bracket screenshot,
2034,QF,2034_QF_3,Nebraska,6,6,14-2,36,Hammond,3,3,12-Feb,35,Nebraska,Hammond,1,Bracket screenshot,
2034,QF,2034_QF_4,TCU,10,10,13-3,42,Clemson,2,2,11-Feb,36,TCU,Clemson,1,Bracket screenshot,
2034,R1,2034_R1_1,West Virginia,12,18,12-Feb,37,Penn State,5,5,13-2,55,Penn State,West Virginia,1,Bracket screenshot,
2034,R1,2034_R1_2,Alabaster,9,9,11-Mar,34,Oklahoma State,8,8,11-Mar,6,Alabaster,Oklahoma State,1,Bracket screenshot,
2034,R1,2034_R1_3,Tulane,11,13,12-Feb,17,Nebraska,6,6,14-2,49,Nebraska,Tulane,1,Bracket screenshot,
2034,R1,2034_R1_4,TCU,10,10,13-3,31,Oklahoma,7,7,11-Mar,28,TCU,Oklahoma,1,Bracket screenshot,
2034,SF,2034_SF_1,Georgia,4,4,12-Feb,19,Rapid City,1,1,16-0,27,Rapid City,Georgia,1,Bracket screenshot,
2034,SF,2034_SF_2,Nebraska,6,6,14-2,58,TCU,10,10,13-3,24,Nebraska,TCU,1,Bracket screenshot,
2035,NCG,2035_NCG_1,Rapid City,3,3,15-1,42,Alabaster,1,1,14-2,21,Rapid City,Alabaster,1,Bracket screenshot,
2035,QF,2035_QF_1,Georgia,5,5,12-Mar,51,Ole Miss,4,4,12-Feb,35,Georgia,Ole Miss,1,Bracket screenshot,
2035,QF,2035_QF_2,USC,9,9,11-Mar,24,Alabaster,1,1,14-2,38,Alabaster,USC,1,Bracket screenshot,
2035,QF,2035_QF_3,Clemson,6,6,13-2,30,Rapid City,3,3,15-1,37,Rapid City,Clemson,1,Bracket screenshot,
2035,QF,2035_QF_4,Hammond,10,10,13-3,35,Oklahoma State,2,2,13-1,28,Hammond,Oklahoma State,1,Bracket screenshot,
2035,R1,2035_R1_1,Boise State,12,15,13-1,20,Georgia,5,5,12-Mar,56,Georgia,Boise State,1,Bracket screenshot,
2035,R1,2035_R1_2,USC,9,9,11-Mar,31,LSU,8,8,11-Feb,17,USC,LSU,1,Bracket screenshot,
2035,R1,2035_R1_3,Tulane,11,14,11-Mar,35,Clemson,6,6,13-2,56,Clemson,Tulane,1,Bracket screenshot,
2035,R1,2035_R1_4,Hammond,10,10,13-3,42,Nebraska,7,7,10-Mar,28,Hammond,Nebraska,1,Bracket screenshot,
2035,SF,2035_SF_1,Georgia,5,5,12-Mar,35,Alabaster,1,1,14-2,42,Alabaster,Georgia,1,Bracket screenshot,
2035,SF,2035_SF_2,Rapid City,3,3,15-1,59,Hammond,10,10,13-3,21,Rapid City,Hammond,1,Bracket screenshot,
2036,NCG,2036_NCG_1,Georgia,2,2,14-2,22,Alabaster,4,4,15-1,30,Alabaster,Georgia,1,Bracket screenshot,
2036,QF,2036_QF_1,Rapid City,5,5,14-1,21,Alabaster,4,4,15-1,46,Alabaster,Rapid City,1,Bracket screenshot,
2036,QF,2036_QF_2,USC,9,9,11-Mar,10,Nebraska,1,1,14-1,42,Nebraska,USC,1,Bracket screenshot,
2036,QF,2036_QF_3,Maryland,6,6,13-2,31,Death Valley,3,3,11-Feb,28,Maryland,Death Valley,1,Bracket screenshot,
2036,QF,2036_QF_4,Miami,7,7,12-Mar,20,Georgia,2,2,14-2,56,Georgia,Miami,1,Bracket screenshot,
2036,R1,2036_R1_1,San Diego State,12,13,13-1,35,Rapid City,5,5,14-1,38,Rapid City,San Diego State,1,Bracket screenshot,
2036,R1,2036_R1_2,USC,9,9,11-Mar,31,Alabama,8,8,11-Feb,17,USC,Alabama,1,Bracket screenshot,
2036,R1,2036_R1_3,Florida,11,11,10-Mar,23,Maryland,6,6,13-2,28,Maryland,Florida,1,Bracket screenshot,
2036,R1,2036_R1_4,Georgia Tech,10,10,11-Mar,7,Miami,7,7,12-Mar,45,Miami,Georgia Tech,1,Bracket screenshot,
2036,SF,2036_SF_1,Alabaster,4,4,15-1,49,Nebraska,1,1,14-1,43,Alabaster,Nebraska,1,Bracket screenshot,
2036,SF,2036_SF_2,Maryland,6,6,13-2,21,Georgia,2,2,14-2,35,Georgia,Maryland,1,Bracket screenshot,
2037,NCG,2037_NCG_1,Nebraska,2,2,14-2,34,Death Valley,1,1,16-0,65,Death Valley,Nebraska,1,Bracket screenshot,
2037,QF,2037_QF_1,Ohio State,5,5,13-2,28,Michigan,4,4,12-Feb,14,Ohio State,Michigan,1,Bracket screenshot,
2037,QF,2037_QF_2,Penn State,8,8,11-Apr,10,Death Valley,1,1,16-0,35,Death Valley,Penn State,1,Bracket screenshot,
2037,QF,2037_QF_3,Alabaster,6,6,11-Mar,24,Georgia,3,3,13-2,27,Georgia,Alabaster,1,Bracket screenshot,
2037,QF,2037_QF_4,USC,7,7,10-Apr,45,Nebraska,2,2,14-2,47,Nebraska,USC,1,Bracket screenshot,
2037,R1,2037_R1_1,Colorado,12,12,11-Mar,19,Ohio State,5,5,13-2,41,Ohio State,Colorado,1,Bracket screenshot,
2037,R1,2037_R1_2,Georgia Tech,9,9,11-Mar,13,Penn State,8,8,11-Apr,24,Penn State,Georgia Tech,1,Bracket screenshot,
2037,R1,2037_R1_3,Wyoming,11,11,13-1,27,Alabaster,6,6,11-Mar,28,Alabaster,Wyoming,1,Bracket screenshot,
2037,R1,2037_R1_4,TCU,10,10,11-Mar,30,USC,7,7,10-Apr,35,USC,TCU,1,Bracket screenshot,
2037,SF,2037_SF_1,Ohio State,5,5,13-2,24,Death Valley,1,1,16-0,42,Death Valley,Ohio State,1,Bracket screenshot,
2037,SF,2037_SF_2,Georgia,3,3,13-2,40,Nebraska,2,2,14-2,52,Nebraska,Georgia,1,Bracket screenshot,
2038,NCG,2038_NCG_1,Wyoming,3,3,15-1,27,Georgia,1,1,16-0,59,Georgia,Wyoming,1,Bracket screenshot,
2038,QF,2038_QF_1,Panama City,12,12,11-Apr,23,Rapid City,4,4,14-1,45,Rapid City,Panama City,1,Bracket screenshot,
2038,QF,2038_QF_2,Oregon,8,8,11-Mar,17,Georgia,1,1,16-0,56,Georgia,Oregon,1,Bracket screenshot,
2038,QF,2038_QF_3,Miami,6,6,12-Mar,21,Wyoming,3,3,15-1,31,Wyoming,Miami,1,Bracket screenshot,
2038,QF,2038_QF_4,Nebraska,7,7,11-Apr,34,Alabaster,2,2,14-1,35,Alabaster,Nebraska,1,Bracket screenshot,
2038,R1,2038_R1_1,Panama City,12,12,11-Apr,37,Michigan,5,5,10-Mar,34,Panama City,Michigan,1,Bracket screenshot,
