Team,MSPlus,_ratings,_recruiting,_transfer,_veteran,_speed,_qb,_performance,_clobber,_chaos,_generational,_heisman
Missouri,51.2,20.0,63.1,63.1,66.5,70,70.0,50.0,33.9,50.6,50,50.0
San Diego State,50.4,39.2,40.0,50.0,67.3,54,55.0,50.0,53.3,70.0,62,50.0
Indiana,49.9,20.0,55.4,60.0,66.4,70,55.0,50.0,52.8,44.0,62,50.0
Memphis,49.2,16.7,57.7,76.2,53.5,58,70.0,50.0,38.2,57.6,50,50.0
BYU,47.9,30.0,36.2,46.2,60.2,62,50.0,50.0,77.1,57.5,50,50.0
Wisconsin,47.9,20.0,60.8,16.9,66.3,70,55.0,50.0,58.5,32.0,74,50.0
Illinois,47.8,7.5,54.6,83.1,58.5,70,55.0,50.0,32.1,100.0,50,50.0
Iowa,47.1,29.2,70.0,26.2,58.0,62,55.0,50.0,33.6,24.5,50,50.0
UCF,46.4,0.0,44.6,76.9,60.5,74,80.0,50.0,42.0,29.0,50,50.0
Pittsburgh,45.9,24.2,32.3,6.9,76.5,54,70.0,50.0,67.0,65.0,50,50.0
Kansas,45.9,16.7,40.8,59.2,58.0,54,70.0,50.0,55.7,26.5,50,50.0
Virginia,45.7,16.7,56.2,81.5,50.5,54,55.0,50.0,43.8,0.0,50,50.0
Temple,45.6,7.5,58.5,79.2,56.0,50,50.0,50.0,53.4,38.0,50,50.0
Toledo,45.2,12.5,53.8,73.8,50.5,50,55.0,50.0,63.5,0.9,50,50.0
Troy,45.2,16.7,46.9,48.5,71.5,50,55.0,50.0,65.3,0.0,50,50.0
South Carolina,45.1,7.5,38.5,80.8,65.5,54,70.0,50.0,24.9,70.7,50,50.0
Utah,44.6,7.5,41.5,75.4,60.5,62,50.0,50.0,37.3,100.0,50,50.0
Charlotte,44.6,0.0,3.8,41.5,90.5,58,100.0,50.0,54.3,91.1,50,50.0
Michigan State,43.1,7.5,48.5,30.0,56.0,54,55.0,50.0,56.1,100.0,50,50.0
Louisville,42.9,13.3,43.8,17.7,58.8,74,70.0,50.0,37.0,24.5,62,50.0
Fresno State,42.8,0.0,45.4,54.6,56.5,66,55.0,50.0,57.4,54.8,50,50.0
Colorado,42.5,7.5,56.9,50.8,55.8,62,50.0,50.0,30.2,51.0,50,50.0
Kentucky,42.1,4.2,37.7,67.7,58.5,62,70.0,50.0,39.0,0.0,50,50.0
Iowa State,41.8,0.0,6.2,40.8,75.5,58,90.0,50.0,46.0,79.4,62,50.0
Syracuse,41.1,0.0,36.9,18.5,66.0,62,70.0,50.0,33.5,100.0,62,50.0
Kansas State,40.9,0.0,34.6,33.1,58.2,54,70.0,50.0,44.5,100.0,50,50.0
Purdue,40.2,3.3,53.1,30.8,60.5,58,55.0,50.0,37.0,30.5,50,50.0
Boston College,39.8,10.8,52.3,26.9,54.8,62,50.0,50.0,41.2,0.0,50,50.0
Ohio,39.5,3.3,15.4,53.1,58.5,54,70.0,50.0,63.7,22.8,50,50.0
Southern Mississippi,39.4,5.8,6.7,50.0,62.2,58,80.0,50.0,56.3,11.9,50,50.0
Maryland,39.3,13.3,68.5,1.5,51.0,58,55.0,50.0,22.3,8.0,50,50.0
Hawai'i,39.1,0.0,35.4,37.7,53.2,54,70.0,50.0,48.0,32.0,50,50.0
Marshall,39.0,0.0,59.2,28.5,56.0,58,35.0,50.0,51.3,47.0,50,50.0
Air Force,39.0,0.0,26.9,53.8,55.8,50,70.0,50.0,31.9,71.0,50,50.0
Florida International,39.0,5.8,6.7,50.0,57.5,62,80.0,50.0,47.8,26.0,50,50.0
Arizona,38.9,0.0,31.5,33.8,65.5,58,55.0,50.0,51.2,55.1,50,50.0
Army,38.6,0.0,25.4,43.1,65.5,62,55.0,50.0,29.6,100.0,50,50.0
Boise State,38.5,15.0,23.1,66.9,53.2,58,35.0,50.0,57.5,0.0,50,50.0
Rutgers,38.4,13.3,20.8,27.7,56.0,58,65.0,50.0,46.7,24.5,50,50.0
Navy,37.7,13.3,21.5,19.2,65.5,62,50.0,50.0,61.0,0.0,50,50.0
Tulane,37.6,3.3,40.0,4.6,66.5,58,50.0,50.0,54.4,33.6,50,50.0
Appalachian State,37.2,4.2,3.3,50.0,71.0,62,55.0,50.0,50.1,45.5,50,50.0
UConn,36.6,3.3,27.7,55.4,50.0,58,35.0,50.0,32.2,99.5,50,50.0
Louisiana Tech,36.5,0.0,24.6,23.1,50.0,58,55.0,50.0,63.0,57.5,50,50.0
Minnesota,36.4,3.3,51.5,32.3,55.5,54,35.0,50.0,30.6,30.5,50,50.0
Washington State,35.8,0.0,0.0,50.0,56.0,54,70.0,50.0,43.5,68.9,50,50.0
Kennesaw State,35.8,0.0,0.0,50.0,70.5,50,70.0,50.0,52.3,4.7,50,50.0
James Madison,35.4,0.0,17.7,34.6,60.5,54,55.0,50.0,39.6,61.2,50,50.0
Cincinnati,35.2,0.0,42.3,35.4,58.5,54,35.0,50.0,46.2,0.0,50,50.0
Oregon State,35.0,0.0,33.8,38.5,50.5,54,55.0,50.0,36.4,0.0,50,50.0
Mississippi State,34.4,0.0,0.0,50.0,56.0,54,55.0,50.0,67.5,17.5,50,50.0
Western Michigan,34.1,0.0,0.0,50.0,50.5,50,70.0,50.0,44.5,36.5,50,50.0
Colorado State,34.0,0.0,18.5,8.5,79.8,70,35.0,50.0,36.9,67.5,50,50.0
Ball State,33.8,0.0,12.3,52.3,64.8,54,55.0,50.0,30.3,0.0,50,50.0
Missouri State,33.6,0.0,7.7,56.9,50.0,54,35.0,50.0,62.1,47.0,50,50.0
UTSA,33.4,0.0,19.2,20.0,58.5,58,35.0,50.0,41.9,100.0,50,50.0
Liberty,33.1,0.0,22.3,5.4,71.0,58,35.0,50.0,58.9,23.9,50,50.0
Tulsa,33.0,0.0,30.8,3.8,50.5,58,35.0,50.0,45.8,86.2,50,50.0
Louisiana,32.7,0.0,10.8,0.0,65.5,66,55.0,50.0,36.7,61.1,50,50.0
Rice,32.4,7.5,11.5,2.3,65.5,58,55.0,50.0,37.2,9.5,50,50.0
Gate City,32.3,0.0,30.0,3.1,61.5,58,35.0,50.0,39.2,49.0,50,50.0
Middle Tennessee,32.3,0.0,0.0,50.0,55.5,54,50.0,50.0,30.9,67.5,50,50.0
Northwestern,32.3,0.0,6.9,15.4,55.5,58,55.0,50.0,45.5,56.6,50,50.0
Georgia State,32.3,0.0,0.0,10.8,65.5,54,70.0,50.0,33.0,50.9,50,50.0
Massachusetts,32.0,0.0,0.0,50.0,60.8,54,50.0,50.0,40.0,15.5,50,50.0
Coastal Carolina,31.7,0.0,0.0,50.0,50.5,58,55.0,50.0,39.5,11.0,50,50.0
Miami University,31.5,4.2,3.3,50.0,55.5,54,35.0,50.0,26.4,67.7,50,50.0
UNLV,31.5,0.0,20.0,16.2,50.0,50,55.0,50.0,36.8,23.6,50,50.0
Arkansas State,31.3,0.0,13.8,0.8,65.5,58,55.0,50.0,43.7,0.0,50,50.0
Texas State,31.0,0.0,0.0,10.0,95.5,50,35.0,50.0,44.3,31.2,50,50.0
Vanderbilt,30.9,0.0,16.9,22.3,50.0,50,35.0,50.0,50.9,42.5,50,50.0
Georgia Southern,30.6,0.0,0.0,50.0,50.5,58,35.0,50.0,45.1,38.0,50,50.0
Eastern Michigan,30.4,0.0,0.0,50.0,58.2,50,35.0,50.0,52.9,3.5,50,50.0
New Mexico State,29.9,0.0,0.0,50.0,50.0,54,35.0,50.0,50.1,12.3,50,50.0
Delaware,29.3,0.0,10.0,23.8,50.0,58,35.0,50.0,48.3,7.4,50,50.0
Western Kentucky,28.8,0.0,0.0,50.0,50.0,50,35.0,50.0,25.2,51.6,50,50.0
Kent State,28.8,0.0,0.0,13.1,50.0,50,55.0,50.0,52.3,0.0,50,50.0
Central Michigan,28.7,0.0,0.0,50.0,50.0,54,35.0,50.0,40.5,0.0,50,50.0
UL Monroe,28.5,0.0,13.1,6.2,50.0,58,55.0,50.0,22.9,0.0,50,50.0
Sam Houston,27.9,0.0,9.2,13.8,50.0,50,35.0,50.0,42.9,24.5,50,50.0
Jacksonville State,27.2,0.0,0.0,50.0,50.0,50,35.0,50.0,25.2,0.0,50,50.0
Old Dominion,27.0,0.0,2.3,24.6,50.0,50,35.0,50.0,33.0,29.0,50,50.0
UTEP,26.0,0.0,0.0,0.0,55.5,50,35.0,50.0,40.5,32.0,50,50.0
South Alabama,25.1,0.0,0.0,0.0,50.0,50,35.0,50.0,46.0,7.2,50,50.0
Akron,24.7,0.0,1.5,25.4,50.0,54,35.0,50.0,11.9,0.0,50,50.0
Utah State,24.6,0.0,8.5,0.0,50.0,54,35.0,50.0,22.7,0.0,50,50.0
