Team,MSPlus,_ratings,_recruiting,_transfer,_veteran,_speed,_qb,_performance,_clobber,_chaos,_generational,_heisman
Notre Dame,85.5,96.7,93.1,99.2,84.3,78,90.0,50.0,82.0,56.0,86,100.0
Texas,81.7,90.8,83.1,97.7,89.7,82,90.0,50.0,71.2,18.0,98,80.0
Texas Tech,81.5,74.2,95.4,87.7,78.4,82,100.0,50.0,89.3,65.0,74,100.0
Bowling Green,81.3,86.7,98.5,62.3,78.4,70,100.0,50.0,84.6,65.0,74,100.0
Alabama,80.9,83.3,94.6,98.5,84.1,74,100.0,50.0,54.2,70.4,62,100.0
Nebraska,80.1,96.7,99.2,20.8,93.6,78,90.0,50.0,57.7,100.0,100,50.0
Ohio State,77.4,90.8,96.9,94.6,81.8,66,70.0,50.0,61.0,13.4,74,100.0
Georgia,76.6,89.2,97.7,61.5,85.0,78,70.0,50.0,66.5,100.0,50,50.0
Ole Miss,75.8,70.0,89.2,96.9,75.0,86,80.0,50.0,75.2,60.5,74,50.0
Auburn,75.1,55.8,81.5,93.8,75.8,78,100.0,50.0,65.4,66.5,98,100.0
Florida State,74.6,74.2,86.2,86.9,80.0,82,70.0,50.0,63.2,100.0,74,50.0
Clemson,74.5,90.8,84.6,69.2,74.5,74,70.0,50.0,65.3,13.1,98,80.0
USF,73.8,48.3,93.8,95.4,70.1,78,100.0,50.0,88.4,25.0,62,100.0
Michigan,73.4,96.7,88.5,96.2,81.7,62,50.0,50.0,66.8,3.0,62,50.0
Georgia Tech,73.0,70.0,73.1,66.2,78.2,82,100.0,50.0,72.6,56.0,74,50.0
Florida,72.7,65.0,82.3,83.8,73.5,78,70.0,50.0,64.7,100.0,86,100.0
Texas A&M,72.7,63.3,72.3,80.0,74.2,78,100.0,50.0,80.2,59.0,74,50.0
Miami,72.0,83.3,90.8,0.0,85.0,66,90.0,50.0,56.6,100.0,86,50.0
Penn State,71.9,80.0,91.5,90.0,78.9,58,70.0,50.0,64.2,33.2,50,50.0
USC,71.2,83.3,96.2,56.2,76.8,62,70.0,50.0,54.4,59.0,62,50.0
Oklahoma,70.9,54.2,77.7,70.8,87.0,78,90.0,50.0,50.7,94.5,98,50.0
Rapid City,70.6,74.2,86.9,82.3,80.5,66,70.0,50.0,48.4,91.4,50,50.0
LSU,69.7,66.7,78.5,78.5,73.0,70,70.0,50.0,83.0,31.7,62,100.0
Oregon,67.1,66.7,85.4,86.2,75.6,54,50.0,50.0,57.8,100.0,62,50.0
TCU,66.6,53.3,83.8,92.3,74.8,82,50.0,50.0,75.1,54.5,62,50.0
San Jose State,66.1,42.5,92.3,93.1,75.5,66,55.0,50.0,63.0,100.0,50,100.0
Washington,65.4,66.7,90.0,36.9,66.9,66,65.0,50.0,46.9,100.0,74,50.0
Tennessee,64.4,46.7,73.8,91.5,68.2,78,90.0,50.0,42.0,36.5,62,50.0
NC State,64.1,57.5,79.2,58.5,78.8,78,70.0,50.0,51.7,36.5,62,50.0
Hammond,64.0,70.0,87.7,40.0,68.1,66,70.0,50.0,50.3,2.2,74,50.0
Oklahoma State,62.0,55.8,74.6,74.6,67.8,50,70.0,50.0,53.9,73.8,50,50.0
Death Valley,60.9,29.2,63.8,63.8,73.0,74,100.0,50.0,40.4,100.0,62,80.0
Arizona State,60.7,40.8,76.2,71.5,63.2,58,90.0,50.0,59.4,11.8,62,50.0
Panama City,60.0,39.2,80.8,84.6,70.5,66,70.0,50.0,59.3,0.0,50,50.0
Arkansas,59.8,46.7,70.8,47.7,71.6,66,90.0,50.0,37.6,63.8,50,50.0
Alabaster,59.6,46.7,67.7,12.3,75.6,70,100.0,50.0,32.4,100.0,62,50.0
Wyoming,59.1,48.3,39.2,44.6,83.8,82,90.0,50.0,49.4,48.5,74,50.0
West Virginia,58.6,33.3,60.0,42.3,79.0,62,70.0,50.0,72.6,59.0,86,100.0
Duke,58.0,24.2,75.4,89.2,63.2,62,70.0,50.0,59.5,60.5,62,50.0
UCLA,57.8,40.8,76.9,45.4,67.5,66,70.0,50.0,62.5,19.8,62,50.0
Houston,57.6,27.5,66.2,88.5,83.5,54,55.0,50.0,75.0,60.5,50,50.0
North Carolina,57.4,31.7,66.9,36.2,67.1,66,90.0,50.0,54.0,84.5,62,50.0
SMU,56.1,31.7,71.5,57.7,67.5,62,70.0,50.0,67.2,34.5,50,50.0
Baylor,55.0,36.7,80.0,50.0,59.5,62,70.0,50.0,51.8,10.0,50,50.0
East Carolina,54.3,20.0,50.8,73.1,68.5,58,100.0,50.0,60.2,0.0,62,50.0
North Texas,53.9,27.5,64.6,90.8,58.2,66,55.0,50.0,55.1,50.6,50,50.0
Wake Forest,53.3,5.8,61.5,72.3,65.8,62,90.0,50.0,62.0,65.0,50,50.0
Virginia Tech,52.2,33.3,69.2,43.8,65.5,62,50.0,50.0,52.0,51.5,62,50.0
Stanford,52.0,33.3,49.2,60.8,67.1,54,90.0,50.0,38.5,8.8,50,50.0
California,51.7,20.0,65.4,77.7,53.2,74,70.0,50.0,35.9,46.0,50,50.0
