USER,TEAM,GAMES,RECORD_WINS,RECORD_LOSSES,AVG_EXPLOSIVE_INDEX,BEST_EXPLOSIVE_INDEX,WORST_EXPLOSIVE_INDEX,OFF_VOLATILITY,LAST_3_OFF,QUICK_STRIKES,AERIAL_NUKES,GROUND_BLASTS,SPUTTERING_GAMES,AVG_STEEL_CURTAIN_INDEX,BEST_STEEL_CURTAIN_INDEX,WORST_STEEL_CURTAIN_INDEX,DEF_VOLATILITY,LAST_3_DEF,STEEL_CURTAIN_GAMES,CLAMP_JOBS,WET_PAPER_BAG_GAMES,SHREDDED_BY_AIR_GAMES,GASHED_ON_GROUND_GAMES,OFF_STYLE_LABEL,DEF_STYLE_LABEL,OFF_CONSISTENCY,DEF_CONSISTENCY
Noah,Texas Tech,17,16,1,99.57,100.0,92.73,1.76,100.0,15,11,8,0,28.33,96.35,0.0,27.41,3.39,1,1,7,4,0,Detonation Machine,Wet Paper Bag,Machine,Chaos
Devin,Bowling Green,18,17,1,99.42,100.0,93.74,1.58,99.47,13,8,8,0,35.44,100.0,0.0,30.38,51.4,2,1,5,2,4,Detonation Machine,Wet Paper Bag,Machine,Chaos
Josh,USF,19,16,3,94.77,100.0,70.68,9.23,95.62,11,9,5,0,38.99,99.41,0.0,30.48,34.27,3,2,8,10,2,Detonation Machine,Wet Paper Bag,Machine,Chaos
Nick,Florida State,18,14,4,88.85,100.0,44.11,18.59,100.0,6,5,4,1,43.79,100.0,0.0,32.99,78.77,3,3,8,1,2,Detonation Machine,Wet Paper Bag,Chaos,Chaos
Doug,Florida,16,12,4,87.42,100.0,55.57,12.6,93.91,3,2,6,0,36.16,100.0,0.0,33.36,51.8,2,2,5,6,4,Detonation Machine,Wet Paper Bag,Reliable,Chaos
Mike,San Jose State,16,13,3,87.28,100.0,60.65,14.11,100.0,10,8,4,0,30.84,96.56,0.0,29.89,59.22,1,1,8,3,2,Detonation Machine,Wet Paper Bag,Mixed Bag,Chaos
