Year,ClassType,Rank,Team,User,TotalCommits,FiveStar,FourStar,ThreeStar,TwoStar,OneStar,Points
2041,OVERALL,104,UNLV,,19,0,0,5,11.0,3.0,135.05
2041,HS,104,Sam Houston,,16,0,0,0,8.0,8.0,90.3
2041,TRANSFER,104,UTSA,,5,0,0,5,0.0,0.0,72.45
2041,OVERALL,105,UTSA,,15,0,0,6,9.0,0.0,134.25
2041,HS,105,UTSA,,10,0,0,1,9.0,0.0,90.1
2041,TRANSFER,105,Navy,,5,0,0,5,0.0,0.0,72.45
2041,OVERALL,106,Colorado State,,18,0,1,4,7.0,6.0,132.8
2041,HS,106,Iowa State,,15,0,0,0,8.0,7.0,89.05
2041,TRANSFER,106,Syracuse,,5,0,0,5,0.0,0.0,72.45
2041,OVERALL,107,James Madison,,19,0,0,6,6.0,7.0,132.8
2041,HS,107,Navy,,8,0,0,4,3.0,1.0,88.2
2041,TRANSFER,107,Louisville,,5,0,0,5,0.0,0.0,72.45
2041,OVERALL,108,Vanderbilt,,23,0,0,4,11.0,8.0,130.8
2041,HS,108,BYU,,5,1,1,3,0.0,0.0,87.4
2041,TRANSFER,108,Wisconsin,,5,0,0,5,0.0,0.0,72.45
2041,OVERALL,109,C. Michigan,,20,0,0,4,14.0,2.0,130.65
2041,HS,109,UL Monroe,,11,0,0,1,7.0,3.0,86.4
2041,TRANSFER,109,UNLV,,5,0,0,5,0.0,0.0,72.45
2041,OVERALL,110,Ohio,,11,0,0,10,0.0,1.0,130.35
2041,HS,110,Air Force,,7,0,0,4,3.0,0.0,84.5
2041,TRANSFER,110,Northwestern,,5,0,0,5,0.0,0.0,72.45
2041,OVERALL,111,Ga Southern,,12,0,0,8,3.0,1.0,129.0
2041,HS,111,UMass,,13,0,0,1,5.0,7.0,83.1
2041,TRANSFER,111,Jax State,,8,0,0,0,8.0,0.0,72.3
2041,OVERALL,112,Arkansas State,,13,0,0,6,7.0,0.0,127.75
2041,HS,112,Rutgers,,9,0,0,3,3.0,3.0,82.8
2041,TRANSFER,112,Sam Houston,,8,0,0,0,8.0,0.0,72.3
2041,OVERALL,113,UL Monroe,,15,0,0,5,7.0,3.0,124.65
2041,HS,113,C. Carolina,,12,0,0,0,7.0,5.0,80.05
2041,TRANSFER,113,Kent State,,8,0,0,0,8.0,0.0,72.3
2041,OVERALL,114,Ball State,,10,0,0,9,1.0,0.0,124.6
2041,HS,114,E. Michigan,,11,0,0,2,3.0,6.0,79.35
2041,TRANSFER,114,Alabaster,,4,0,2,2,0.0,0.0,68.75
2041,OVERALL,115,Rice,,9,0,1,8,0.0,0.0,123.5
2041,HS,115,James Madison,,13,0,0,0,6.0,7.0,78.1
2041,TRANSFER,115,App St.,,5,0,0,4,1.0,0.0,67.9
2041,OVERALL,116,Louisiana,,13,0,0,6,5.0,2.0,123.35
2041,HS,116,Jax State,,13,0,0,0,6.0,7.0,78.1
2041,TRANSFER,116,Georgia State,,7,0,0,0,7.0,0.0,64.9
2041,OVERALL,117,Delaware,,19,0,0,4,7.0,8.0,121.6
2041,HS,117,Old Dominion,,14,0,0,0,5.0,9.0,75.55
2041,TRANSFER,117,Texas State,,7,0,0,0,7.0,0.0,64.9
2041,OVERALL,118,Sam Houston,,24,0,0,0,16.0,8.0,112.65
2041,HS,118,Delaware,,13,0,0,0,5.0,8.0,73.8
2041,TRANSFER,118,C. Michigan,,7,0,0,0,7.0,0.0,64.9
2041,OVERALL,119,Utah State,,22,0,0,3,6.0,13.0,112.4
2041,HS,119,South Carolina,,8,0,0,0,7.0,1.0,68.6
2041,TRANSFER,119,Colorado State,,4,0,1,3,0.0,0.0,63.8
2041,OVERALL,120,Missouri State,,25,0,0,0,16.0,9.0,112.1
2041,HS,120,W. Kentucky,,10,0,0,0,5.0,5.0,66.7
2041,TRANSFER,120,Southern Miss,,4,0,0,4,0.0,0.0,58.8
2041,OVERALL,121,Northwestern,,11,0,0,5,5.0,1.0,111.95
2041,HS,121,Kennesaw St.,,13,0,0,0,3.0,10.0,64.5
2041,TRANSFER,121,Pittsburgh,,4,0,0,4,0.0,0.0,58.8
2041,OVERALL,122,Iowa State,,28,0,0,0,18.0,10.0,109.7
2041,HS,122,Georgia State,,15,0,0,0,2.0,13.0,62.85
2041,TRANSFER,122,UL Monroe,,4,0,0,4,0.0,0.0,58.8
2041,OVERALL,123,Jax State,,21,0,0,0,14.0,7.0,109.1
2041,HS,123,Missouri State,,11,0,0,0,3.0,8.0,60.1
2041,TRANSFER,123,Liberty,,4,0,0,4,0.0,0.0,58.8
2041,OVERALL,124,Kennesaw St.,,25,0,0,0,13.0,12.0,106.5
2041,HS,124,Akron,,12,0,0,0,2.0,10.0,57.55
2041,TRANSFER,124,Tulane,,4,0,0,3,1.0,0.0,54.05
2041,OVERALL,125,Charlotte,,25,0,0,0,12.0,13.0,105.95
2041,HS,125,Charlotte,,13,0,0,0,1.0,12.0,54.65
2041,TRANSFER,125,Tulsa,,4,0,0,3,1.0,0.0,54.05
2041,OVERALL,126,C. Carolina,,15,0,0,2,8.0,5.0,105.4
2041,HS,126,Northwestern,,6,0,0,0,5.0,1.0,52.6
2041,TRANSFER,126,Gate City,,4,0,0,3,1.0,0.0,54.05
2041,OVERALL,127,Old Dominion,,24,0,0,0,13.0,11.0,105.0
2041,HS,127,UTEP,,10,0,0,0,2.0,8.0,52.5
2041,TRANSFER,127,Rice,,3,0,0,3,0.0,0.0,44.55
2041,OVERALL,128,Akron,,21,0,0,1,9.0,11.0,104.6
2041,HS,128,Kent State,,10,0,0,0,2.0,8.0,52.5
2041,TRANSFER,128,Maryland,,3,0,0,3,0.0,0.0,44.55
2041,OVERALL,129,W. Kentucky,,20,0,0,0,12.0,8.0,100.1
2041,HS,129,Texas State,,9,0,0,0,2.0,7.0,49.45
2041,TRANSFER,129,Arkansas State,,3,0,0,3,0.0,0.0,44.55
2041,OVERALL,130,Kent State,,18,0,0,0,10.0,8.0,98.6
2041,HS,130,Ohio,,4,0,0,3,0.0,1.0,49.3
2041,TRANSFER,130,Louisiana,,3,0,0,3,0.0,0.0,44.55
2041,OVERALL,131,Georgia State,,22,0,0,0,9.0,13.0,97.55
2041,HS,131,Ga Southern,,5,0,0,1,3.0,1.0,48.75
2041,TRANSFER,131,UTEP,,5,0,0,0,4.0,1.0,43.75
2041,OVERALL,132,New Mexico St.,,16,0,0,0,10.0,6.0,96.35
2041,HS,132,Boise State,,3,0,1,1,1.0,0.0,44.65
2041,TRANSFER,132,W. Michigan,,3,0,0,2,1.0,0.0,39.65
2041,OVERALL,133,Texas State,,16,0,0,0,9.0,7.0,93.65
2041,HS,133,Ball State,,3,0,0,2,1.0,0.0,39.65
2041,TRANSFER,133,C. Carolina,,3,0,0,2,1.0,0.0,39.65
2041,OVERALL,134,UTEP,,15,0,0,0,6.0,9.0,80.8
2041,HS,134,W. Michigan,,7,0,0,0,1.0,6.0,37.45
2041,TRANSFER,134,Miami,,2,0,0,2,0.0,0.0,29.85
2041,OVERALL,135,W. Michigan,,10,0,0,2,2.0,6.0,72.1
2041,HS,135,New Mexico St.,,6,0,0,0,1.0,5.0,33.45
2041,TRANSFER,135,South Alabama,,3,0,0,0,2.0,1.0,24.8
2041,OVERALL,136,South Alabama,,8,0,0,0,3.0,5.0,50.85
2041,HS,136,South Alabama,,5,0,0,0,1.0,4.0,29.15
2041,TRANSFER,136,Utah State,,1,0,0,1,0.0,0.0,15.0
2042,HS,1,Texas Tech,Noah,18,6,10,2,0.0,0.0,250.75
2042,TRANSFER,1,Notre Dame,,13,0,7,6,0.0,0.0,181.4
2042,OVERALL,1,Texas Tech,Noah,26,6,15,4,1.0,0.0,259.9
2042,HS,2,USF,Josh,25,3,17,5,0.0,0.0,248.1
2042,TRANSFER,2,Miami,,12,0,7,5,0.0,0.0,175.25
2042,OVERALL,2,Nebraska,,31,3,24,4,0.0,0.0,252.3
2042,HS,3,Nebraska,,24,3,17,4,0.0,0.0,247.65
2042,TRANSFER,3,Oklahoma,,14,0,4,10,0.0,0.0,173.8
2042,OVERALL,3,USF,Josh,31,3,23,5,0.0,0.0,252.15
2042,HS,4,Ohio State,,26,2,17,7,0.0,0.0,243.1
2042,TRANSFER,4,Michigan,,14,0,4,10,0.0,0.0,173.8
2042,OVERALL,4,Ohio State,,31,2,22,7,0.0,0.0,247.05
2042,HS,5,Alabama,,21,2,16,3,0.0,0.0,239.1
2042,TRANSFER,5,Auburn,,15,0,3,12,0.0,0.0,173.55
2042,OVERALL,5,Alabama,,27,2,21,4,0.0,0.0,244.85
2042,HS,6,Florida State,Nick,20,1,14,5,0.0,0.0,229.8
2042,TRANSFER,6,Louisiana State,,15,0,3,12,0.0,0.0,173.55
2042,OVERALL,6,Bowling Green,Devin,25,2,18,5,0.0,0.0,242.15
2042,HS,7,Bowling Green,Devin,18,2,12,4,0.0,0.0,229.5
2042,TRANSFER,7,San Jose State,Mike,12,0,5,7,0.0,0.0,166.95
2042,OVERALL,7,San Jose State,Mike,32,2,13,17,0.0,0.0,240.1
2042,HS,8,Penn State,,22,1,12,9,0.0,0.0,228.8
2042,TRANSFER,8,Hammond,,11,0,6,5,0.0,0.0,164.2
2042,OVERALL,8,Notre Dame,,25,2,14,9,0.0,0.0,239.65
2042,HS,9,Miami,,21,1,12,8,0.0,0.0,227.75
2042,TRANSFER,9,Texas A&M,,13,0,3,10,0.0,0.0,163.8
2042,OVERALL,9,Miami,,33,1,19,13,0.0,0.0,238.75
2042,HS,10,USC,,21,0,16,5,0.0,0.0,227.25
2042,TRANSFER,10,Oregon,,11,0,5,6,0.0,0.0,159.9
2042,OVERALL,10,Penn State,,31,1,14,16,0.0,0.0,236.55
2042,HS,11,San Jose State,Mike,20,2,8,10,0.0,0.0,224.4
2042,TRANSFER,11,Texas Christian,,13,0,1,12,0.0,0.0,153.95
2042,OVERALL,11,Georgia,,26,0,20,6,0.0,0.0,233.7
2042,HS,12,Georgia,,17,0,15,2,0.0,0.0,218.5
2042,TRANSFER,12,Mississippi,,11,0,3,8,0.0,0.0,150.6
2042,OVERALL,12,Florida State,Nick,22,1,15,6,0.0,0.0,233.3
2042,HS,13,Oklahoma State,,23,0,9,13,1.0,0.0,214.15
2042,TRANSFER,13,Rapid City,,11,0,3,8,0.0,0.0,150.6
2042,OVERALL,13,Florida,Doug,21,1,16,4,0.0,0.0,233.2
2042,HS,14,Ole Miss,,16,1,10,5,0.0,0.0,212.7
2042,TRANSFER,14,Baylor,,13,0,1,9,3.0,0.0,146.85
2042,OVERALL,14,Ole Miss,,27,1,13,13,0.0,0.0,230.25
2042,OVERALL,15,7 Rapid City,,6,1,5,0,0.0,0.0,118.8
2042,HS,15,Washington,,18,0,9,9,0.0,0.0,207.65
2042,TRANSFER,15,Tennessee,,12,0,1,10,1.0,0.0,145.45
2042,OVERALL,15,USC,,26,0,16,10,0.0,0.0,229.85
2042,HS,16,Panama City,,20,0,7,13,0.0,0.0,204.35
2042,TRANSFER,16,NC State,,11,0,3,6,2.0,0.0,144.85
2042,OVERALL,16,Clemson,,18,2,12,4,0.0,0.0,227.95
