Rank,Team,W,L,WinPct,FPI,SOS,SOR,Chaos,Streak,GamesPlayed
94,Boston College,2,4,0.333,-4.596,-6.363,-7.214,-18,3L,6
95,Purdue,2,5,0.286,-4.702,4.998,-16.813,-12,4L,7
96,Kansas State,3,3,0.5,-5.118,0.927,-9.819,4.7,1W,6
97,California,2,4,0.333,-5.717,-0.27,-9.649,-20,1L,6
98,Washington State,3,3,0.5,-5.769,-4.709,-5.487,9.6,1L,6
99,Georgia Southern,2,3,0.4,-6.088,-1.946,-6.911,-8,1L,5
100,Rice,2,4,0.333,-6.161,0.174,-9.562,-20,1W,6
101,Central Michigan,2,3,0.4,-6.222,-5.814,-7.305,-14,2L,5
102,Gate City,1,5,0.167,-6.261,-5.358,5.509,-22.6,1L,6
103,Colorado State,2,4,0.333,-6.419,-4.675,-6.826,-20,4L,6
104,Kentucky,2,4,0.333,-6.466,6.564,-22.787,-10,4L,6
105,Stanford,2,4,0.333,-6.491,-1.152,-10.106,-8,3L,6
106,Syracuse,3,3,0.5,-6.666,-2.169,-7.309,-1,1L,6
107,Memphis,2,4,0.333,-6.697,-0.565,-7.972,5.4,3L,6
108,Coastal Carolina,3,4,0.429,-6.7,-3.284,-8.93,-15,1L,7
109,UNLV,3,3,0.5,-7.09,-4.349,-1.773,-4,1L,6
110,Oregon State,2,3,0.4,-7.36,-7.29,-9.043,-23.6,1L,5
111,Louisville,2,4,0.333,-7.937,-0.71,-7.683,-14,2L,6
112,Arkansas,1,5,0.167,-7.953,8.925,-8.977,4.5,3L,6
113,Air Force,3,2,0.6,-8.011,-4.592,-10.395,14.3,1W,5
114,UConn,4,4,0.5,-8.133,-2.937,-3.204,26.6,1W,8
115,UMass,1,5,0.167,-8.27,4.624,-13.011,-25,5L,6
116,Army,2,3,0.4,-8.817,1.396,-5.945,33.7,1L,5
117,Iowa,2,3,0.4,-9.151,-2.871,-10.496,-8,1W,5
118,Alabaster,2,5,0.286,-9.263,-2.41,2.621,7.1,3L,7
119,Death Valley,3,3,0.5,-9.341,-7.519,1.46,30.3,2W,6
120,Missouri,1,5,0.167,-10.002,3.158,-8.933,-15,2L,6
121,Ball State,1,5,0.167,-10.056,0.717,-6.492,-27,4L,6
122,Georgia State,2,5,0.286,-10.579,-3.9,-5.392,1.4,3L,7
123,Illinois,2,3,0.4,-10.811,-0.191,3.594,34.2,1W,5
124,Old Dominion,3,3,0.5,-10.883,-7.269,-8.935,-5,1L,6
125,Utah,1,7,0.125,-11.255,0.819,-3.154,-42,3L,8
126,Colorado,2,4,0.333,-11.313,-2.13,-5.7,2.3,2L,6
127,Louisiana,1,4,0.2,-12.177,-0.523,-6.407,-21,2L,5
128,Middle Tennessee,2,4,0.333,-12.478,3.541,-7.141,9.8,3L,6
129,Jacksonville State,1,5,0.167,-12.803,0.557,-5.798,-27,3L,6
130,Minnesota,1,4,0.2,-14.267,-1.505,-5.425,-13,1L,5
131,South Carolina,1,5,0.167,-14.364,2.103,-1.87,-11.2,5L,6
132,Utah State,1,5,0.167,-15.57,-1.976,-3.767,-27,2L,6
134,Maryland,1,5,0.167,-16.191,-3.551,-2.224,-19,5L,6
135,Western Kentucky,1,5,0.167,-16.339,-0.182,-1.094,-6.1,5L,6
136,Miami University,1,4,0.2,-16.446,-1.063,-5.828,-21,2L,5
137,UL Monroe,1,6,0.143,-16.446,-4.205,-2.984,-33,6L,7
141,Akron,1,5,0.167,-23.506,-2.516,-5.871,-27,5L,6
