Rank,Team,W,L,WinPct,FPI,SOS,SOR,Chaos,Streak,QualityWins,BestWin,GamesPlayed
1,Bowling Green,9,1,0.9,27.853,7.347,0.6528,-4.5,1L,4,#15,10
2,Texas Tech,10,0,1.0,24.35,0.341,0.5049,12.0,10W,1,#12,10
3,USF,10,0,1.0,24.078,2.198,0.5972,10.0,10W,2,#11,10
4,Florida State,10,0,1.0,23.466,4.574,0.6444,48.8,10W,4,#7,10
5,San Jose State,10,0,1.0,21.436,2.913,0.6127,12.0,10W,3,#10,10
6,Notre Dame,9,1,0.9,20.158,-2.043,0.3162,6.0,1L,0,,10
7,Florida,9,1,0.9,16.426,1.093,0.4239,9.0,3W,1,#16,10
8,Miami,9,1,0.9,15.099,-0.16,0.3746,10.0,3W,1,#24,10
9,Virginia,8,2,0.8,14.435,-4.889,0.1514,-57.8,1L,0,,10
10,Texas,9,1,0.9,14.144,-2.871,0.3549,-8.3,4W,2,#15,10
11,NC State,8,2,0.8,13.993,-0.773,0.2803,-9.6,2W,1,#17,10
12,Virginia Tech,8,2,0.8,11.825,0.29,0.3444,-38.1,1L,0,,10
13,San Diego State,8,2,0.8,11.724,-6.711,0.0908,-61.6,3W,0,,10
14,Texas A&M,8,2,0.8,11.505,4.251,0.4127,11.0,2W,1,#19,10
15,Michigan,7,3,0.7,10.669,-2.821,0.1239,-48.4,1W,0,,10
16,Pittsburgh,7,3,0.7,10.085,-3.789,0.0979,-40.2,1L,0,,10
17,Marshall,9,1,0.9,9.86,-4.039,0.3077,-15.7,1L,0,,10
18,Ohio,9,1,0.9,9.636,-5.887,0.2211,-19.6,5W,0,,10
19,Houston,8,2,0.8,9.52,-5.92,0.119,-50.4,1L,0,,10
20,Troy,8,2,0.8,9.411,-4.537,0.1472,-27.2,1W,0,,10
21,Washington,7,3,0.7,9.158,0.357,0.1817,-23.6,1L,0,,10
22,Baylor,7,3,0.7,8.386,2.013,0.2669,6.0,1L,1,#13,10
23,UCLA,8,2,0.8,7.744,-4.271,0.1613,-44.9,1W,0,,10
24,Panama City,7,4,0.636,7.579,2.182,0.1901,-5.0,2W,0,,11
25,Oklahoma State,8,2,0.8,7.158,-1.043,0.3085,-9.9,1L,0,,10
26,Tennessee,6,4,0.6,7.134,-1.69,0.0423,-55.1,1W,1,#14,10
27,West Virginia,7,3,0.7,7.058,-3.642,0.1176,-30.5,2W,0,,10
28,East Carolina,9,1,0.9,6.96,-4.239,0.2873,-9.9,1L,0,,10
29,Nebraska,8,3,0.727,6.794,2.248,0.2599,6.0,2W,1,#12,11
30,TCU,7,3,0.7,6.398,0.438,0.2021,-39.1,1W,1,#20,10
31,SMU,6,4,0.6,6.383,1.807,0.1514,23.9,3W,1,#16,10
32,Clemson,6,4,0.6,6.335,3.112,0.2246,14.5,1W,0,,10
33,BYU,8,2,0.8,6.055,-2.848,0.2338,-20.0,5W,3,#9,10
34,Georgia Tech,5,5,0.5,5.962,5.566,0.1331,-8.0,1W,0,,10
35,Wisconsin,7,4,0.636,5.949,3.284,0.2113,32.7,2L,1,#24,11
36,Appalachian State,7,3,0.7,5.703,-6.752,-0.0366,-63.6,1W,0,,10
37,Ole Miss,6,4,0.6,5.682,6.805,0.3148,46.6,2L,1,#17,10
38,Arkansas,6,4,0.6,5.592,-2.374,0.0592,-53.1,2L,0,,10
39,Memphis,8,3,0.727,5.504,-1.787,0.1748,-13.7,1W,0,,11
40,Iowa,7,4,0.636,5.373,-0.413,0.112,-43.1,3W,0,,11
41,Western Michigan,7,3,0.7,4.954,-3.051,0.1254,-47.2,1W,0,,10
