Rank,Team,W,L,WinPct,FPI,SOS,SOR,Chaos,Streak,QualityWins,BestWin,GamesPlayed
1,Texas Tech,8,0,1.0,25.198,5.859,0.6884,10.0,8W,4,#11,8
2,USF,6,1,0.857,24.618,3.271,0.4769,-16.7,3W,4,#7,7
3,Bowling Green,8,0,1.0,22.239,2.943,0.5924,10.0,8W,4,#12,8
4,LSU,7,1,0.875,21.244,-4.048,0.2861,-12.2,1L,0,,8
5,Notre Dame,7,1,0.875,20.644,-2.498,0.2711,4.0,1L,0,,8
6,Texas A&M,7,0,1.0,19.515,-7.221,0.3159,6.0,7W,0,,7
7,BYU,6,0,1.0,17.602,-4.666,0.392,5.0,6W,0,,6
8,Ole Miss,7,0,1.0,16.429,-3.678,0.4557,7.0,7W,3,#6,7
9,TCU,6,1,0.857,16.363,-1.238,0.2817,3.0,5W,1,#16,7
10,Houston,8,0,1.0,16.264,-6.757,0.3151,7.0,8W,0,,8
11,Georgia Tech,6,1,0.857,14.81,-1.774,0.2877,4.0,6W,1,#21,7
12,West Virginia,7,0,1.0,14.759,-8.732,0.2445,6.0,7W,0,,7
13,Texas,5,2,0.714,13.888,2.383,0.3229,-21.3,4W,0,,7
14,Mississippi State,5,1,0.833,11.609,-4.985,0.2101,-21.7,4W,0,,6
15,SMU,6,1,0.857,11.433,-4.241,0.2334,-10.3,2W,0,,7
16,Pittsburgh,7,0,1.0,11.267,-7.43,0.2877,10.0,7W,0,,7
17,Michigan,5,2,0.714,11.141,0.317,0.2032,-31.3,2L,1,#7,7
18,Georgia,5,1,0.833,11.009,1.814,0.3768,43.9,2W,1,#24,6
19,Auburn,6,1,0.857,10.297,0.343,0.3934,11.0,4W,2,#16,7
20,Clemson,4,3,0.571,10.224,-0.374,0.1046,-24.6,2W,0,,7
21,Troy,6,2,0.75,10.216,-7.603,0.0352,-50.7,5W,0,,8
22,Florida,5,2,0.714,9.833,7.415,0.4095,46.0,1W,2,#10,7
23,Penn State,5,3,0.625,9.576,0.866,0.1074,-11.2,1W,0,,8
24,Ohio,6,1,0.857,9.225,-5.8,0.2233,-18.1,4W,0,,7
25,Toledo,5,3,0.625,9.096,-3.094,0.0431,-32.7,1L,0,,8
26,Florida State,5,2,0.714,8.91,2.999,0.3441,41.1,3W,2,#15,7
27,Louisiana Tech,6,1,0.857,8.813,-5.196,0.2183,5.0,4W,0,,7
28,San Jose State,6,2,0.75,8.779,9.022,0.4736,76.9,1L,3,#8,8
29,UCLA,5,1,0.833,8.509,-8.185,0.1737,-20.1,1W,0,,6
30,Missouri State,5,1,0.833,8.265,-7.006,0.1338,-2.0,4W,0,,6
31,Wake Forest,7,0,1.0,8.156,-6.223,0.3249,10.0,7W,0,,7
32,Navy,5,2,0.714,7.548,-4.296,0.0986,-44.2,1L,0,,7
33,Ohio State,5,2,0.714,7.539,-6.03,0.0734,-24.4,3W,1,#20,7
34,East Carolina,6,2,0.75,7.085,-6.117,0.0933,-53.2,1W,0,,8
35,Duke,6,1,0.857,6.589,-3.929,0.2626,7.0,3W,1,#25,7
36,Arizona State,5,3,0.625,6.584,0.633,0.1488,-25.5,1L,0,,8
37,Panama City,5,3,0.625,6.483,-4.821,-0.0202,-66.1,1L,0,,8
38,Liberty,6,1,0.857,6.263,-8.296,0.1328,-17.4,3W,0,,7
39,Wisconsin,3,4,0.429,5.981,1.713,0.0131,-12.0,2W,0,,7
40,Oregon,5,2,0.714,5.588,1.211,0.2233,41.8,1L,1,#22,7
41,Nebraska,5,2,0.714,5.501,2.751,0.3028,58.0,1W,1,#19,7
42,Boise State,4,3,0.571,5.36,-3.815,-0.0201,-42.3,1W,0,,7
43,Fresno State,6,1,0.857,5.319,-2.755,0.2837,3.2,2W,0,,7
44,Miami,5,4,0.556,4.812,1.977,0.079,37.6,1W,0,,9
