Rank,Team,W,L,WinPct,FPI,SOS,SOR,Chaos,Streak,QualityWins,BestWin,GamesPlayed
1,USF,7,1,0.875,25.256,3.272,0.5167,-17.4,4W,4,#7,8
2,Texas Tech,9,0,1.0,24.609,5.811,0.723,9.0,9W,5,#11,9
3,Notre Dame,8,1,0.889,21.565,-2.055,0.295,5.0,1W,0,,9
4,LSU,8,1,0.889,20.428,-1.885,0.3607,-9.6,1W,1,#5,9
5,Bowling Green,9,0,1.0,19.939,2.027,0.5642,11.0,9W,4,#12,9
6,Texas A&M,8,0,1.0,18.271,-5.698,0.3565,9.0,8W,1,#17,8
7,West Virginia,8,0,1.0,16.892,-6.706,0.279,7.0,8W,0,,8
8,Houston,8,0,1.0,16.446,-6.598,0.3107,7.0,8W,0,,8
9,BYU,7,0,1.0,15.555,-3.058,0.4316,8.0,7W,0,,7
10,Ole Miss,7,1,0.875,15.026,-0.438,0.4102,3.0,1L,3,#6,8
11,TCU,6,2,0.75,14.126,-0.487,0.2025,-15.2,1L,1,#16,8
12,Georgia Tech,6,2,0.75,12.679,0.119,0.2421,0.0,1L,1,#21,8
13,Texas,6,2,0.75,12.224,1.208,0.3239,-19.1,5W,0,,8
14,Auburn,7,1,0.875,11.687,-0.366,0.3803,-3.6,5W,2,#16,8
15,UCLA,6,1,0.857,11.375,-5.989,0.2173,-21.1,2W,0,,7
16,Ohio,7,1,0.875,11.3,-5.639,0.2262,-18.0,5W,0,,8
17,Michigan,5,2,0.714,11.21,0.251,0.2072,-30.8,2L,1,#7,7
18,Clemson,5,3,0.625,10.855,1.22,0.2201,-22.6,3W,1,#23,8
19,Georgia,5,2,0.714,9.737,4.163,0.327,54.1,1L,1,#24,7
20,Florida,6,2,0.75,9.608,6.476,0.4472,49.3,2W,2,#10,8
21,Troy,7,2,0.778,9.365,-7.344,0.0626,-49.6,6W,0,,9
22,Florida State,5,2,0.714,9.274,3.522,0.3853,-0.9,3W,2,#15,7
23,Pittsburgh,7,1,0.875,9.19,-6.609,0.1849,-23.6,1L,0,,8
24,SMU,6,2,0.75,8.923,-3.144,0.1585,-27.0,1L,0,,8
25,Oregon,6,2,0.75,7.721,-0.299,0.2201,5.0,1W,1,#22,8
26,USC,5,2,0.714,7.51,4.852,0.3501,9.0,3W,1,#25,7
27,San Jose State,6,3,0.667,7.207,9.451,0.4272,129.2,2L,3,#8,9
28,Missouri State,5,2,0.714,7.116,-5.936,0.0453,-27.4,1L,0,,7
29,Nebraska,6,2,0.75,6.901,3.563,0.3794,59.8,2W,2,#19,8
30,Boise State,5,3,0.625,6.705,-3.58,0.0343,-38.0,2W,0,,8
31,Arizona State,5,3,0.625,6.657,0.574,0.1452,-25.9,1L,0,,8
32,East Carolina,7,2,0.778,6.425,-5.222,0.1495,-50.3,2W,0,,9
33,Fresno State,7,1,0.875,6.245,-4.499,0.2438,3.4,3W,0,,8
34,Wake Forest,7,1,0.875,6.115,-5.26,0.2262,-11.9,1L,0,,8
35,Wisconsin,3,4,0.429,5.864,1.273,0.0091,-12.0,2W,0,,7
36,Ohio State,5,3,0.625,5.846,-2.548,0.0563,-27.7,1L,1,#20,8
37,Mississippi State,5,2,0.714,5.84,-5.631,0.0563,-48.8,1L,0,,7
38,Penn State,5,4,0.556,5.685,1.297,0.0822,-6.0,1L,0,,9
39,Duke,6,2,0.75,5.485,-2.77,0.1945,-5.2,1L,1,#25,8
40,Miami,5,4,0.556,5.161,2.471,0.1017,36.2,1W,0,,9
41,North Carolina,5,2,0.714,5.155,1.855,0.3038,47.7,1W,0,,7
42,Southern Mississippi,6,2,0.75,5.062,-3.616,0.1356,-24.4,2W,0,,8
43,Liberty,6,2,0.75,4.888,-6.713,0.0722,-39.6,1L,0,,8
44,Toledo,5,4,0.556,4.845,-3.05,-0.0336,-59.2,2L,0,,9
45,Navy,5,3,0.625,4.425,-1.139,0.0563,-43.9,2L,0,,8
46,Louisiana Tech,6,2,0.75,4.248,-4.493,0.1303,-15.7,1L,0,,8
47,Panama City,5,4,0.556,4.232,-4.275,-0.09,-61.2,2L,0,,9
48,Kansas,5,3,0.625,4.216,-5.558,-0.0379,-18.5,1W,0,,8
49,Arizona,5,3,0.625,3.955,-3.08,0.0246,-50.6,2W,2,#7,8
50,Oklahoma State,6,2,0.75,3.877,-0.486,0.2412,9.9,1W,2,#7,8
51,Charlotte,4,3,0.571,3.766,0.505,0.1207,26.4,2L,0,,7
52,Temple,6,3,0.667,3.711,-0.651,0.1972,13.0,4W,0,,9
53,Baylor,4,4,0.5,3.223,-1.544,-0.0555,-31.3,3L,0,,8
54,Kennesaw State,5,4,0.556,2.789,-0.052,0.061,-3.0,2W,0,,9
55,Virginia Tech,5,2,0.714,2.737,-1.551,0.174,20.3,2W,0,,7
56,Alabama,5,3,0.625,2.305,-0.13,0.1893,29.5,2L,1,#21,8
57,Oklahoma,4,5,0.444,1.842,5.834,0.0696,-9.0,4L,0,,9
58,NC State,3,4,0.429,1.757,3.917,0.0815,-9.0,1W,0,,7
59,Indiana,3,4,0.429,1.687,0.349,-0.0684,-8.0,4L,0,,7
60,Marshall,5,3,0.625,1.421,-2.897,0.0405,-8.0,1L,0,,8
61,Hammond,3,4,0.429,1.354,4.54,0.0121,-30.6,1L,0,,7
62,Michigan State,5,3,0.625,1.225,1.211,0.1593,77.0,1L,1,#25,8
63,New Mexico State,5,2,0.714,1.192,-7.212,0.0131,-24.2,2W,0,,7
64,San Diego State,5,3,0.625,1.006,-0.978,0.1162,14.5,1L,0,,8
65,Washington State,5,3,0.625,0.928,-3.635,0.037,6.3,2W,0,,8
66,Vanderbilt,5,2,0.714,0.782,-3.176,0.1167,-2.0,1W,0,,7
67,North Texas,4,4,0.5,0.763,-2.213,-0.0616,-19.7,1L,0,,8
68,Tulane,5,4,0.556,0.741,-0.369,0.061,-8.9,2L,0,,9
69,Washington,4,4,0.5,0.411,2.582,0.162,52.5,1W,1,#9,8
70,Delaware,4,3,0.571,0.334,-2.072,0.0453,15.3,1W,0,,7
71,Appalachian State,3,4,0.429,0.305,-2.986,-0.1529,-9.0,2L,0,,7
72,Wyoming,4,4,0.5,0.252,1.015,0.0484,-1.0,4L,0,,8
73,Kent State,3,4,0.429,-0.325,-0.819,-0.1087,-35.9,1L,0,,7
74,South Alabama,6,2,0.75,-0.5,-7.739,0.0185,-27.3,1W,0,,8
75,Eastern Michigan,4,3,0.571,-0.566,-3.871,-0.0372,-24.4,2L,0,,7
76,Florida International,3,4,0.429,-0.667,-2.644,-0.1227,-16.0,1L,0,,7
77,Cincinnati,3,4,0.429,-0.891,-2.237,-0.1066,-37.7,1W,0,,7
78,Arkansas State,3,5,0.375,-0.922,-4.333,-0.2641,-81.3,1W,0,,8
79,Rutgers,4,4,0.5,-1.061,-1.861,-0.0528,-17.0,1W,0,,8
80,Northwestern,4,3,0.571,-1.184,-2.822,-0.006,6.8,1W,0,,7
81,Hawai'i,4,3,0.571,-1.334,-0.836,0.0453,-9.0,1W,0,,7
82,Georgia Southern,4,3,0.571,-1.649,-1.753,0.0231,-5.0,2W,0,,7
83,UTSA,5,3,0.625,-2.08,-3.899,0.0414,61.0,1W,0,,8
84,Kansas State,4,3,0.571,-2.114,2.175,0.1439,36.9,2W,0,,7
85,Iowa State,4,4,0.5,-2.249,-2.237,-0.1021,-10.9,2L,0,,8
86,Gate City,2,5,0.286,-2.261,-2.691,-0.2425,47.7,1W,1,#11,7
87,Tulsa,5,2,0.714,-2.298,-1.62,0.174,20.8,1L,0,,7
88,UCF,4,4,0.5,-3.014,-0.518,0.0106,7.7,1W,0,,8
89,Virginia,3,4,0.429,-3.108,-5.814,-0.2072,-38.9,1L,0,,7
90,Sam Houston,5,4,0.556,-3.156,-5.719,-0.1189,15.9,2W,0,,9
91,Tennessee,2,6,0.25,-3.73,7.549,-0.0387,-11.0,6L,0,,8
92,Rapid City,4,3,0.571,-3.969,-2.392,0.0342,25.9,2L,0,,7
93,Boston College,3,4,0.429,-4.068,-7.447,-0.2606,-36.5,1W,0,,7
94,Texas State,3,5,0.375,-4.116,-4.971,-0.2614,-19.6,2L,0,,8
95,Central Michigan,4,3,0.571,-4.194,-4.842,-0.0885,-29.3,2W,0,,7
96,Old Dominion,4,4,0.5,-4.62,-3.979,-0.103,30.0,1W,0,,8
97,Purdue,3,6,0.333,-4.743,3.33,-0.0563,-12.0,1W,0,,9
98,Hawaii,1,3,0.25,-4.759,-1.757,-0.3662,-33.3,3L,0,,4
99,Louisiana,3,4,0.429,-4.796,-3.19,-0.1328,7.8,2W,0,,7
100,Oregon State,3,4,0.429,-5.005,-4.178,-0.165,-35.4,1W,0,,7
101,UTEP,4,3,0.571,-5.094,-4.929,-0.0704,-9.0,1W,0,,7
102,Stanford,2,5,0.286,-5.224,-0.902,-0.2324,-17.0,4L,0,,7
103,Arkansas,2,6,0.25,-5.249,8.263,-0.0255,37.5,1W,0,,8
104,Air Force,4,3,0.571,-5.51,-3.474,-0.002,50.8,1W,0,,7
105,Colorado State,3,6,0.333,-5.521,-2.893,-0.2496,-47.6,1L,0,,9
106,Massachusetts,2,5,0.286,-5.868,0.095,-0.1982,-23.0,1W,0,,7
107,Memphis,3,4,0.429,-6.613,-2.251,-0.1207,10.8,1W,0,,7
108,James Madison,3,5,0.375,-6.75,-2.489,-0.1778,3.2,3L,0,,8
109,Coastal Carolina,3,6,0.333,-6.863,-1.355,-0.1964,-32.0,3L,0,,9
110,Syracuse,4,4,0.5,-7.045,-2.329,-0.0581,14.6,1W,0,,8
111,Western Michigan,4,4,0.5,-7.177,-5.344,-0.1461,-11.9,1L,0,,8
112,Louisville,2,5,0.286,-7.19,0.023,-0.2163,-23.0,3L,0,,7
113,Colorado,3,5,0.375,-7.281,-0.801,-0.1655,3.0,1W,1,#22,8
114,Missouri,3,5,0.375,-7.298,-1.335,-0.1734,-12.0,2W,0,,8
115,Rice,2,6,0.25,-7.331,0.348,-0.1919,-33.0,2L,0,,8
116,Kentucky,2,6,0.25,-7.335,5.341,-0.118,-17.0,6L,0,,8
117,UNLV,3,4,0.429,-7.576,-4.178,-0.1982,9.3,2L,0,,7
118,Utah,2,7,0.222,-7.822,-0.606,-0.2958,43.4,1W,1,#17,9
119,Death Valley,4,4,0.5,-8.184,-4.357,-0.1417,84.9,1L,1,#15,8
120,Miami University,3,4,0.429,-8.85,-2.154,-0.1268,4.9,2W,0,,7
121,Georgia State,2,6,0.25,-9.301,-2.842,-0.2967,-2.8,4L,0,,8
122,California,2,6,0.25,-9.73,-0.7,-0.2174,-5.9,3L,0,,8
123,Illinois,3,4,0.429,-9.74,-2.791,-0.1258,82.5,1W,1,#19,7
124,UConn,4,5,0.444,-10.378,-3.717,-0.1541,28.2,1L,0,,9
125,Middle Tennessee,2,6,0.25,-10.758,2.995,-0.1373,6.8,5L,0,,8
126,Army,2,5,0.286,-10.807,-0.354,-0.1881,27.3,3L,0,,7
127,Alabaster,2,6,0.25,-10.832,-1.903,-0.3037,71.4,4L,1,#24,8
128,Iowa,2,5,0.286,-11.955,-4.079,-0.3038,-19.0,2L,0,,7
129,Minnesota,2,5,0.286,-13.35,-2.582,-0.2696,-19.0,1L,0,,7
130,Western Kentucky,1,7,0.125,-14.189,-0.868,-0.3812,-5.5,7L,0,,8
131,Ball State,1,7,0.125,-14.61,-1.959,-0.4269,-42.0,6L,0,,8
132,Jacksonville State,1,6,0.143,-14.994,0.13,-0.3249,-36.0,4L,0,,7
133,South Carolina,1,7,0.125,-15.83,2.85,-0.3072,10.4,7L,0,,8
134,Maryland,1,7,0.125,-15.873,-3.736,-0.4727,-34.0,7L,0,,8
135,Utah State,1,7,0.125,-16.528,0.455,-0.3468,-42.0,4L,0,,8
136,UL Monroe,1,7,0.125,-16.871,-3.982,-0.4718,-42.0,7L,0,,8
137,Akron,2,6,0.25,-17.075,-2.139,-0.2861,11.0,1W,0,,8
