Rank,Team,W,L,WinPct,FPI,SOS,SOR,Chaos,Streak,QualityWins,BestWin,GamesPlayed
1,Bowling Green,7,0,1.0,30.125,6.178,0.7223,7.0,7W,4,#15,7
2,Florida State,7,0,1.0,27.76,1.447,0.5644,7.0,7W,2,#18,7
3,Texas Tech,7,0,1.0,23.525,-1.593,0.4598,7.0,7W,0,,7
4,USF,7,0,1.0,22.784,1.782,0.5543,9.0,7W,2,#11,7
5,Notre Dame,8,0,1.0,21.835,-5.724,0.3266,7.0,8W,0,,8
6,San Jose State,8,0,1.0,20.365,-0.914,0.4745,10.0,8W,3,#10,8
7,NC State,6,2,0.75,14.961,-3.723,0.1171,-12.9,1L,0,,8
8,Baylor,6,1,0.857,13.884,1.695,0.3873,5.0,5W,1,#13,7
9,Virginia Tech,6,1,0.857,13.861,-1.493,0.3531,-20.1,2W,0,,7
10,Miami,7,1,0.875,13.523,-0.849,0.3063,8.0,1W,1,#24,8
11,Virginia,6,1,0.857,13.185,-7.703,0.1147,-27.0,2W,0,,7
12,Marshall,8,0,1.0,13.185,-6.524,0.3266,10.0,8W,0,,8
13,Texas A&M,6,2,0.75,12.305,4.467,0.3451,5.0,2L,1,#19,8
14,Florida,6,1,0.857,12.137,-0.084,0.3229,6.0,1L,1,#16,7
15,Texas,6,1,0.857,11.846,-1.809,0.339,-11.4,1W,1,#24,7
16,Pittsburgh,6,2,0.75,11.667,-3.809,0.1488,-42.9,1W,0,,8
17,Arkansas,5,2,0.714,11.623,-2.541,0.16,-32.9,2W,0,,7
18,Troy,6,1,0.857,11.519,-3.891,0.2485,1.0,1W,0,,7
19,Houston,6,1,0.857,11.337,-6.256,0.1761,-23.3,5W,0,,7
20,Michigan,6,2,0.75,10.715,-2.463,0.1963,-21.7,1W,0,,8
21,Oregon,5,2,0.714,10.543,-1.557,0.1932,-20.5,1W,2,#20,7
22,Oklahoma State,7,1,0.875,9.669,-1.305,0.3952,-10.7,2W,0,,8
23,Nebraska,6,2,0.75,9.323,4.753,0.36,7.0,3W,1,#12,8
24,Washington,6,2,0.75,9.018,-1.608,0.1743,3.0,4W,0,,8
25,UCLA,6,1,0.857,8.167,-4.882,0.2093,-19.7,6W,0,,7
