Rank,Team,W,L,WinPct,FPI,SOS,SOR,Chaos,Streak,QualityWins,BestWin,GamesPlayed
1,Texas Tech,12,0,1.0,23.377,5.091,0.6626,16.0,12W,6,#11,12
2,USF,8,2,0.8,22.319,4.674,0.4542,-15.1,1W,4,#7,10
3,Notre Dame,10,1,0.909,21.688,-0.878,0.363,7.0,3W,1,#12,11
4,Bowling Green,11,0,1.0,21.388,4.157,0.6453,15.0,11W,6,#10,11
5,West Virginia,10,0,1.0,19.214,-5.336,0.3261,9.0,10W,0,,10
6,LSU,9,2,0.818,15.902,-2.269,0.2894,-16.0,1W,1,#5,11
7,Florida State,8,2,0.8,15.683,4.003,0.4873,-12.9,6W,4,#9,10
8,Texas A&M,10,1,0.909,14.859,-2.173,0.3886,0.2,1L,2,#13,11
9,Georgia Tech,8,2,0.8,14.558,-1.448,0.2401,-19.6,2W,1,#21,10
10,Florida,9,2,0.818,13.332,5.317,0.4853,39.6,5W,2,#10,11
11,Houston,9,1,0.9,12.688,-5.387,0.2408,-20.5,1W,0,,10
12,UCLA,8,2,0.8,12.619,-5.326,0.1535,-51.1,2W,0,,10
13,Clemson,7,3,0.7,12.53,1.296,0.2866,21.1,5W,1,#23,10
14,Texas,8,3,0.727,12.044,2.56,0.3387,-27.7,2W,1,#19,11
15,Auburn,8,2,0.8,11.305,5.046,0.4521,87.0,1W,3,#7,10
16,North Carolina,8,2,0.8,9.465,0.766,0.3239,14.6,4W,0,,10
17,Ole Miss,7,4,0.636,9.369,3.028,0.2676,41.0,4L,3,#6,11
18,Troy,8,3,0.727,9.356,-4.998,0.0807,-76.0,1L,0,,11
19,Fresno State,9,1,0.9,9.083,-4.599,0.2711,-14.1,5W,0,,10
20,Ohio,8,2,0.8,8.999,-1.766,0.2289,3.0,1L,0,,10
21,Hammond,7,4,0.636,8.801,2.983,0.2132,-48.4,4W,3,#17,11
22,Miami,8,4,0.667,8.718,0.272,0.1403,2.0,4W,0,,12
23,Georgia,7,3,0.7,8.441,4.119,0.3225,52.2,2W,1,#24,10
24,San Jose State,8,3,0.727,8.44,7.535,0.4411,115.5,2W,4,#8,11
25,Oregon,8,3,0.727,8.264,2.455,0.2913,9.0,1W,2,#7,11
26,Arizona State,9,3,0.75,8.189,-2.12,0.1813,-20.8,4W,4,#17,12
27,Michigan,6,4,0.6,7.943,0.921,0.1296,-30.8,1L,1,#7,10
28,SMU,7,4,0.636,7.864,-1.982,0.0858,-38.4,1L,1,#21,11
29,Wake Forest,9,1,0.9,7.666,-4.033,0.2824,-11.1,2W,0,,10
30,Ohio State,7,3,0.7,7.559,-1.445,0.1641,-45.3,2W,2,#20,10
31,BYU,8,3,0.727,7.54,2.462,0.3303,11.0,1W,0,,11
32,Pittsburgh,8,2,0.8,7.43,-4.304,0.1761,-3.9,1W,0,,10
33,Penn State,6,5,0.545,7.406,1.103,0.0583,-7.0,1L,0,,11
34,East Carolina,7,3,0.7,6.566,-3.832,0.112,-49.2,1L,0,,10
35,Nebraska,8,3,0.727,6.382,1.963,0.3073,90.7,1W,2,#19,11
36,TCU,7,4,0.636,6.074,-1.016,0.0749,23.6,2L,1,#16,11
37,NC State,6,4,0.6,5.864,3.165,0.2092,-4.0,4W,0,,10
38,USC,7,3,0.7,5.723,1.083,0.2268,11.0,1L,1,#25,10
39,Oklahoma,6,6,0.5,5.051,2.438,0.0364,-35.5,1L,0,,12
40,Toledo,6,5,0.545,4.748,-3.668,-0.0935,-90.2,1L,0,,11
41,Boise State,6,4,0.6,4.604,-1.956,0.0613,-46.4,1L,0,,10
42,Missouri State,7,3,0.7,4.488,-4.987,0.0507,-46.3,2W,0,,10
43,Louisiana Tech,7,4,0.636,4.412,-4.339,0.0237,-57.2,1W,0,,11
44,Marshall,7,3,0.7,4.284,-3.396,0.1021,-24.2,2W,0,,10
45,Baylor,6,5,0.545,4.157,-1.033,0.0192,-58.5,1L,0,,11
46,Wyoming,6,5,0.545,4.061,0.048,0.0551,-1.0,1L,0,,11
47,Eastern Michigan,6,4,0.6,3.943,-4.278,-0.0394,-63.4,1L,0,,10
48,Oklahoma State,7,3,0.7,3.887,-1.789,0.1387,-3.5,1W,2,#7,10
49,Arizona,7,3,0.7,3.843,-4.078,0.0648,-48.0,4W,3,#7,10
50,Tulane,6,4,0.6,3.777,-0.01,0.1042,-33.9,1W,0,,10
51,Charlotte,6,4,0.6,3.431,-0.502,0.0915,-10.8,1W,0,,10
52,Navy,7,4,0.636,3.241,-1.409,0.0666,-22.1,1L,0,,11
53,Virginia Tech,7,3,0.7,3.073,0.783,0.2415,25.2,1W,0,,10
54,Southern Mississippi,6,4,0.6,2.91,-2.943,0.0014,-76.3,2L,0,,10
55,Gate City,5,6,0.455,2.561,-3.134,-0.1248,-60.5,1L,3,#11,11
56,Duke,6,4,0.6,2.325,0.886,0.1606,43.5,3L,1,#25,10
57,Alabama,6,4,0.6,2.241,2.117,0.2437,75.4,1L,2,#20,10
58,Liberty,7,3,0.7,1.86,-5.643,0.0479,-24.4,1L,0,,10
59,Mississippi State,6,5,0.545,1.603,-3.958,-0.0736,-38.2,4L,0,,11
60,Georgia Southern,6,4,0.6,1.56,-3.644,-0.0063,-36.0,2W,0,,10
61,North Texas,6,4,0.6,1.534,-2.496,0.0225,-46.9,2W,0,,10
62,San Diego State,6,4,0.6,1.461,-1.041,0.0901,12.3,1L,0,,10
63,Kansas,5,5,0.5,1.457,-3.449,-0.0894,-28.2,2L,0,,10
64,Kennesaw State,5,5,0.5,1.417,-0.729,-0.0042,-45.9,1L,0,,10
65,Delaware,6,4,0.6,1.234,-4.697,-0.038,-10.6,1W,0,,10
66,Michigan State,6,5,0.545,1.181,-0.62,0.0128,49.3,2L,1,#25,11
67,Rutgers,6,4,0.6,0.959,-1.647,0.0676,-13.0,3W,0,,10
68,Northwestern,6,4,0.6,0.843,-4.677,-0.0415,-28.9,2W,0,,10
69,Washington State,6,4,0.6,0.746,-2.871,0.0345,8.4,1L,0,,10
70,Virginia,4,6,0.4,0.656,-3.052,-0.1592,-35.2,1W,0,,10
71,Panama City,6,7,0.462,0.611,-0.249,-0.032,-40.7,1W,1,#13,13
72,Wisconsin,3,7,0.3,0.119,4.275,-0.0415,-18.0,3L,0,,10
