Rank,Team,W,L,WinPct,FPI,SOS,SOR,Chaos,Streak,QualityWins,BestWin,GamesPlayed
1,Bowling Green,4,0,1.0,27.557,4.078,0.6232,4.0,4W,2,#22,4
2,Texas Tech,4,0,1.0,27.312,9.589,0.7958,4.0,4W,2,#14,4
3,LSU,4,0,1.0,21.207,-10.121,0.243,3.0,4W,0,,4
4,Michigan,3,0,1.0,20.936,-4.664,0.3826,2.0,3W,1,#7,3
5,Notre Dame,4,0,1.0,20.517,-6.502,0.3257,3.0,4W,0,,4
6,USC,2,0,1.0,18.76,-4.016,0.3592,2.0,2W,0,,2
7,USF,3,1,0.75,17.943,-1.65,0.2007,-14.2,1L,2,#8,4
8,BYU,2,0,1.0,17.15,-18.236,0.0669,1.0,2W,0,,2
9,Georgia,2,0,1.0,17.113,-11.311,0.1831,1.0,2W,0,,2
10,Michigan State,3,0,1.0,16.948,0.027,0.5352,4.0,3W,1,#25,3
11,Texas A&M,4,0,1.0,16.464,-7.107,0.3609,3.0,4W,0,,4
12,TCU,3,1,0.75,15.746,4.457,0.2958,1.0,2W,1,#16,4
13,Ole Miss,4,0,1.0,15.731,-10.573,0.2729,4.0,4W,2,#6,4
14,Vanderbilt,3,0,1.0,14.427,-12.347,0.1784,2.0,3W,0,,3
15,Indiana,2,0,1.0,13.843,-17.85,0.0775,1.0,2W,0,,2
16,Pittsburgh,4,0,1.0,13.37,-10.796,0.213,3.0,4W,0,,4
17,UCLA,3,0,1.0,13.123,-16.29,0.1526,2.0,3W,0,,3
18,Navy,4,0,1.0,12.631,-9.774,0.2518,3.0,4W,0,,4
19,Alabama,4,0,1.0,12.591,-5.853,0.4049,7.0,4W,1,#21,4
20,Wyoming,4,0,1.0,11.91,-14.715,0.1408,3.0,4W,0,,4
21,Hawaii,1,0,1.0,11.823,-12.891,0.1408,1.0,1W,0,,1
22,Mississippi State,2,1,0.667,11.551,-4.1,0.0516,-5.0,1W,0,,3
23,West Virginia,4,0,1.0,11.485,-9.067,0.2764,3.0,4W,0,,4
24,SMU,4,0,1.0,11.45,-8.136,0.3011,5.0,4W,0,,4
25,Stanford,2,1,0.667,11.23,-6.743,0.0023,-10.9,2W,0,,3
26,Florida,3,0,1.0,10.925,-2.686,0.3967,5.0,3W,1,#10,3
27,East Carolina,4,0,1.0,10.908,-8.72,0.2923,5.0,4W,0,,4
28,Duke,3,0,1.0,10.887,-7.428,0.3662,4.0,3W,1,#25,3
29,Oregon,2,1,0.667,10.203,0.536,0.0962,-1.0,1L,0,,3
30,Colorado State,2,1,0.667,9.593,-11.35,-0.1009,-30.8,1L,0,,3
31,Penn State,3,1,0.75,9.183,-6.171,0.0511,0.0,2W,0,,4
32,San Jose State,4,0,1.0,8.9,8.764,0.7412,82.2,4W,3,#8,4
33,Arizona State,3,1,0.75,8.608,0.179,0.2394,2.0,3W,0,,4
34,Toledo,3,1,0.75,8.507,0.978,0.2165,0.0,1W,0,,4
35,Wake Forest,3,0,1.0,7.238,-10.727,0.2465,4.0,3W,0,,3
36,Houston,4,0,1.0,7.184,-7.667,0.3169,7.0,4W,0,,4
37,Nebraska,2,1,0.667,6.654,-1.227,0.1995,1.0,2W,1,#19,3
38,Tennessee,2,1,0.667,6.584,-2.034,0.0516,-1.0,1L,0,,3
39,Sam Houston,3,1,0.75,6.151,-6.735,0.0827,-4.0,1W,0,,4
