Rank,Team,W,L,WinPct,FPI,SOS,SOR,Chaos,Streak,QualityWins,BestWin,GamesPlayed
1,Florida State,4,0,1.0,25.22,-2.172,0.4415,4.0,4W,0,,4
2,San Jose State,4,0,1.0,22.336,-7.939,0.2943,4.0,4W,1,#10,4
3,USF,3,0,1.0,20.716,4.821,0.6217,5.0,3W,1,#13,3
4,Notre Dame,4,0,1.0,20.56,-8.992,0.2624,3.0,4W,0,,4
5,Texas Tech,3,0,1.0,20.382,2.153,0.6076,3.0,3W,0,,3
6,Virginia Tech,3,0,1.0,19.197,-7.55,0.3121,2.0,3W,0,,3
7,Miami,4,0,1.0,18.933,-5.246,0.3652,3.0,4W,1,#24,4
8,Florida,4,0,1.0,17.597,-1.918,0.4716,4.0,4W,1,#16,4
9,Texas,4,0,1.0,17.352,-5.408,0.3972,3.0,4W,1,#24,4
10,Oklahoma,3,0,1.0,16.732,-7.148,0.3262,4.0,3W,1,#16,3
11,NC State,3,1,0.75,16.534,-3.544,0.1418,0.0,3W,0,,4
12,Arkansas,2,1,0.667,15.478,-4.322,0.1064,-30.8,1L,0,,3
13,Texas A&M,5,0,1.0,15.122,-5.568,0.383,7.0,5W,1,#19,5
14,Oregon,3,1,0.75,14.467,-0.177,0.2482,-12.6,1L,2,#20,4
15,Ole Miss,2,1,0.667,12.865,-0.881,0.1631,-1.0,1L,0,,3
16,Bowling Green,3,1,0.75,12.188,0.764,0.2589,-21.0,1L,2,#23,4
17,Tennessee,3,1,0.75,11.859,-3.393,0.1684,0.0,1L,1,#14,4
18,Troy,3,0,1.0,11.427,-13.09,0.1537,2.0,3W,0,,3
19,Cincinnati,2,1,0.667,11.068,-5.141,0.078,-5.0,1W,0,,3
20,Air Force,2,1,0.667,10.935,-10.075,-0.1017,-31.5,1L,0,,3
21,Auburn,3,1,0.75,10.79,-6.532,0.0798,-28.9,2W,0,,4
22,Virginia,3,0,1.0,10.682,-13.248,0.1229,2.0,3W,0,,3
23,Duke,4,1,0.8,10.185,-8.641,0.1277,-26.9,1L,0,,5
24,Marshall,4,0,1.0,9.885,-8.842,0.2996,4.0,4W,0,,4
25,Memphis,5,1,0.833,9.443,-8.392,0.1371,-23.3,4W,0,,6
26,North Carolina,3,1,0.75,8.982,-1.148,0.234,2.0,3W,0,,4
27,San Diego State,4,1,0.8,8.085,-11.641,0.0099,-27.8,2W,0,,5
28,East Carolina,4,0,1.0,7.863,-6.385,0.344,7.0,4W,0,,4
29,Maryland,3,1,0.75,7.824,0.536,0.2908,2.0,3W,0,,4
30,Syracuse,3,1,0.75,7.751,-6.608,0.0993,-4.0,1L,0,,4
31,Navy,4,1,0.8,7.66,-7.692,0.1191,-2.0,1W,0,,5
32,Southern Mississippi,2,1,0.667,7.592,-1.427,0.104,-1.0,1L,0,,3
33,Nebraska,3,1,0.75,7.464,2.817,0.3032,47.5,1W,1,#12,4
34,Central Michigan,3,1,0.75,7.392,-9.827,-0.016,-24.1,3W,0,,4
35,Michigan,3,1,0.75,7.268,-6.075,0.1082,-4.0,1L,0,,4
36,Georgia,3,1,0.75,7.224,1.837,0.3404,70.8,1W,1,#1,4
37,Baylor,3,1,0.75,6.991,-3.129,0.2074,2.0,2W,0,,4
38,Western Michigan,2,1,0.667,6.471,-5.002,0.0165,-24.5,2W,0,,3
39,BYU,3,1,0.75,6.144,-7.324,0.078,-2.0,1L,1,#20,4
40,Kansas State,3,1,0.75,6.031,-9.549,0.0248,-4.0,2W,0,,4
41,Alabaster,3,1,0.75,5.929,-5.253,0.1738,-6.3,1L,0,,4
42,TCU,2,1,0.667,5.354,7.429,0.3593,4.0,1W,1,#20,3
43,Pittsburgh,3,1,0.75,5.315,-8.482,0.0443,-25.6,1L,0,,4
44,Delaware,3,1,0.75,4.781,-12.049,-0.0284,-26.3,3W,0,,4
45,Wisconsin,4,0,1.0,4.537,-11.037,0.1631,3.0,4W,0,,4
46,Washington,2,2,0.5,3.899,7.687,0.1791,0.0,1L,0,,4
47,Alabama,2,2,0.5,3.76,-0.593,-0.0035,-7.0,2W,0,,4
48,Ohio,3,0,1.0,3.277,-2.056,0.4515,9.0,3W,0,,3
49,Oklahoma State,5,0,1.0,3.068,-6.475,0.4014,47.0,5W,0,,5
50,Panama City,3,1,0.75,2.76,-7.591,0.0762,-1.0,3W,0,,4
51,Indiana,2,2,0.5,2.706,0.801,0.0567,-1.0,2W,0,,4
52,Fresno State,2,1,0.667,2.404,-13.804,-0.156,-24.6,1W,0,,3
53,Washington State,5,1,0.833,2.302,-8.008,0.156,18.6,2W,0,,6
54,Wake Forest,3,1,0.75,1.973,-5.164,0.1277,2.0,3W,0,,4
55,Colorado,1,2,0.333,1.612,-4.72,-0.2222,-8.0,1L,0,,3
56,Kansas,2,2,0.5,1.596,-5.919,-0.1418,-11.0,1L,0,,4
57,Miami University,2,1,0.667,1.506,-1.599,0.2151,32.1,1L,0,,3
58,Houston,2,1,0.667,1.476,-5.659,-0.0118,-2.0,1W,0,,3
59,Arizona State,3,1,0.75,1.043,-4.524,0.0727,0.0,2W,0,,4
60,Arizona,3,1,0.75,0.952,0.293,0.2961,3.0,2W,0,,4
61,New Mexico State,2,1,0.667,0.802,-15.007,-0.2553,-29.7,1W,0,,3
62,UCF,2,2,0.5,0.757,-3.098,-0.1099,-29.2,1L,0,,4
63,Rutgers,3,1,0.75,0.72,-4.671,0.1507,4.0,1W,0,,4
64,California,3,1,0.75,0.688,-4.735,0.133,-3.0,2W,0,,4
65,Florida International,1,2,0.333,0.57,-7.471,-0.3121,-27.8,2L,0,,3
66,UConn,2,2,0.5,0.428,-5.256,-0.1064,-28.5,1L,0,,4
67,Kentucky,2,2,0.5,-0.023,2.343,0.0532,-5.0,2L,0,,4
68,Arkansas State,3,2,0.6,-0.143,-9.297,-0.1348,-29.0,3W,0,,5
69,Old Dominion,2,1,0.667,-0.162,-6.935,0.0307,-3.0,1W,0,,3
70,LSU,2,1,0.667,-0.353,0.016,0.1702,1.0,1W,0,,3
71,Clemson,1,2,0.333,-0.982,10.091,0.1655,36.2,1W,0,,3
72,Wyoming,2,2,0.5,-1.078,-4.767,-0.1525,-27.2,2L,0,,4
73,UL Monroe,2,2,0.5,-1.369,-8.349,-0.2039,-29.2,1L,0,,4
