Rank,Team,W,L,WinPct,FPI,SOS,SOR,Chaos,Streak,QualityWins,BestWin,GamesPlayed
1,Texas Tech,5,0,1.0,28.376,11.19,0.8479,5.0,5W,2,#14,5
2,Bowling Green,5,0,1.0,26.728,6.694,0.7127,5.0,5W,3,#12,5
3,LSU,5,0,1.0,22.257,-8.649,0.2746,4.0,5W,0,,5
4,Michigan,4,0,1.0,21.595,-2.972,0.4225,5.0,4W,1,#7,4
5,BYU,3,0,1.0,21.194,-10.774,0.2136,2.0,3W,0,,3
6,Notre Dame,5,0,1.0,20.722,-7.718,0.2577,4.0,5W,0,,5
7,Texas A&M,5,0,1.0,19.154,-4.854,0.4352,4.0,5W,0,,5
8,USF,3,1,0.75,18.984,-0.193,0.2711,-19.8,1L,2,#8,4
9,TCU,4,1,0.8,16.964,1.166,0.2746,1.0,3W,1,#16,5
10,Ole Miss,4,0,1.0,16.399,-9.865,0.2993,2.0,4W,2,#6,4
11,Indiana,3,0,1.0,16.374,-13.747,0.1385,2.0,3W,0,,3
12,Penn State,4,1,0.8,13.95,-2.862,0.1972,3.0,3W,0,,5
13,Georgia,3,0,1.0,13.913,-5.336,0.3826,4.0,3W,0,,3
14,East Carolina,5,0,1.0,13.867,-7.829,0.3141,6.0,5W,0,,5
15,Oklahoma State,4,0,1.0,12.963,-3.237,0.4384,5.0,4W,1,#24,4
16,Arizona State,4,1,0.8,12.493,0.225,0.2901,3.0,4W,0,,5
17,Houston,5,0,1.0,12.17,-4.422,0.4014,8.0,5W,0,,5
18,West Virginia,5,0,1.0,12.015,-10.731,0.2127,4.0,5W,0,,5
19,Toledo,4,1,0.8,11.968,-0.026,0.2577,3.0,2W,0,,5
20,Georgia Tech,3,1,0.75,11.878,-1.405,0.1655,1.0,3W,0,,4
21,Oregon,3,1,0.75,11.739,-0.184,0.162,0.0,1W,0,,4
22,Mississippi State,2,1,0.667,11.195,-5.438,0.0376,-24.5,1W,0,,3
23,USC,2,1,0.667,9.743,8.324,0.284,0.0,1L,0,,3
24,Pittsburgh,5,0,1.0,9.654,-10.654,0.2056,4.0,5W,0,,5
25,Clemson,2,2,0.5,9.64,-1.881,0.0475,-21.8,1W,0,,4
26,Navy,4,1,0.8,8.988,-5.986,0.1451,-18.9,1L,0,,5
27,Florida,3,1,0.75,8.839,7.017,0.3891,3.0,1L,1,#10,4
28,Oklahoma,4,1,0.8,8.816,-3.131,0.2211,3.0,2W,0,,5
29,UCLA,4,0,1.0,8.063,-15.036,0.1813,5.0,4W,0,,4
30,Troy,3,2,0.6,7.95,-7.661,-0.0789,-29.1,2W,0,,5
31,Texas,2,2,0.5,7.317,0.971,0.0775,12.1,1W,0,,4
32,Wake Forest,4,0,1.0,7.175,-6.313,0.3433,7.0,4W,0,,4
33,Michigan State,3,1,0.75,6.853,2.544,0.3574,24.5,1L,1,#25,4
34,Ohio,3,1,0.75,6.828,-11.006,-0.0158,-23.8,1W,0,,4
35,Wyoming,4,1,0.8,6.816,-5.93,0.1296,1.0,1L,0,,5
36,Tulane,4,2,0.667,6.568,-4.693,0.0493,-35.9,1W,0,,6
37,Missouri State,3,1,0.75,6.496,-4.67,0.1074,-4.0,2W,0,,4
38,Alabama,4,1,0.8,6.233,-1.096,0.3423,3.0,1L,1,#21,5
39,Auburn,4,1,0.8,5.96,-0.842,0.3085,14.0,2W,2,#16,5
40,Tennessee,2,2,0.5,5.625,2.587,0.0158,-3.0,2L,0,,4
41,Panama City,3,2,0.6,5.571,-4.821,-0.0493,-30.2,1W,0,,5
42,Nebraska,3,1,0.75,5.544,-1.073,0.2799,4.0,3W,1,#19,4
43,Baylor,4,1,0.8,4.986,-8.391,0.0761,-3.0,2W,0,,5
44,Boise State,3,2,0.6,4.935,-5.292,-0.0352,-35.4,2W,0,,5
45,Louisiana Tech,3,1,0.75,4.871,-6.42,0.1021,2.0,1W,0,,4
46,Marshall,3,1,0.75,4.811,-5.54,0.0968,-23.1,1W,0,,4
47,Virginia Tech,2,1,0.667,4.605,-5.952,0.0188,-5.0,1L,0,,3
48,Liberty,4,1,0.8,4.485,-8.593,0.0789,-20.1,1W,0,,5
49,Vanderbilt,3,1,0.75,4.402,-7.857,0.0563,-2.0,1L,0,,4
50,SMU,4,1,0.8,4.209,-6.743,0.1183,-6.1,1L,0,,5
51,Eastern Michigan,4,1,0.8,4.013,-5.535,0.1887,1.9,4W,0,,5
52,Central Michigan,2,1,0.667,4.001,-11.16,-0.1315,-25.3,1W,0,,3
53,Wisconsin,1,3,0.25,3.49,1.818,-0.1426,-14.0,2L,0,,4
