Rank,Team,W,L,WinPct,FPI,SOS,SOR,Chaos,Streak,QualityWins,BestWin,GamesPlayed
1,Marshall,1,0,1.0,21.138,-10.43,0.2628,0.0,1W,0,,1
2,Missouri State,1,0,1.0,20.138,-10.43,0.2628,0.0,1W,0,,1
3,Panama City,1,0,1.0,19.373,-13.96,0.219,1.0,1W,0,,1
4,Duke,1,0,1.0,17.918,-16.869,0.1679,0.0,1W,0,,1
5,UCLA,1,0,1.0,17.918,-16.869,0.1679,0.0,1W,0,,1
6,Purdue,1,0,1.0,17.918,-16.869,0.1679,0.0,1W,0,,1
7,Memphis,1,0,1.0,17.918,-16.869,0.1679,0.0,1W,0,,1
8,Colorado State,1,0,1.0,17.918,-16.869,0.1679,0.0,1W,0,,1
9,Massachusetts,1,0,1.0,17.918,-16.869,0.1679,0.0,1W,0,,1
10,Louisiana Tech,1,0,1.0,17.918,-16.869,0.1679,0.0,1W,0,,1
11,Pittsburgh,1,0,1.0,17.806,-17.094,0.1606,0.0,1W,0,,1
12,Penn State,1,0,1.0,17.806,-17.094,0.1606,0.0,1W,0,,1
13,Ohio,1,0,1.0,17.806,-17.094,0.1606,0.0,1W,0,,1
14,Tennessee,1,0,1.0,17.806,-17.094,0.1606,0.0,1W,0,,1
15,Florida International,1,0,1.0,17.806,-17.094,0.1606,0.0,1W,0,,1
16,Death Valley,1,0,1.0,17.806,-17.094,0.1606,0.0,1W,0,,1
17,BYU,1,0,1.0,17.706,-17.293,0.1533,0.0,1W,0,,1
18,Indiana,1,0,1.0,17.706,-17.293,0.1533,0.0,1W,0,,1
19,Kansas,1,0,1.0,17.706,-17.293,0.1533,0.0,1W,0,,1
20,Wyoming,1,0,1.0,17.706,-17.293,0.1533,0.0,1W,0,,1
21,Navy,1,0,1.0,17.239,-18.227,0.1314,0.0,1W,0,,1
22,Oregon,1,0,1.0,17.239,-18.227,0.1314,0.0,1W,0,,1
23,Virginia Tech,1,0,1.0,17.239,-18.227,0.1314,0.0,1W,0,,1
24,Auburn,1,0,1.0,17.239,-18.227,0.1314,0.0,1W,0,,1
25,Kentucky,1,0,1.0,16.918,-16.869,0.1679,0.0,1W,0,,1
26,West Virginia,1,0,1.0,15.373,-21.961,0.0803,1.0,1W,0,,1
27,TCU,1,0,1.0,15.373,-21.961,0.0803,1.0,1W,0,,1
28,Notre Dame,1,0,1.0,15.373,-21.961,0.0803,1.0,1W,0,,1
29,Texas Tech,1,0,1.0,15.373,-21.961,0.0803,1.0,1W,1,#20,1
30,Sam Houston,1,0,1.0,15.373,-21.961,0.0803,1.0,1W,0,,1
31,Ohio State,1,0,1.0,15.373,-21.961,0.0803,1.0,1W,0,,1
32,Florida,1,0,1.0,15.373,-21.961,0.0803,1.0,1W,0,,1
33,USF,1,0,1.0,15.373,-21.961,0.0803,1.0,1W,1,#16,1
34,LSU,1,0,1.0,15.373,-21.961,0.0803,1.0,1W,0,,1
35,Baylor,1,0,1.0,15.373,-21.961,0.0803,1.0,1W,0,,1
36,Michigan State,1,0,1.0,14.138,-10.43,0.2628,0.0,1W,0,,1
37,Mississippi State,1,0,1.0,13.373,-19.961,0.0949,1.0,1W,0,,1
38,Bowling Green,1,0,1.0,13.373,-19.961,0.0949,1.0,1W,1,#23,1
39,Toledo,1,0,1.0,12.705,-19.293,0.1168,1.0,1W,0,,1
40,Central Michigan,1,0,1.0,12.705,-19.293,0.1168,1.0,1W,0,,1
41,Vanderbilt,1,0,1.0,12.705,-19.293,0.1168,1.0,1W,0,,1
42,Kent State,1,0,1.0,10.806,-17.094,0.1606,0.0,1W,0,,1
43,Georgia,1,0,1.0,10.705,-17.293,0.1533,1.0,1W,0,,1
44,Ole Miss,1,0,1.0,10.04,-16.627,0.1752,1.0,1W,1,#6,1
45,Michigan,1,0,1.0,9.373,-15.961,0.1825,1.0,1W,0,,1
46,Rutgers,1,0,1.0,8.705,-15.293,0.2044,1.0,1W,0,,1
47,Florida State,1,0,1.0,8.705,-15.293,0.2044,1.0,1W,0,,1
48,James Madison,1,0,1.0,8.705,-15.293,0.2044,1.0,1W,0,,1
49,Maryland,1,0,1.0,8.138,-10.43,0.2628,0.0,1W,0,,1
50,Texas A&M,1,0,1.0,8.039,-14.627,0.2117,1.0,1W,0,,1
51,Houston,1,0,1.0,7.706,-17.293,0.1533,0.0,1W,0,,1
52,East Carolina,1,0,1.0,6.705,-13.293,0.2263,1.0,1W,0,,1
53,North Texas,1,0,1.0,6.039,-12.627,0.2336,1.0,1W,0,,1
54,SMU,1,0,1.0,5.372,-11.96,0.2409,1.0,1W,0,,1
55,Oregon State,1,0,1.0,4.138,-10.43,0.2628,0.0,1W,0,,1
56,Oklahoma,1,0,1.0,4.039,-10.627,0.2555,1.0,1W,0,,1
57,Texas,1,0,1.0,2.706,-9.294,0.2701,1.0,1W,0,,1
58,Oklahoma State,1,0,1.0,2.039,-8.628,0.292,1.0,1W,0,,1
59,Tulsa,1,0,1.0,2.039,-8.628,0.292,1.0,1W,0,,1
60,Alabama,1,0,1.0,2.039,-8.628,0.292,1.0,1W,0,,1
61,Texas State,1,1,0.5,1.899,-9.907,-0.1934,-24.2,1L,0,,2
62,New Mexico State,1,0,1.0,1.706,-17.293,0.1533,0.0,1W,0,,1
63,UTSA,1,0,1.0,1.372,-7.961,0.3066,3.0,1W,0,,1
64,San Jose State,1,0,1.0,1.372,-7.961,0.3066,3.0,1W,0,,1
65,Western Kentucky,1,0,1.0,0.706,-7.294,0.3212,3.0,1W,0,,1
66,Arizona,1,0,1.0,0.706,-7.294,0.3212,3.0,1W,0,,1
67,Fresno State,1,0,1.0,0.039,-6.628,0.3431,3.0,1W,0,,1
