Rank,Team,W,L,WinPct,FPI,SOS,SOR,Chaos,Streak,QualityWins,BestWin,GamesPlayed
1,Texas Tech,3,0,1.0,26.517,5.854,0.6549,3.0,3W,1,#20,3
2,Bowling Green,3,0,1.0,25.017,-0.479,0.5023,3.0,3W,2,#22,3
3,Notre Dame,3,0,1.0,22.411,-1.025,0.4507,3.0,3W,0,,3
4,LSU,3,0,1.0,22.131,-8.252,0.2887,3.0,3W,0,,3
5,USF,3,0,1.0,20.355,-11.804,0.2089,3.0,3W,2,#8,3
6,Oregon,2,0,1.0,18.981,-14.551,0.1479,1.0,2W,0,,2
7,Michigan,2,0,1.0,18.965,-5.585,0.3627,1.0,2W,1,#7,2
8,Colorado State,2,0,1.0,18.697,-15.12,0.162,1.0,2W,0,,2
9,Louisiana Tech,2,0,1.0,18.038,-16.438,0.1373,1.0,2W,0,,2
10,BYU,2,0,1.0,17.451,-17.613,0.0986,1.0,2W,0,,2
11,Pittsburgh,3,0,1.0,17.112,-10.291,0.2606,2.0,3W,0,,3
12,Ole Miss,2,0,1.0,16.967,2.419,0.5634,2.0,2W,1,#6,2
13,USC,1,0,1.0,16.734,-3.047,0.3944,1.0,1W,0,,1
14,Indiana,2,0,1.0,16.042,-13.43,0.1796,1.0,2W,0,,2
15,Florida,2,0,1.0,16.028,-6.457,0.3415,2.0,2W,0,,2
16,Kentucky,2,0,1.0,15.993,-19.529,0.0775,1.0,2W,0,,2
17,Georgia,2,0,1.0,15.851,-13.812,0.169,1.0,2W,0,,2
18,SMU,3,0,1.0,15.442,-11.629,0.2066,2.0,3W,0,,3
19,Marshall,2,0,1.0,15.333,-2.848,0.4401,3.0,2W,0,,2
20,UCLA,3,0,1.0,14.461,-13.593,0.1995,2.0,3W,0,,3
21,Ohio State,2,1,0.667,14.36,-5.127,0.0469,-24.4,1W,0,,3
22,Panama City,2,1,0.667,13.375,-0.43,0.1455,-11.2,1W,0,,3
23,Navy,3,0,1.0,12.89,-8.734,0.2653,2.0,3W,0,,3
24,Alabama,3,0,1.0,12.387,-11.073,0.2653,2.0,3W,0,,3
25,West Virginia,3,0,1.0,11.911,-9.358,0.2793,2.0,3W,0,,3
26,Texas A&M,3,0,1.0,11.755,-12.336,0.2324,4.0,3W,0,,3
27,Vanderbilt,2,0,1.0,11.485,-12.544,0.1901,2.0,2W,0,,2
28,Virginia Tech,2,0,1.0,11.434,-10.646,0.2148,1.0,2W,0,,2
29,Hawaii,1,0,1.0,11.393,-13.729,0.1831,1.0,1W,0,,1
30,Air Force,1,0,1.0,11.081,-16.352,0.1056,0.0,1W,0,,1
31,Stanford,2,1,0.667,10.834,-7.513,-0.007,-10.7,2W,0,,3
32,Michigan State,2,0,1.0,10.663,-3.188,0.4296,3.0,2W,0,,2
33,Sam Houston,2,1,0.667,10.656,-1.202,0.1291,-4.0,1L,0,,3
34,East Carolina,3,0,1.0,10.152,-2.876,0.4061,5.0,3W,0,,3
35,Duke,2,0,1.0,10.049,-4.416,0.4401,42.4,2W,1,#25,2
36,Mississippi State,2,1,0.667,9.976,-7.229,0.0047,-5.0,1W,0,,3
37,TCU,2,1,0.667,9.779,1.044,0.1315,0.0,1W,1,#16,3
38,Wyoming,3,0,1.0,9.646,-14.555,0.1573,2.0,3W,0,,3
39,Oklahoma State,3,0,1.0,9.332,-1.849,0.4531,43.0,3W,1,#24,3
40,Ohio,2,0,1.0,9.038,-11.438,0.2077,1.0,2W,0,,2
41,San Jose State,3,0,1.0,8.749,5.649,0.6479,31.9,3W,2,#10,3
42,Wake Forest,3,0,1.0,8.081,-9.019,0.2911,4.0,3W,0,,3
43,Wisconsin,1,1,0.5,7.689,-4.136,-0.0915,-6.0,1W,0,,2
44,Houston,3,0,1.0,7.544,-12.76,0.2042,4.0,3W,0,,3
45,Tennessee,2,1,0.667,7.047,-1.086,0.0986,-1.0,1L,0,,3
46,Kansas,2,1,0.667,6.579,-11.356,-0.0775,-1.0,1L,0,,3
47,Rapid City,3,0,1.0,6.382,-7.75,0.338,4.0,3W,0,,3
48,Toledo,2,1,0.667,6.317,0.119,0.1268,-1.0,1L,0,,3
49,Nebraska,2,1,0.667,6.05,-2.414,0.1408,1.0,2W,1,#19,3
50,Tulane,3,1,0.75,5.858,-13.798,-0.081,-35.7,3W,0,,4
51,Baylor,2,1,0.667,5.771,-12.972,-0.0775,-4.0,1L,0,,3
52,Penn State,2,1,0.667,5.469,-4.243,0.0399,-1.0,1W,0,,3
53,Rutgers,3,0,1.0,5.356,-12.47,0.1925,2.0,3W,0,,3
54,New Mexico State,2,1,0.667,5.189,-13.468,-0.1573,-29.2,1W,0,,3
55,Arizona State,2,1,0.667,5.183,5.186,0.2934,2.0,2W,0,,3
