Rank,Team,W,L,WinPct,FPI,SOS,SOR,Chaos,Streak,QualityWins,BestWin,GamesPlayed
1,Marshall,1,0,1.0,21.3,-10.37,0.2746,0.0,1W,0,,1
2,Colorado State,2,0,1.0,21.248,-10.475,0.2746,1.0,2W,0,,2
3,Toledo,2,0,1.0,21.05,-6.869,0.3521,1.0,2W,0,,2
4,Tennessee,2,0,1.0,20.828,-11.316,0.2465,1.0,2W,0,,2
5,LSU,2,0,1.0,20.276,-12.419,0.2077,2.0,2W,0,,2
6,Michigan,1,0,1.0,20.267,5.564,0.6197,1.0,1W,0,,1
7,Notre Dame,2,0,1.0,19.59,-3.789,0.4085,2.0,2W,0,,2
8,USF,2,0,1.0,19.246,-14.478,0.1655,2.0,2W,2,#8,2
9,Ole Miss,1,0,1.0,18.882,0.792,0.493,1.0,1W,1,#6,1
10,Oregon,1,0,1.0,18.839,-15.293,0.1408,0.0,1W,0,,1
11,Virginia Tech,1,0,1.0,18.839,-15.293,0.1408,0.0,1W,0,,1
12,Wyoming,2,0,1.0,18.633,-15.704,0.1514,1.0,2W,0,,2
13,Texas Tech,2,0,1.0,18.09,-8.793,0.3099,2.0,2W,1,#20,2
14,Sam Houston,2,0,1.0,17.8,-9.37,0.3063,2.0,2W,0,,2
15,Georgia,2,0,1.0,17.764,-10.442,0.2711,1.0,2W,0,,2
16,Bowling Green,2,0,1.0,17.657,-14.658,0.2324,2.0,2W,2,#22,2
17,Kentucky,2,0,1.0,17.167,-17.636,0.1092,1.0,2W,0,,2
18,Indiana,1,0,1.0,16.453,-20.065,0.0775,0.0,1W,0,,1
19,Pittsburgh,2,0,1.0,16.453,-12.066,0.2324,1.0,2W,0,,2
20,BYU,1,0,1.0,16.453,-20.065,0.0775,0.0,1W,0,,1
21,Louisiana Tech,1,0,1.0,16.266,-20.44,0.0704,0.0,1W,0,,1
22,Memphis,1,0,1.0,16.266,-20.44,0.0704,0.0,1W,0,,1
23,Florida,2,0,1.0,16.239,-6.492,0.3556,2.0,2W,0,,2
24,Navy,2,0,1.0,15.606,-4.758,0.3838,3.0,2W,0,,2
25,East Carolina,2,0,1.0,14.582,-3.808,0.412,2.0,2W,0,,2
26,UCLA,2,0,1.0,14.444,-16.084,0.1444,1.0,2W,0,,2
27,Air Force,1,0,1.0,14.3,-10.37,0.2746,0.0,1W,0,,1
28,Kansas,2,0,1.0,13.887,-19.196,0.088,1.0,2W,0,,2
29,Hawaii,1,0,1.0,13.589,-9.791,0.3099,1.0,1W,0,,1
30,Ohio State,1,1,0.5,13.418,1.865,0.0387,-23.2,1L,0,,2
31,Baylor,2,0,1.0,12.848,-17.274,0.162,2.0,2W,0,,2
32,USC,1,0,1.0,12.575,-11.819,0.2113,1.0,1W,0,,1
33,Alabama,2,0,1.0,12.534,-2.902,0.4296,4.0,2W,0,,2
34,SMU,2,0,1.0,12.207,-13.556,0.1761,1.0,2W,0,,2
35,Texas A&M,2,0,1.0,11.813,-18.345,0.0986,1.0,2W,0,,2
36,Michigan State,2,0,1.0,11.611,-1.748,0.4648,3.0,2W,0,,2
37,Kent State,1,0,1.0,10.87,-17.232,0.1127,0.0,1W,0,,1
38,Vanderbilt,2,0,1.0,10.866,-14.24,0.1901,2.0,2W,0,,2
39,Duke,2,0,1.0,10.73,-3.511,0.4331,40.4,2W,1,#25,2
40,Wake Forest,2,0,1.0,10.341,-9.288,0.2852,1.0,2W,0,,2
41,West Virginia,2,0,1.0,10.118,-7.734,0.331,2.0,2W,0,,2
42,Arizona,2,0,1.0,10.057,-10.856,0.25,1.0,2W,0,,2
43,Panama City,1,1,0.5,10.033,-4.905,-0.1232,-13.2,1L,0,,2
44,Auburn,2,0,1.0,9.986,-14.0,0.1725,1.0,2W,1,#16,2
45,Ohio,2,0,1.0,9.704,-10.564,0.2641,1.0,2W,0,,2
46,Rutgers,2,0,1.0,9.444,-18.081,0.0986,1.0,2W,0,,2
47,Stanford,1,1,0.5,8.126,-1.718,-0.0317,-2.0,1W,0,,2
48,Rapid City,2,0,1.0,7.996,-8.978,0.3028,3.0,2W,0,,2
49,San Jose State,2,0,1.0,6.934,5.896,0.6303,6.0,2W,1,#10,2
50,Mississippi State,1,1,0.5,6.873,-1.223,-0.0352,-5.0,1L,0,,2
51,Oklahoma,2,0,1.0,6.295,-23.382,0.0387,2.0,2W,0,,2
52,North Texas,2,0,1.0,6.144,-9.682,0.2746,1.0,2W,0,,2
53,UCF,2,0,1.0,6.008,-14.954,0.1972,2.0,2W,0,,2
54,Massachusetts,1,1,0.5,5.777,-2.417,-0.0458,-6.0,1L,0,,2
55,Arizona State,1,1,0.5,5.564,5.155,0.1303,-1.0,1W,0,,2
56,Florida International,1,1,0.5,5.053,-6.864,-0.1549,-6.0,1L,0,,2
57,Troy,1,1,0.5,4.886,-3.199,-0.0704,-5.0,1W,0,,2
