Rank,Team,W,L,WinPct,FPI,SOS,SOR,Chaos,Streak,QualityWins,BestWin,GamesPlayed
1,Texas Tech,11,0,1.0,24.731,5.501,0.685,13.0,11W,6,#11,11
2,USF,8,2,0.8,22.206,4.56,0.4401,-14.9,1W,4,#7,10
3,Notre Dame,9,1,0.9,21.545,-1.161,0.338,6.0,2W,1,#12,10
4,Bowling Green,11,0,1.0,21.323,4.14,0.6428,15.0,11W,6,#10,11
5,West Virginia,9,0,1.0,18.207,-5.971,0.3075,8.0,9W,0,,9
6,LSU,8,2,0.8,16.276,-0.501,0.3239,-18.2,1L,1,#5,10
7,Texas A&M,10,0,1.0,15.976,-4.101,0.4092,13.0,10W,2,#13,10
8,Florida State,7,2,0.778,14.541,4.918,0.489,-11.4,5W,4,#9,9
9,Florida,8,2,0.8,13.315,5.177,0.4556,39.5,4W,2,#10,10
10,Georgia Tech,7,2,0.778,13.301,-1.116,0.2261,-1.0,1W,1,#21,9
11,Houston,8,1,0.889,13.252,-5.437,0.234,-21.8,1L,0,,9
12,Texas,7,3,0.7,12.493,1.734,0.2817,-32.4,1W,0,,10
13,Clemson,6,3,0.667,11.473,1.45,0.2629,-20.3,4W,1,#23,9
14,UCLA,7,2,0.778,11.189,-5.34,0.1393,-53.1,1W,0,,9
15,Auburn,7,2,0.778,11.039,3.693,0.3959,46.0,1L,2,#16,9
16,Ohio,8,1,0.889,10.764,-5.303,0.2324,-15.5,6W,0,,9
17,Michigan,6,3,0.667,10.61,-0.055,0.1651,-42.9,1W,1,#7,9
18,SMU,7,3,0.7,10.124,-1.604,0.1655,-51.8,1W,1,#21,10
19,Ole Miss,7,3,0.7,9.885,2.118,0.3021,42.4,3L,3,#6,10
20,Troy,8,3,0.727,9.396,-4.806,0.0826,-72.1,1L,0,,11
21,TCU,7,3,0.7,9.368,-0.115,0.1718,-32.2,1L,1,#16,10
22,San Jose State,8,3,0.727,8.537,7.839,0.4462,150.0,2W,4,#8,11
23,Pittsburgh,7,2,0.778,8.444,-4.608,0.1416,-36.7,2L,0,,9
24,Arizona State,9,3,0.75,8.287,-1.811,0.2048,-23.6,4W,4,#17,12
25,Ohio State,6,3,0.667,8.103,-2.402,0.0869,-47.3,1W,1,#20,9
26,USC,7,2,0.778,8.06,0.847,0.2801,9.0,5W,1,#25,9
27,Miami,7,4,0.636,7.875,1.426,0.1517,34.3,3W,0,,11
28,Wake Forest,8,1,0.889,7.87,-6.2,0.187,-18.3,1W,0,,9
29,Penn State,6,4,0.6,7.798,0.743,0.0908,-5.0,1W,0,,10
30,Georgia,6,3,0.667,7.79,4.307,0.2895,50.4,1W,1,#24,9
31,Fresno State,8,1,0.889,7.657,-3.737,0.2895,4.0,4W,0,,9
32,North Carolina,7,2,0.778,7.3,0.659,0.3075,46.8,3W,0,,9
33,Baylor,6,4,0.6,7.274,-0.105,0.1148,4.8,2W,0,,10
34,Hammond,6,4,0.6,7.021,3.589,0.2099,-32.6,3W,3,#17,10
35,BYU,7,3,0.7,6.553,2.253,0.2859,8.0,3L,0,,10
36,East Carolina,7,2,0.778,6.442,-5.502,0.1346,-47.9,2W,0,,9
37,Oregon,7,3,0.7,6.284,1.317,0.2218,8.0,1L,1,#22,10
38,Navy,7,3,0.7,6.239,-1.774,0.1134,-43.8,2W,0,,10
39,Oklahoma,6,5,0.545,5.727,2.947,0.1031,-7.0,2W,0,,11
40,NC State,5,4,0.556,5.435,4.484,0.2183,16.9,3W,0,,9
41,Eastern Michigan,6,3,0.667,5.076,-4.456,0.0336,-37.6,2W,0,,9
42,Nebraska,7,3,0.7,4.982,1.511,0.2577,90.9,1L,2,#19,10
43,Wyoming,6,4,0.6,4.897,-1.058,0.0754,-1.0,2W,0,,10
44,Boise State,6,4,0.6,4.791,-1.47,0.0683,-44.9,1L,0,,10
45,Liberty,7,2,0.778,4.754,-6.433,0.0978,-36.9,1W,0,,9
46,Southern Mississippi,6,3,0.667,4.599,-3.41,0.0579,-55.4,1L,0,,9
47,Toledo,6,5,0.545,4.531,-3.991,-0.0941,-88.4,1L,0,,11
48,Missouri State,6,3,0.667,4.41,-3.788,0.0509,-48.9,1W,0,,9
49,Gate City,5,5,0.5,4.042,-3.968,-0.0915,-58.7,4W,3,#11,10
50,Oklahoma State,7,3,0.7,3.7,-2.052,0.1415,0.5,1W,2,#7,10
51,Duke,6,3,0.667,3.662,-1.727,0.1448,34.0,2L,1,#25,9
52,Alabama,6,3,0.667,3.436,1.375,0.2793,75.1,1W,2,#20,9
53,Washington State,6,3,0.667,3.227,-4.597,0.0329,-46.7,3W,0,,9
54,Kansas,5,4,0.556,2.776,-4.611,-0.0736,-25.3,1L,0,,9
55,Louisiana Tech,6,4,0.6,2.723,-4.006,-0.0014,-34.5,3L,0,,10
56,Arizona,6,3,0.667,2.533,-4.874,0.0188,-49.6,3W,3,#7,9
57,San Diego State,6,3,0.667,2.286,-0.702,0.1565,15.6,1W,0,,9
58,Marshall,6,3,0.667,2.222,-2.609,0.0814,-22.8,1W,0,,9
59,Michigan State,6,4,0.6,2.161,-0.53,0.0761,18.1,1L,1,#25,10
60,Mississippi State,6,4,0.6,2.143,-3.367,0.0056,-9.0,3L,0,,10
61,Kennesaw State,5,5,0.5,1.728,0.005,0.0127,-4.0,1L,0,,10
62,Delaware,5,4,0.556,1.709,-3.856,-0.0469,-13.6,1L,0,,9
63,Charlotte,5,4,0.556,1.707,-0.971,0.029,-12.6,1L,0,,9
64,New Mexico State,6,3,0.667,1.668,-4.382,0.0548,-8.3,1W,0,,9
65,Tulane,5,4,0.556,1.407,0.65,0.09,-6.5,2L,0,,9
66,North Texas,6,4,0.6,1.371,-2.71,0.0204,-13.4,2W,0,,10
67,Arkansas State,5,5,0.5,0.756,-1.54,-0.0366,-13.5,3W,0,,10
68,Rutgers,5,4,0.556,0.618,-1.816,0.0086,-14.0,2W,0,,9
69,Virginia Tech,6,3,0.667,0.499,0.613,0.2074,43.3,1L,0,,9
70,Louisiana,5,4,0.556,0.182,-3.355,-0.0454,-32.2,4W,0,,9
71,Panama City,5,7,0.417,-0.062,-0.175,-0.071,-45.6,5L,0,,12
72,Vanderbilt,6,3,0.667,-0.134,-3.098,0.072,-7.0,1W,0,,9
73,Wisconsin,3,6,0.333,-0.225,2.276,-0.0438,11.9,2L,0,,9
74,Northwestern,5,4,0.556,-0.291,-4.746,-0.0939,-34.8,1W,0,,9
75,UCF,5,5,0.5,-0.311,0.927,0.0704,-16.0,1L,0,,10
76,Hawai'i,5,3,0.625,-0.405,-3.111,0.0255,-8.0,2W,0,,8
77,UTSA,6,3,0.667,-0.722,-4.718,0.0462,38.8,2W,0,,9
78,Washington,4,5,0.444,-0.899,3.595,0.1174,73.9,1L,1,#9,9
79,Temple,6,5,0.545,-1.208,0.896,0.1223,34.5,2L,0,,11
80,Indiana,4,5,0.444,-1.358,0.676,-0.0219,12.2,1W,0,,9
81,Georgia Southern,5,4,0.556,-1.446,-4.166,-0.0728,-33.8,1W,0,,9
82,Kansas State,5,4,0.556,-1.951,2.823,0.1714,56.8,1W,0,,9
83,Kent State,4,5,0.444,-1.974,-1.667,-0.1205,-37.0,1W,0,,9
84,UTEP,6,3,0.667,-2.024,-2.878,0.0806,35.1,3W,0,,9
85,Cincinnati,4,5,0.444,-2.031,-2.225,-0.1049,-42.0,1L,0,,9
86,Iowa State,4,5,0.444,-2.195,-0.998,-0.1017,-40.5,3L,0,,9
87,Sam Houston,6,5,0.545,-2.259,-5.025,-0.1069,14.6,1W,0,,11
88,Appalachian State,4,5,0.444,-2.566,-1.517,-0.0915,82.0,1L,0,,9
89,Virginia,3,6,0.333,-2.616,-3.84,-0.2621,-49.3,3L,0,,9
90,Florida International,4,5,0.444,-2.703,-3.348,-0.1455,-4.9,1L,0,,9
91,UNLV,4,5,0.444,-2.969,-2.768,-0.1408,-2.4,1W,0,,9
92,Memphis,5,4,0.556,-3.155,-0.695,0.0673,47.3,3W,0,,9
93,Purdue,4,7,0.364,-3.267,4.233,0.0026,49.5,1W,1,#7,11
94,Coastal Carolina,4,6,0.4,-3.529,-1.71,-0.1528,-29.0,1W,0,,10
95,Tulsa,5,4,0.556,-3.838,-0.506,0.0516,43.1,3L,0,,9
96,South Alabama,6,4,0.6,-3.852,-5.555,-0.057,-18.8,2L,0,,10
97,Utah,4,8,0.333,-4.162,-4.542,-0.3093,-2.0,2W,3,#15,12
98,Arkansas,3,6,0.333,-4.46,5.139,-0.029,14.9,2W,0,,9
99,Boston College,4,5,0.444,-4.571,-6.638,-0.2261,-40.5,1L,0,,9
100,Hawaii,1,4,0.2,-4.603,-0.659,-0.3423,-39.4,4L,0,,5
101,Texas State,3,6,0.333,-4.751,-3.665,-0.2731,-31.7,3L,0,,9
102,Miami University,4,4,0.5,-5.077,0.544,0.0308,40.5,3W,0,,8
103,Georgia State,3,6,0.333,-5.343,-3.071,-0.2277,-26.0,1W,0,,9
104,Stanford,2,7,0.222,-5.405,0.138,-0.2731,-45.7,6L,0,,9
105,Old Dominion,4,5,0.444,-5.899,-1.071,-0.0947,31.2,1L,0,,9
106,Central Michigan,5,4,0.556,-6.056,-7.165,-0.1768,-37.9,1W,0,,9
107,Massachusetts,3,6,0.333,-6.357,-0.211,-0.1549,-26.0,1L,0,,9
108,Tennessee,2,7,0.222,-6.473,6.446,-0.0751,-15.0,7L,0,,9
109,Rice,2,7,0.222,-7.051,1.512,-0.1909,3.1,3L,0,,9
110,Colorado,3,7,0.3,-7.055,-0.762,-0.2,-21.1,2L,1,#22,10
111,Middle Tennessee,3,6,0.333,-7.06,1.272,-0.1197,40.9,1W,0,,9
112,Oregon State,3,6,0.333,-7.124,-1.744,-0.1941,-1.4,2L,0,,9
113,Colorado State,3,7,0.3,-7.593,-2.438,-0.2549,-19.4,2L,0,,10
114,Missouri,3,7,0.3,-7.958,1.232,-0.1676,-16.0,2L,0,,10
115,UConn,5,6,0.455,-8.128,-2.399,-0.1063,23.9,1W,0,,11
116,Air Force,4,5,0.444,-8.227,-4.84,-0.1933,23.4,2L,0,,9
