Rank,Team,W,L,WinPct,FPI,SOS,SOR,Chaos,Streak,QualityWins,BestWin,GamesPlayed
1,Texas Tech,1,0,1.0,22.811,-6.275,0.3786,1.0,1W,0,,1
2,Kansas,1,0,1.0,19.52,-12.857,0.2357,0.0,1W,0,,1
3,Nebraska,1,0,1.0,19.52,-12.857,0.2357,0.0,1W,0,,1
4,Virginia Tech,1,0,1.0,19.52,-12.857,0.2357,0.0,1W,0,,1
5,Ohio State,1,0,1.0,19.52,-12.857,0.2357,0.0,1W,0,,1
6,Illinois,1,0,1.0,18.822,-14.252,0.2071,0.0,1W,0,,1
7,Arizona State,1,0,1.0,18.822,-14.252,0.2071,0.0,1W,0,,1
8,North Texas,1,0,1.0,18.822,-14.252,0.2071,0.0,1W,0,,1
9,Kentucky,1,0,1.0,18.52,-12.857,0.2357,0.0,1W,0,,1
10,Louisville,1,0,1.0,18.439,-15.018,0.2,0.0,1W,0,,1
11,Southern Mississippi,1,0,1.0,18.439,-15.018,0.2,0.0,1W,0,,1
12,Navy,2,0,1.0,18.439,-15.018,0.2,0.0,2W,0,,2
13,Arkansas,1,0,1.0,18.439,-15.018,0.2,0.0,1W,0,,1
14,Hammond,1,0,1.0,16.097,-19.702,0.1357,0.0,1W,0,,1
15,Baylor,1,0,1.0,16.097,-19.702,0.1357,0.0,1W,0,,1
16,Syracuse,1,0,1.0,16.097,-19.702,0.1357,0.0,1W,0,,1
17,LSU,1,0,1.0,16.097,-19.702,0.1357,0.0,1W,0,,1
18,Georgia,1,0,1.0,16.097,-19.702,0.1357,0.0,1W,0,,1
19,Liberty,1,0,1.0,15.872,-20.151,0.1143,0.0,1W,0,,1
20,Cincinnati,1,0,1.0,15.872,-20.151,0.1143,0.0,1W,0,,1
21,San Diego State,2,0,1.0,15.872,-20.151,0.1143,0.0,2W,0,,2
22,Florida International,1,0,1.0,15.872,-20.151,0.1143,0.0,1W,0,,1
23,BYU,1,0,1.0,15.872,-20.151,0.1143,0.0,1W,0,,1
24,South Alabama,1,0,1.0,15.872,-20.151,0.1143,0.0,1W,0,,1
25,New Mexico State,1,0,1.0,15.822,-14.252,0.2071,0.0,1W,0,,1
26,Oklahoma,1,0,1.0,15.097,-19.702,0.1357,0.0,1W,0,,1
27,Texas,1,0,1.0,14.563,-22.77,0.0786,1.0,1W,0,,1
28,Houston,1,0,1.0,14.563,-22.77,0.0786,1.0,1W,0,,1
29,Florida State,1,0,1.0,14.563,-22.77,0.0786,1.0,1W,0,,1
30,Wyoming,1,0,1.0,14.563,-22.77,0.0786,1.0,1W,0,,1
31,Ole Miss,1,0,1.0,14.563,-22.77,0.0786,1.0,1W,0,,1
32,San Jose State,1,0,1.0,14.563,-22.77,0.0786,1.0,1W,1,#10,1
33,Notre Dame,1,0,1.0,14.563,-22.77,0.0786,1.0,1W,0,,1
34,Bowling Green,1,0,1.0,14.563,-22.77,0.0786,1.0,1W,1,#23,1
35,Auburn,1,0,1.0,14.563,-22.77,0.0786,1.0,1W,0,,1
36,Miami University,1,0,1.0,13.94,1.985,0.5143,1.0,1W,0,,1
37,Alabaster,1,0,1.0,13.896,-22.104,0.0929,1.0,1W,0,,1
38,TCU,1,0,1.0,13.896,-22.104,0.0929,1.0,1W,0,,1
39,Duke,2,0,1.0,12.872,-20.151,0.1143,0.0,2W,0,,2
40,Kansas State,1,0,1.0,12.822,-14.252,0.2071,0.0,1W,0,,1
41,Air Force,1,0,1.0,12.563,-20.77,0.1071,1.0,1W,0,,1
42,Miami,1,0,1.0,12.563,-20.77,0.1071,1.0,1W,0,,1
43,Washington,1,0,1.0,11.896,-20.104,0.1286,1.0,1W,0,,1
44,UL Monroe,1,0,1.0,11.896,-20.104,0.1286,1.0,1W,0,,1
45,Marshall,2,0,1.0,11.349,-10.197,0.2929,1.0,2W,0,,2
46,California,1,0,1.0,9.896,-18.104,0.1571,1.0,1W,0,,1
47,Texas A&M,1,0,1.0,9.896,-18.104,0.1571,1.0,1W,0,,1
48,Utah State,1,0,1.0,9.872,-20.151,0.1143,0.0,1W,0,,1
49,Fresno State,1,0,1.0,9.52,-12.857,0.2357,0.0,1W,0,,1
50,Charlotte,1,0,1.0,8.872,-20.151,0.1143,0.0,1W,0,,1
51,Minnesota,1,0,1.0,8.872,-20.151,0.1143,0.0,1W,0,,1
52,Virginia,1,0,1.0,8.822,-14.252,0.2071,0.0,1W,0,,1
53,Tennessee,1,0,1.0,8.439,-15.018,0.2,0.0,1W,0,,1
54,Purdue,1,0,1.0,7.896,-16.104,0.1714,1.0,1W,0,,1
55,Middle Tennessee,1,0,1.0,7.52,-12.857,0.2357,0.0,1W,0,,1
56,UCF,1,0,1.0,7.229,-15.437,0.1857,1.0,1W,0,,1
57,Toledo,2,0,1.0,7.097,-19.702,0.1357,0.0,2W,0,,2
58,Colorado State,1,0,1.0,5.896,-14.104,0.2143,1.0,1W,0,,1
59,Michigan,1,0,1.0,5.052,-23.793,0.0143,1.0,1W,0,,1
60,Western Kentucky,1,0,1.0,4.562,-12.771,0.25,1.0,1W,0,,1
61,Florida,1,0,1.0,4.562,-12.771,0.25,1.0,1W,1,#16,1
62,Oregon,1,0,1.0,3.896,-12.104,0.2643,1.0,1W,1,#25,1
63,UTSA,1,0,1.0,3.896,-12.104,0.2643,1.0,1W,0,,1
64,Jacksonville State,1,0,1.0,3.872,-20.151,0.1143,0.0,1W,0,,1
65,Ohio,1,0,1.0,3.229,-11.437,0.2857,1.0,1W,0,,1
66,Hawai'i,1,0,1.0,3.229,-11.437,0.2857,1.0,1W,0,,1
67,East Carolina,1,0,1.0,3.229,-11.437,0.2857,1.0,1W,0,,1
68,Georgia State,2,0,1.0,2.896,-11.104,0.275,4.0,2W,0,,2
69,Memphis,1,1,0.5,1.985,-4.926,-0.1179,-5.0,1L,0,,2
70,Rutgers,1,0,1.0,0.563,-8.77,0.3071,3.0,1W,0,,1
71,Boise State,1,0,1.0,-0.103,-8.103,0.3286,3.0,1W,0,,1
72,Troy,1,0,1.0,-0.178,-14.252,0.2071,0.0,1W,0,,1
73,Central Michigan,0,1,0.0,-0.27,-0.437,-0.5214,-6.0,1L,0,,1
74,Washington State,2,0,1.0,-0.437,-7.771,0.3393,4.0,2W,0,,2
75,Pittsburgh,1,0,1.0,-0.771,-7.438,0.3357,3.0,1W,0,,1
76,Old Dominion,1,0,1.0,-0.903,-19.702,0.1357,0.0,1W,0,,1
77,Wisconsin,1,0,1.0,-0.903,-19.702,0.1357,0.0,1W,0,,1
78,South Carolina,1,0,1.0,-1.128,-20.151,0.1143,0.0,1W,0,,1
79,Michigan State,1,0,1.0,-1.437,-6.77,0.3643,3.0,1W,0,,1
