Rank,Team,W,L,WinPct,FPI,SOS,SOR,Chaos,Streak,QualityWins,BestWin,GamesPlayed
1,Florida State,6,0,1.0,28.006,2.18,0.6265,6.0,6W,1,#23,6
2,Bowling Green,5,0,1.0,27.556,2.08,0.5957,5.0,5W,3,#23,5
3,USF,5,0,1.0,21.783,-0.665,0.4539,7.0,5W,1,#13,5
4,Notre Dame,6,0,1.0,21.536,-5.76,0.3392,5.0,6W,0,,6
5,Texas Tech,5,0,1.0,21.4,-2.632,0.4284,5.0,5W,0,,5
6,San Jose State,6,0,1.0,19.981,-3.203,0.409,6.0,6W,2,#10,6
7,Miami,6,0,1.0,19.247,-4.672,0.3818,5.0,6W,1,#24,6
8,Texas A&M,6,0,1.0,19.219,-1.393,0.4976,7.0,6W,1,#19,6
9,Troy,5,0,1.0,17.453,-6.526,0.3163,4.0,5W,0,,5
10,Florida,6,0,1.0,17.163,-2.839,0.4208,6.0,6W,1,#16,6
11,NC State,5,1,0.833,17.047,-5.071,0.1572,2.0,5W,0,,6
12,Oregon,4,1,0.8,13.968,-4.696,0.2071,-11.6,1W,2,#20,5
13,Air Force,4,1,0.8,12.662,-5.708,0.1773,-30.7,2W,0,,5
14,Virginia,4,1,0.8,12.578,-7.477,0.0809,-29.7,1L,0,,5
15,Syracuse,5,1,0.833,12.077,-4.678,0.221,-18.5,2W,0,,6
16,Pittsburgh,5,1,0.833,12.034,-7.431,0.1395,-28.2,2W,0,,6
17,Michigan,5,1,0.833,11.881,-4.071,0.2423,-22.5,2W,0,,6
18,Texas,5,1,0.833,11.232,-4.368,0.2246,-11.7,1L,1,#24,6
19,San Diego State,5,1,0.833,10.691,-9.117,0.065,-32.4,4W,0,,6
20,Virginia Tech,4,1,0.8,9.819,-4.595,0.183,-20.5,1L,0,,5
21,Memphis,5,1,0.833,9.528,-4.776,0.2151,-23.2,4W,0,,6
22,Tennessee,4,2,0.667,9.485,0.139,0.1927,-23.0,1W,1,#14,6
23,Baylor,4,1,0.8,9.204,0.176,0.2695,3.0,3W,0,,5
24,North Carolina,4,2,0.667,8.989,1.813,0.2305,18.1,1L,0,,6
25,Central Michigan,5,1,0.833,8.69,-8.452,0.0757,-26.6,5W,0,,6
26,Marshall,6,0,1.0,8.366,-9.768,0.2541,6.0,6W,0,,6
27,East Carolina,6,0,1.0,8.122,-7.255,0.2837,7.0,6W,0,,6
28,Houston,4,1,0.8,7.716,-6.801,0.1177,-22.6,3W,0,,5
29,Duke,4,2,0.667,7.106,-1.953,0.1643,-7.0,1W,0,,6
30,Maryland,4,2,0.667,6.309,2.453,0.2695,2.8,1W,0,,6
31,Oklahoma State,5,1,0.833,6.174,-3.152,0.2967,4.0,1L,0,,6
32,Nebraska,4,2,0.667,5.668,5.837,0.3144,50.1,1W,1,#12,6
33,BYU,4,2,0.667,5.603,-3.625,0.1194,-27.1,1W,2,#20,6
34,Panama City,4,2,0.667,5.544,2.923,0.2009,0.0,1W,0,,6
