Rank,Team,W,L,WinPct,FPI,SOS,SOR,Chaos,Streak,QualityWins,BestWin,GamesPlayed
99,Vanderbilt,6,6,0.5,-4.377,-3.88,-0.134,-21.0,3L,0,,12
100,Appalachian State,5,7,0.417,-4.424,-2.307,-0.1457,5.9,1L,0,,12
101,UNLV,5,8,0.385,-4.72,-1.194,-0.1447,16.8,2L,0,,13
102,Stanford,3,9,0.25,-4.867,0.975,-0.2069,-36.0,1L,0,,12
103,Alabaster,4,8,0.333,-4.938,-0.169,-0.1451,86.0,1L,1,#24,12
104,Boston College,5,7,0.417,-5.084,-3.626,-0.1841,-43.6,1W,0,,12
105,UCF,5,8,0.385,-5.092,1.909,-0.014,-24.0,4L,0,,13
106,Georgia State,4,8,0.333,-5.349,-2.324,-0.2179,-53.7,2L,0,,12
107,Cincinnati,5,7,0.417,-5.419,-3.63,-0.1818,-50.6,2L,0,,12
108,Hawaii,2,5,0.286,-5.549,-0.675,-0.2298,3.4,1L,0,,7
109,Colorado State,6,7,0.462,-5.563,-2.726,-0.1011,57.8,3W,0,,13
110,Rice,3,9,0.25,-6.058,-0.742,-0.2471,0.1,1L,0,,12
111,Massachusetts,4,8,0.333,-6.1,-0.159,-0.169,-35.0,2L,0,,12
112,Syracuse,5,7,0.417,-6.268,-0.828,-0.1043,-18.0,1L,0,,12
113,Western Michigan,6,6,0.5,-6.384,-4.227,-0.1352,16.3,2W,0,,12
114,Louisville,4,8,0.333,-6.545,1.784,-0.1049,38.9,1W,0,,12
115,Middle Tennessee,4,8,0.333,-6.692,-1.177,-0.1906,30.3,1W,0,,12
116,Colorado,3,9,0.25,-7.025,0.492,-0.2139,39.5,4L,1,#22,12
117,James Madison,5,7,0.417,-7.079,-2.951,-0.1684,16.6,2W,0,,12
118,Central Michigan,5,7,0.417,-7.27,-4.831,-0.2599,-15.6,3L,0,,12
119,Oregon State,4,8,0.333,-7.532,-1.523,-0.1976,-7.6,2L,0,,12
120,Coastal Carolina,4,8,0.333,-8.671,-3.8,-0.2949,33.9,2L,0,,12
121,Tulsa,5,7,0.417,-8.857,0.327,-0.0583,88.8,6L,0,,12
122,Army,5,7,0.417,-8.994,-1.281,-0.1171,80.0,2W,0,,12
123,Iowa,4,8,0.333,-9.022,-1.003,-0.197,-8.3,1L,0,,12
124,Illinois,4,8,0.333,-9.787,-2.866,-0.2314,78.1,1W,1,#19,12
125,Ball State,3,9,0.25,-10.551,-2.228,-0.3228,10.3,1L,0,,12
126,Missouri,3,9,0.25,-10.788,1.966,-0.1713,-24.0,4L,0,,12
127,UConn,5,8,0.385,-10.908,-1.569,-0.1442,62.2,2L,0,,13
128,Kentucky,2,10,0.167,-11.142,4.423,-0.1911,-33.0,10L,0,,12
129,Air Force,4,8,0.333,-11.177,-2.979,-0.2517,24.8,5L,0,,12
130,California,2,10,0.167,-12.1,1.175,-0.2634,-20.2,7L,0,,12
131,UL Monroe,2,10,0.167,-13.855,-2.669,-0.3969,-11.5,3L,0,,12
132,Akron,3,10,0.231,-13.905,-2.486,-0.3583,27.0,2L,0,,13
133,Minnesota,3,9,0.25,-13.928,0.519,-0.236,6.2,4L,0,,12
134,Western Kentucky,2,10,0.167,-14.422,-1.302,-0.359,11.8,3L,0,,12
135,Jacksonville State,1,11,0.083,-14.646,-0.418,-0.4073,-66.0,9L,0,,12
136,Utah State,1,11,0.083,-14.778,-1.015,-0.44,-66.0,8L,0,,12
137,Maryland,1,11,0.083,-16.649,0.576,-0.4009,-50.0,11L,0,,12
138,South Carolina,1,11,0.083,-17.246,4.382,-0.271,-11.6,11L,0,,12
