Rank,Team,W,L,WinPct,FPI,SOS,SOR,Chaos,Streak,QualityWins,BestWin,GamesPlayed
1,Florida State,5,0,1.0,27.331,1.669,0.583,5.0,5W,1,#23,5
2,Bowling Green,4,0,1.0,25.204,-1.584,0.4752,4.0,4W,2,#23,4
3,Notre Dame,5,0,1.0,21.739,-7.514,0.2879,4.0,5W,0,,5
4,Texas Tech,4,0,1.0,21.527,0.562,0.539,4.0,4W,0,,4
5,USF,4,0,1.0,20.969,0.945,0.5071,6.0,4W,1,#13,4
6,San Jose State,5,0,1.0,20.734,-3.924,0.3986,5.0,5W,2,#10,5
7,Florida,5,0,1.0,19.562,-1.468,0.4638,5.0,5W,1,#16,5
8,Miami,5,0,1.0,19.321,-5.55,0.3574,4.0,5W,1,#24,5
9,NC State,4,1,0.8,17.234,-4.124,0.1645,1.0,4W,0,,5
10,Texas A&M,6,0,1.0,16.71,-5.572,0.3582,6.0,6W,1,#19,6
11,Virginia Tech,4,0,1.0,16.424,-7.645,0.289,3.0,4W,0,,4
12,Texas,5,0,1.0,14.857,-4.478,0.3972,6.0,5W,1,#24,5
13,Virginia,4,0,1.0,14.577,-10.338,0.2057,3.0,4W,0,,4
14,Troy,4,0,1.0,14.132,-10.228,0.2057,3.0,4W,0,,4
15,Oregon,4,1,0.8,13.682,-4.429,0.2014,-11.1,1W,2,#20,5
16,North Carolina,4,1,0.8,12.701,-0.791,0.2879,3.0,4W,0,,5
17,Arkansas,3,1,0.75,11.803,-6.885,0.0762,-32.5,1W,0,,4
18,Michigan,4,1,0.8,11.235,-4.921,0.1901,-22.9,1W,0,,5
19,Air Force,3,1,0.75,10.843,-6.306,0.1099,-29.3,1W,0,,4
20,Ole Miss,3,1,0.75,10.223,-2.045,0.234,2.0,1W,0,,4
21,Memphis,5,1,0.833,9.918,-7.823,0.1359,-26.1,4W,0,,6
22,Syracuse,4,1,0.8,9.262,-4.868,0.2057,-1.0,1W,0,,5
23,Auburn,3,2,0.6,9.175,-1.442,0.0752,-27.3,1L,0,,5
24,Baylor,4,1,0.8,8.996,0.6,0.3021,5.0,3W,0,,5
25,Oklahoma,3,1,0.75,8.907,-3.678,0.1986,-20.1,1L,1,#16,4
26,Pittsburgh,4,1,0.8,8.677,-8.837,0.0723,-26.3,1W,0,,5
27,Fresno State,3,1,0.75,8.542,-10.409,-0.0585,-29.5,2W,0,,4
28,San Diego State,5,1,0.833,8.464,-13.064,-0.026,-31.1,3W,0,,6
29,TCU,3,1,0.75,8.43,0.868,0.2713,2.0,2W,1,#20,4
30,Cincinnati,3,1,0.75,7.997,-8.998,0.0195,-4.0,2W,0,,4
31,Western Michigan,4,1,0.8,7.863,-14.066,-0.0723,-31.7,4W,0,,5
32,Alabaster,3,1,0.75,7.712,-2.067,0.2323,4.0,1L,0,,4
33,Marshall,5,0,1.0,6.836,-8.921,0.2936,7.0,5W,0,,5
34,Duke,4,2,0.667,6.475,-6.043,0.0591,-28.4,2L,0,,6
35,Washington,3,2,0.6,6.406,1.82,0.1121,0.0,1W,0,,5
36,Maryland,3,2,0.6,6.366,3.341,0.227,18.0,1L,0,,5
37,Alabama,3,2,0.6,6.307,-0.378,0.1248,42.2,3W,1,#25,5
38,Houston,3,1,0.75,6.154,-7.685,0.0372,-4.0,2W,0,,4
39,Nebraska,3,2,0.6,6.029,6.265,0.2284,46.3,1L,1,#12,5
40,Kentucky,3,2,0.6,5.943,4.095,0.1929,-2.0,1W,1,#17,5
41,Oklahoma State,6,0,1.0,5.825,-8.008,0.331,10.0,6W,0,,6
42,Navy,4,2,0.667,5.691,-4.611,0.0816,-8.0,1L,0,,6
43,Florida International,2,2,0.5,5.467,-9.057,-0.2234,-40.8,1W,0,,4
44,UConn,3,2,0.6,5.28,-4.832,-0.0241,-51.8,1W,0,,5
45,Central Michigan,4,1,0.8,5.198,-8.996,0.0681,-19.7,4W,0,,5
46,Indiana,3,2,0.6,4.989,4.185,0.2553,2.0,3W,0,,5
47,Tennessee,3,2,0.6,4.613,-2.166,0.0567,-4.0,2L,1,#14,5
48,East Carolina,5,0,1.0,4.571,-7.45,0.3035,10.0,5W,0,,5
49,UCLA,3,1,0.75,4.57,-6.352,0.0833,-2.0,3W,0,,4
50,BYU,3,2,0.6,4.559,-3.874,0.0255,-8.0,2L,1,#20,5
51,Southern Mississippi,2,2,0.5,4.378,-0.235,-0.0071,-24.1,2L,0,,4
52,Colorado,2,2,0.5,3.898,-0.696,0.0301,-5.0,1W,0,,4
53,Ohio,4,0,1.0,3.793,-8.906,0.266,9.0,4W,0,,4
54,Wyoming,3,2,0.6,3.003,-6.986,-0.0965,-49.7,1W,0,,5
55,New Mexico State,3,1,0.75,2.781,-9.929,-0.0426,-27.4,2W,0,,4
56,Penn State,3,2,0.6,2.573,6.553,0.2582,27.3,2W,0,,5
57,Arizona,4,1,0.8,2.44,-3.312,0.2454,3.0,3W,0,,5
58,Kansas State,3,2,0.6,2.021,-8.55,-0.1376,-33.0,1L,0,,5
