Rank,Team,W,L,WinPct,FPI,SOS,SOR,Chaos,Streak,QualityWins,BestWin,GamesPlayed
1,Texas Tech,10,0,1.0,25.285,7.822,0.7542,12.0,10W,6,#11,10
2,USF,7,2,0.778,21.963,5.867,0.4546,-17.1,1L,4,#7,9
3,Notre Dame,9,1,0.9,21.81,-0.529,0.3585,8.0,2W,1,#12,10
4,Bowling Green,10,0,1.0,21.565,3.383,0.612,12.0,10W,5,#12,10
5,LSU,8,1,0.889,20.274,-2.4,0.3552,-11.9,1W,1,#5,9
6,West Virginia,8,0,1.0,17.076,-6.546,0.2931,7.0,8W,0,,8
7,Texas A&M,9,0,1.0,16.351,-6.025,0.3326,10.0,9W,1,#17,9
8,Georgia Tech,7,2,0.778,13.416,-0.784,0.2379,-19.1,1W,1,#21,9
9,Houston,8,1,0.889,13.315,-5.207,0.2496,-19.0,1L,0,,9
10,TCU,7,2,0.778,13.308,-0.555,0.2261,-13.8,1W,1,#16,9
11,BYU,7,1,0.875,12.815,-0.068,0.3829,10.0,1L,0,,8
12,Florida State,6,2,0.75,12.533,4.868,0.4586,0.8,4W,3,#9,8
13,Auburn,7,1,0.875,12.16,0.371,0.4014,-0.3,5W,2,#16,8
14,Ohio,7,1,0.875,11.283,-5.882,0.2025,-17.0,5W,0,,8
15,Ole Miss,7,2,0.778,11.123,1.297,0.3631,5.0,2L,3,#6,9
16,Texas,6,3,0.667,10.837,2.059,0.2707,-32.2,1L,0,,9
17,Florida,7,2,0.778,10.817,4.019,0.4006,11.0,3W,2,#10,9
18,Clemson,5,3,0.625,10.766,0.833,0.2007,17.7,3W,1,#23,8
19,Troy,8,2,0.8,10.198,-5.752,0.1268,-46.3,7W,0,,10
20,Michigan,5,3,0.625,9.814,0.18,0.1294,-41.7,3L,1,#7,8
21,Oregon,7,2,0.778,9.445,0.163,0.2645,8.0,2W,1,#22,9
22,UCLA,6,2,0.75,9.004,-6.19,0.0995,-50.3,1L,0,,8
23,Nebraska,7,2,0.778,8.539,2.351,0.374,64.7,3W,2,#19,9
24,Boise State,6,3,0.667,8.366,-1.772,0.1377,-28.4,3W,0,,9
25,Pittsburgh,7,2,0.778,8.221,-4.952,0.1252,-35.3,2L,0,,9
26,Ohio State,6,3,0.667,8.173,-2.159,0.0915,-47.0,1W,1,#20,9
27,Wake Forest,8,1,0.889,8.1,-5.638,0.2113,-16.6,1W,0,,9
28,SMU,6,3,0.667,7.763,-2.756,0.0869,-43.6,2L,0,,9
29,Penn State,6,4,0.6,7.671,0.593,0.0817,-5.0,1W,0,,10
30,Fresno State,8,1,0.889,7.582,-3.784,0.2879,4.0,4W,0,,9
31,USC,6,2,0.75,7.522,2.096,0.2923,10.0,4W,1,#25,8
32,Navy,6,3,0.667,7.223,-0.502,0.1307,-46.5,1W,0,,9
33,San Jose State,7,3,0.7,6.81,9.071,0.4585,166.8,1W,4,#8,10
34,Toledo,6,4,0.6,6.768,-3.013,-0.0056,-60.9,1W,0,,10
35,Miami,6,4,0.6,6.711,3.273,0.1746,2.0,2W,0,,10
36,Georgia,5,3,0.625,6.643,6.837,0.3011,55.6,2L,1,#24,8
37,East Carolina,7,2,0.778,6.566,-5.15,0.1455,-48.0,2W,0,,9
38,Arizona State,7,3,0.7,6.091,-0.767,0.1887,-23.4,2W,2,#19,10
39,North Carolina,6,2,0.75,4.999,1.3,0.3143,49.6,2W,0,,8
40,Missouri State,5,3,0.625,4.76,-4.679,-0.0194,-48.4,2L,0,,8
41,Liberty,7,2,0.778,4.658,-6.522,0.0908,-19.8,1W,0,,9
42,Southern Mississippi,6,3,0.667,4.251,-4.003,0.0415,-50.9,1L,0,,9
43,Oklahoma,5,5,0.5,4.23,4.711,0.0951,-8.0,1W,0,,10
44,Baylor,5,4,0.556,3.983,-2.094,-0.0133,-30.5,1W,0,,9
45,Mississippi State,5,3,0.625,3.703,-3.542,0.0361,-4.3,2L,0,,8
46,Arizona,6,3,0.667,3.665,-2.509,0.0978,-46.7,3W,3,#7,9
47,Charlotte,5,3,0.625,3.659,0.119,0.1523,8.6,1W,0,,8
48,Duke,6,3,0.667,3.647,-1.653,0.1495,44.6,2L,1,#25,9
49,Oklahoma State,6,3,0.667,3.509,-0.374,0.1721,2.8,1L,2,#7,9
50,Alabama,6,3,0.667,3.35,1.306,0.2786,74.3,1W,2,#20,9
51,Wisconsin,3,5,0.375,3.186,2.423,0.0026,-14.0,1L,0,,8
52,Panama City,5,5,0.5,3.147,-3.054,-0.0894,-58.5,3L,0,,10
53,Virginia Tech,6,2,0.75,3.143,-0.912,0.2394,29.1,3W,0,,8
54,Eastern Michigan,5,3,0.625,2.964,-3.522,0.0229,-32.4,1W,0,,8
55,Wyoming,5,4,0.556,2.745,-0.347,0.0563,0.0,1W,0,,9
56,Delaware,5,3,0.625,2.729,-3.99,0.0343,-7.0,2W,0,,8
57,Kennesaw State,5,4,0.556,2.679,-0.479,0.0595,-25.8,2W,0,,9
58,Kansas,5,4,0.556,2.648,-4.764,-0.0822,-41.7,1L,0,,9
59,Michigan State,6,3,0.667,2.643,0.116,0.1729,60.3,1W,1,#25,9
60,Hammond,4,4,0.5,2.585,3.971,0.103,-30.6,1W,1,#17,8
61,Louisiana Tech,6,3,0.667,2.373,-5.758,0.0063,-30.4,2L,0,,9
62,NC State,4,4,0.5,2.254,4.309,0.1673,16.8,2W,0,,8
63,Marshall,5,3,0.625,1.863,-2.224,0.0546,-6.0,1L,0,,8
64,North Texas,5,4,0.556,1.705,-2.428,-0.018,-17.6,1W,0,,9
65,San Diego State,5,3,0.625,1.397,-0.405,0.1408,15.6,1L,0,,8
66,Florida International,4,4,0.5,1.243,-2.213,-0.0317,16.2,1W,0,,8
67,Temple,6,4,0.6,1.134,0.32,0.1563,35.5,1L,0,,10
68,Tulane,5,4,0.556,0.832,-0.396,0.0657,-6.9,2L,0,,9
69,Appalachian State,4,4,0.5,0.699,-1.55,-0.0282,-6.9,1W,0,,8
70,Washington State,5,3,0.625,0.657,-4.385,0.0088,-8.4,2W,0,,8
71,Washington,4,4,0.5,0.556,2.664,0.1426,51.9,1W,1,#9,8
72,UCF,5,4,0.556,0.168,-1.058,0.054,-8.0,2W,0,,9
73,New Mexico State,5,3,0.625,-0.103,-6.655,-0.0581,-11.0,1L,0,,8
74,Arkansas State,4,5,0.444,-0.22,-3.61,-0.1745,-58.6,2W,0,,9
75,Gate City,3,5,0.375,-0.385,-1.969,-0.1329,35.3,2W,1,#11,8
76,Cincinnati,4,4,0.5,-0.792,-3.033,-0.0704,-34.4,2W,0,,8
77,Rutgers,4,4,0.5,-1.0,-1.948,-0.0396,-17.0,1W,0,,8
78,Indiana,3,5,0.375,-1.227,1.098,-0.0836,-8.0,5L,0,,8
79,Kansas State,4,4,0.5,-1.61,4.082,0.1444,30.2,1L,0,,8
80,South Alabama,6,3,0.667,-1.63,-6.43,-0.0203,-32.1,1L,0,,9
81,Hawai'i,4,3,0.571,-1.752,-1.882,0.0201,-11.0,1W,0,,7
82,Boston College,4,4,0.5,-1.778,-7.754,-0.2165,-35.6,2W,0,,8
83,Iowa State,4,4,0.5,-1.992,-1.933,-0.0845,-31.3,2L,0,,8
84,Northwestern,4,4,0.5,-2.003,-3.455,-0.1048,-11.6,1L,0,,8
85,UTSA,5,3,0.625,-2.067,-4.082,0.0264,44.2,1W,0,,8
86,Vanderbilt,5,3,0.625,-2.508,-2.215,0.0616,-6.0,1L,0,,8
